RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
171849EE,10/17,171849 DE ESPIRITU,G,5.07,,,,,,,,,,,,,45,26%,19,,,27,1%,,,,,,,,50,4%,0.19,,,36,4%,9.13,39,1%,11.01,,,1,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,5%,11.74
858252,06/06,HK POLO 757 (P),,751467,,,,,,,,,,,,,0.32,59,15%,,,9.66,56,3%,,,,,,,11.69,67,4%,,,3.55,60,13%,5.16,63,14%,,,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74,67,1%
OBGP 4947,09/17,KEMBALI OB,G,OBGP 1193,,,,,,,,,,,,,0.62,80,4%,,,8.47,70,5%,,,,,,,11.57,78,4%,,,5.97,70,2%,8.16,72,3%,,,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.60,77,2%
OBGP 4946,09/17,KAZAK OB,G,OBGP 1193,,,,,,,,,,,,,0.40,79,10%,,,5.02,69,18%,,,,,,,11.47,77,4%,,,4.36,66,7%,5.60,69,12%,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42,75,4%
AMRO 133,08/07,MR BR 77 133 FIV,G,718788,,,,,,,,,,,,,0.36,43,12%,,,13.33,33,0.5%,,,,,,,11.39,47,5%,,,6.59,36,0.5%,11.12,38,0.5%,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36,45,1%
BENT 3218,08/07,CJ SANTANNA POI 3218,,LAN9153,,,,,,,,,,,,,-0.05,74,70%,,,8.91,58,4%,,,,,,,11.31,81,5%,,,3.46,75,14%,6.97,77,6%,,,238,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.92,80,2%
181416EE,09/18,181416 DE ESPIRITU,G,150563EE,,,,,,,,,,,,,0.18,49,27%,,,9.20,27,3%,,,,,,,11.27,49,5%,,,1.62,37,40%,1.20,40,57%,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,47,16%
OBGP 1193,09/09,MATRIX OB,,OBGP 367,,,,,,,,,,,,,0.24,80,21%,,,6.69,73,10%,,,,,,,11.18,85,5%,,,6.20,80,1%,8.47,82,2%,,,387,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26,84,3%
UBER 1622,09/17,MR UBER BACKUP 1622,G,UBER 461,,,,,,,,,,,,,0.77,64,2%,,,10.05,39,2%,,,,,,,11.04,75,5%,,,4.10,66,9%,8.76,68,2%,,,132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37,73,2%
170030EE,07/17,170030 DE ESPIRITU,G,140066EE,,,,,,,,,,,,,0.42,81,9%,,,9.32,71,3%,,,,,,,10.84,81,5%,,,3.06,72,18%,5.10,75,15%,,,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,79,23%
GOOL 2028,01/15,GOOL BRAHMANIA 2028,,GOOD 1955,,,,,,,,,,,,,-0.10,41,78%,,,4.93,23,19%,,,,,,,10.79,45,5%,,,4.23,37,8%,5.20,39,14%,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,47,13%
GOOD 1413,11/08,GOOD BRAHMANIA 1413,,660295,,,,,,,,,,,,,0.07,44,41%,,,9.03,38,4%,,,,,,,10.59,56,6%,,,4.35,46,7%,7.34,48,4%,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,54,9%
UBER 274,07/07,MR UBER POI 274,,350425,,,,,,,,,,,,,0.17,31,28%,,,7.77,27,6%,,,,,,,10.50,44,6%,,,5.97,33,2%,10.01,35,0.5%,,,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48,43,3%
851136,10/05,MSP SPECIAL RELOAD 94,779252,4.49,,,,,,,,,,,,,62,12%,91,,,45,12%,CRESCIMENTO PÓS-DESMAME,,,,,,,71,6%,0.37,,,62,6%,9.33,65,1%,10.68,,,3,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,5%,10.42
180540EE,08/18,180540 DE ESPIRITU,G,130203EE,0.27,14,92%,,,,61.98,16,9%,,,,1.62,49,0.1%,,,1%,,,,,,,,,12.08,56,4%,,,,,,2.23,52,43%,,,,,11,33,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170417EE,08/17,170417 DE ESPIRITU,,141318EE,0.30,12,94%,,,,58.89,8,15%,,,,1.42,70,0.1%,,,6%,,,,,,,,,8.78,75,10%,,,,,,1.86,68,48%,,,,,77,38,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180931EE,09/18,180931 DE ESPIRITU,G,080171EE,0.23,20,89%,,,,72.01,25,1%,,,,1.38,63,0.1%,,,0.5%,,,,,,,,,8.40,67,11%,,,,,,4.00,60,23%,,,,,35,42,12.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLMB 4370,01/16,MR N POUS POI 4370,G,EAOH 775,-0.26,53,27%,,,,55.03,65,27%,,,,1.34,79,0.1%,,,2%,,,,,,,,,9.18,78,9%,,,,,,6.66,70,7%,,,,,18,69,10.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRBR 136,01/04,136,,718788,0.01,42,63%,,,,38.55,54,98%,,,,1.31,68,0.1%,,,10%,,,,,,,,,13.79,74,2%,,,,,,10.06,73,0.5%,,,,,63,58,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181228EE,09/18,181228 DE ESPIRITU,G,080171EE,0.31,16,94%,,,,72.46,21,1%,,,,1.29,63,0.5%,,,0.5%,,,,,,,,,7.51,68,14%,,,,,,3.50,62,28%,,,,,39,40,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180434EE,08/18,180434 DE ESPIRITU,G,150533EE,0.25,11,91%,,,,58.05,9,17%,,,,1.28,63,0.5%,,,4%,,,,,,,,,2.93,69,39%,,,,,,4.29,62,21%,,,,,41,37,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBGP 3863,01/14,MIKE TYSON FIV OB,,758549,-0.35,24,22%,,,,54.83,14,27%,,,,1.24,59,0.5%,,,18%,,,,,,,,,4.05,66,31%,,,,,,2.17,59,44%,,,,,38,45,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170242EE,08/17,170242 DE ESPIRITU,G,091010EE,0.26,15,91%,,,,62.84,18,7%,,,,1.12,45,0.5%,,,1%,,,,,,,,,10.28,54,6%,,,,,,6.07,49,9%,,,,,5,33,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10117,09/13,REBELDE/SARORY 117 FI,,851136,-0.25,6,28%,,,,45.84,8,84%,,,,1.10,36,0.5%,,,2%,,,,,,,,,18.94,40,0.5%,,,,,,11.46,34,0.5%,,,,,10,20,10.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,08/04,CLASSIC/TAITA 1551,,2598,-0.16,30,35%,,,,43.37,39,91%,,,,1.09,56,0.5%,,,24%,,,,,,,,,8.08,66,12%,,,,,,2.79,60,36%,,,,,24,44,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171591EE,09/17,171591 DE ESPIRITU,G,120264EE,0.19,18,87%,,,,51.63,24,43%,,,,1.07,49,0.5%,,,8%,,,,,,,,,9.01,52,9%,,,,,,5.92,46,10%,,,,,5,35,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181621EE,10/18,181621 DE ESPIRITU,G,150533EE,0.22,11,89%,,,,52.04,9,40%,,,,1.02,60,0.5%,,,13%,,,,,,,,,4.03,67,31%,,,,,,5.62,60,11%,,,,,33,34,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
