RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
COL 24926,11/16,QUICKMAN FIV COL,G,REMC 5326,-1.82,55,0.1%,95.50,72,0.1%,87.70,66,7%,3.33,58,6%,1.82,83,1%,12,3,24.42,76,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCC 5339,12/14,POKEMOM FIV DE NAVIRA,G,REMC 5326,-1.88,55,0.1%,94.13,68,0.5%,86.27,31,9%,2.36,61,16%,0.74,79,16%,110,9,16.46,65,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL A7027,10/07,GENETICO COL,,COL A4210,-1.69,38,0.5%,93.78,47,0.5%,76.21,49,24%,3.30,44,7%,0.52,65,24%,27,5,17.51,58,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 9668,10/14,REM DONNO,G,REMP 245,-1.15,57,8%,93.37,71,0.5%,81.01,65,17%,1.29,59,38%,1.16,81,7%,12,7,21.60,73,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIKU 2789,05/15,2789,G,REMC 5326,-1.52,42,1%,93.07,59,0.5%,89.26,50,5%,2.29,44,17%,1.99,70,0.5%,12,1,24.04,60,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC 9185,08/15,REM EL ESPANHOL,G,REMC 5326,-1.38,58,3%,92.92,73,1%,84.39,66,12%,2.77,60,11%,1.10,83,8%,37,7,25.41,76,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM 5102,08/11,RUBAIAH MAT.,G,L4810,-1.48,67,2%,92.84,77,1%,87.77,69,7%,1.45,71,34%,0.84,85,13%,90,12,21.14,78,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRBT B6061,11/16,MANDAO JR TAR,G,REMC 5326,-1.18,71,7%,92.80,82,1%,94.32,79,0.5%,1.82,72,26%,1.72,88,2%,13,5,28.26,83,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCN 16427,07/17,TARU DE NAVIRAI,G,CSCC 5200,-1.77,56,0.5%,92.33,72,1%,91.49,65,2%,0.97,58,46%,1.21,82,6%,26,2,16.65,73,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM 4705,08/10,PACTO MAT.,,RDM 2861,-1.35,29,3%,92.25,43,1%,77.70,38,22%,2.94,36,9%,0.68,63,18%,21,2,19.01,51,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC 7592,11/13,REM CAMPO GRANDE,,REM 5589,-1.74,67,0.5%,92.02,84,2%,94.19,20,0.5%,1.00,69,45%,0.40,39,30%,557,3,18.25,63,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOAL 3333,10/15,TAURUS DA 3A,G,REMC 5326,-1.41,70,2%,91.44,82,2%,78.23,79,21%,1.32,72,37%,0.82,88,14%,17,1,25.02,82,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A99,08/17,CORUMBÁ  MAT.,G,RDM 7698,-0.91,68,18%,91.13,79,2%,80.86,65,18%,4.66,66,2%,1.21,92,6%,153,21,20.88,82,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 7121,10/11,REM ALLON,G,REM 3787,-1.10,72,10%,90.61,79,3%,83.27,76,14%,5.27,74,1%,0.05,88,56%,163,15,19.83,83,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC A223,08/16,REM FORMOSO,G,REMC 5326,-1.18,70,7%,90.30,76,3%,87.53,66,7%,1.85,70,25%,1.39,87,4%,93,13,25.71,80,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A159,09/15,REM EIXOO,G,REM 7121,-1.11,55,9%,90.25,72,3%,75.36,66,25%,4.15,57,3%,1.04,81,9%,15,2,22.69,73,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A7,08/15,REM ESPIAO007,G,REMC 5809,-1.11,82,9%,90.23,86,3%,76.08,65,24%,2.51,82,14%,2.11,93,0.5%,565,38,24.97,86,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 2140,08/11,HAXIXE KA,G,AAAP 1653,-1.14,58,8%,89.50,73,4%,79.04,70,20%,2.47,63,15%,1.45,83,3%,25,2,17.85,76,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 5589,09/09,REM UPONIC,G,REM 4237,-1.40,78,2%,89.42,84,5%,84.42,83,12%,3.97,82,4%,1.30,91,5%,313,19,21.35,87,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL 20625,10/11,LAPIS COL,,COL A4210,-1.39,35,3%,89.33,48,5%,80.73,44,18%,1.44,40,34%,0.61,63,21%,29,4,20.83,55,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL 24742,09/16,QUAMAN FIV COL,G,REMC 5326,-1.36,37,3%,89.13,53,5%,91.06,43,3%,2.54,38,14%,0.65,71,19%,12,3,22.16,59,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHVM 11122,08/13,JHVM 11122 CAMP.(MARA,G,CVCV 5683,-1.36,59,3%,89.01,73,5%,72.05,69,30%,5.23,61,1%,0.38,82,31%,24,2,20.80,75,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFPO 1146,01/06,EDITO DA APA,,SFPO 438,-1.14,34,8%,88.96,48,5%,72.26,46,30%,2.72,41,11%,0.73,72,17%,29,2,15.28,58,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVC 12483,08/17,FURACAO FVC,G,REMC 8332,-1.02,71,13%,,,,,,,6.43,73,0.5%,,,,,,21.92,84,5%,10.56,73,7%,8.85,72,0.5%,18.25,89,12%,43,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL 23568,12/14,OPERARIO COL,G,REM 5531,-1.13,63,8%,,,,,,,5.92,62,0.5%,,,,,,24.11,79,3%,12.91,58,2%,7.90,61,0.5%,24.12,91,5%,88,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBMN D8484,08/13,RAI DA MN,G,LBMN D1484,-0.52,70,45%,,,,,,,5.71,70,0.5%,,,,,,15.64,79,17%,3.70,62,48%,6.94,69,1%,10.40,90,34%,307,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1811,09/17,REM GLADIADOR GEN ADT,G,REMC 8332,-1.05,69,12%,,,,,,,5.57,77,1%,,,,,,26.28,83,2%,10.69,57,7%,8.06,79,0.5%,27.87,93,2%,205,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBMN D1288,09/06,GENERAL DA MN,G,LBMN C8398,-0.67,79,34%,,,,,,,5.46,79,1%,,,,,,15.99,86,16%,7.18,69,24%,7.80,78,0.5%,5.63,93,54%,1025,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3396,10/06,LITIO AJ,,AJ378503,-0.35,63,59%,,,,,,,5.42,67,1%,,,,,,20.67,73,7%,7.34,51,23%,7.74,66,0.5%,22.53,89,6%,425,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHVM 12659,10/14,JHVM 12659 FIV(FENOME,G,LBMN D4685,-0.55,75,43%,,,,,,,5.35,76,1%,,,,,,14.79,85,19%,4.84,74,40%,6.61,75,2%,19.65,91,10%,234,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 3304,10/12,IRIDIUM KA,G,THA 2538,-0.29,58,63%,,,,,,,5.34,61,1%,,,,,,17.49,74,12%,8.39,59,17%,6.87,60,1%,21.35,82,8%,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A883,08/16,REM FANTASTICO,G,REM 6447,-1.16,61,8%,,,,,,,5.29,62,1%,,,,,,21.96,76,5%,5.78,58,33%,6.62,61,2%,19.26,85,11%,89,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 7121,10/11,REM ALLON,G,REM 3787,-1.10,72,10%,,,,,,,5.27,74,1%,,,,,,19.83,83,8%,6.08,63,31%,7.20,73,1%,8.35,90,43%,604,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBMN D4685,09/09,D4685 DA MN (CAMPEÃO),G,LBMN D1484,-1.09,91,10%,,,,,,,5.25,92,1%,,,,,,17.96,94,11%,10.74,86,7%,6.40,91,2%,12.15,97,28%,7946,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHVM11122,08/13,JHVM 11122 CAMP.(MARA,G,CVCV 5683,-1.36,59,3%,,,,,,,5.23,61,1%,,,,,,20.80,75,6%,9.59,59,11%,7.38,60,1%,18.37,83,12%,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCN 14654,08/15,NAVIRAI 14654-15,G,LBMN D4685,-0.86,36,21%,,,,,,,5.21,39,1%,,,,,,16.03,53,16%,5.52,32,35%,6.96,39,1%,13.63,67,23%,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRMG 2299,08/15,ZAPP BEABISA,G,REMC 5326,-0.91,79,18%,,,,,,,5.19,80,1%,,,,,,22.40,85,4%,5.57,63,34%,6.75,79,2%,16.48,94,16%,1021,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3377,08/09,PAINT PHANTON,,-0.76,30,27%,12.38,,,,,,,35,1%,7.04,,,,,,31,4%,,22,3%,5.16,34,1%,22.62,68,6%,74,4,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO 3479,11/09,ORMON DA EAO,G,AAAP 1653,-1.04,73,12%,,,,,,,4.90,76,2%,,,,,,17.54,83,12%,9.17,59,13%,6.18,75,2%,14.92,91,20%,832,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A99,08/17,CORUMBÁ  MAT.,G,RDM 7698,-0.91,68,18%,,,,,,,4.66,66,2%,,,,,,20.88,82,6%,5.81,57,33%,6.08,64,2%,14.37,94,21%,154,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1553,08/17,REM GURU,G,REMC 8332,-0.76,62,27%,,,,,,,4.64,62,2%,,,,,,23.51,80,3%,7.70,57,21%,6.22,61,2%,22.10,93,7%,88,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAGA 2984,08/13,2984 SAGA,G,REM 5589,-1.11,47,9%,,,,,,,4.25,50,3%,,,,,,23.45,62,3%,13.28,40,2%,6.11,49,2%,20.92,81,8%,96,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONS 3023,11/15,POTOMAC BONS,G,REM 6447,-0.48,36,48%,,,,,,,4.24,39,3%,,,,,,20.58,55,7%,9.41,31,12%,5.01,38,4%,17.15,73,14%,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNS 3981,06/10,TRUCK DA ALO BRASIL,G,QUIL 7308,-1.02,89,13%,,,,,,,4.20,90,3%,,,,,,22.40,93,4%,9.91,81,10%,4.96,89,5%,19.56,97,10%,5250,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 6393,07/16,MAXIMO KA,G,REMC 5326,-1.37,55,3%,,,,,,,4.13,58,3%,,,,,,27.56,72,1%,8.59,58,16%,5.36,57,4%,29.65,80,2%,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVC 10971,10/15,CIFRAO FVC,G,LBMN D4685,-0.92,59,18%,,,,,,,4.09,61,3%,,,,,,17.67,77,12%,6.98,58,25%,5.14,60,4%,14.41,88,21%,67,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLRP 1217,10/14,JANOS DA CLR,,REMC 3462,-0.80,28,25%,,,,,,,4.03,32,3%,,,,,,18.80,45,10%,7.76,24,21%,4.92,32,5%,20.98,66,8%,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 5589,09/09,REM UPONIC,G,REM 4237,-1.40,78,2%,,,,,,,3.97,82,4%,,,,,,21.35,87,6%,9.53,73,11%,5.64,81,3%,16.17,92,17%,1481,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO 8719,01/13,8719 FIV DA EAO,G,L4810,-0.76,45,27%,,,,,,,3.87,47,4%,,,,,,15.39,61,17%,6.75,46,27%,5.37,46,3%,16.57,70,16%,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHVM16291,08/17,GLOBO FIV CAMPARINO,G,REMC 5326,-0.63,58,37%,,,,,,,3.78,59,4%,,,,,,17.75,73,12%,5.56,58,35%,5.25,58,4%,18.88,81,11%,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVCV21545,09/17,DENVER DE CV,G,REMC 8332,-1.14,56,8%,,,,,,,3.78,58,4%,,,,,,20.62,74,7%,10.33,57,8%,5.50,57,3%,12.97,85,25%,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVCV19331,08/16,COMODORO DE CV,G,REMC 5326,-0.81,60,24%,,,,,,,3.74,62,4%,,,,,,23.31,77,3%,7.97,58,19%,5.11,61,4%,24.16,88,5%,88,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 7177,11/11,REM ALTOASTRAL,G,REM 4339,-0.85,72,22%,,,,,,,3.54,75,5%,,,,,,23.33,84,3%,9.65,65,11%,5.03,74,4%,23.73,92,5%,602,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 10447,11/18,REM HERCULES,G,REM 8933,,,,,,,,,,0.08,56,71%,1.69,79,2%,,,31.13,70,0.1%,,,,,,,38.16,78,0.1%,,,15.40,69,0.1%,25.01,71,0.1%,49,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRMG 3862,10/19,BRASIL DA BEABISA,G,FPO 2683,,,,,,,,,,1.42,56,35%,1.69,79,2%,,,32.46,71,0.1%,,,,,,,36.59,78,0.5%,,,13.86,74,0.1%,22.19,74,0.1%,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAO B1369,08/19,COMBO FIV DA EAO,G,REM 9449,,,,,,,,,,1.89,33,24%,1.57,56,2%,,,31.55,50,0.1%,,,,,,,34.44,61,0.5%,,,12.91,64,0.5%,21.69,65,0.1%,68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 726,10/18,REM HUJALA FIV GEN AD,G,REM 8933,,,,,,,,,,3.09,56,8%,1.45,82,3%,,,27.89,74,0.5%,,,,,,,40.57,83,0.1%,,,13.13,78,0.5%,21.12,80,0.5%,236,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPM 5886,10/15,LOGAN KA,G,KAPM 1905,,,,,,,,,,2.24,61,18%,0.95,82,11%,,,24.01,74,3%,,,,,,,31.91,83,1%,,,13.02,76,0.5%,20.46,78,0.5%,186,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 2762,01/20,DIPLOMATA DA AGRONOVA G,,REM A7,,,,,,,,,,3.49,56,6%,2.11,79,0.5%,,,32.60,74,0.1%,,,,,,,35.46,81,0.5%,,,11.84,85,0.5%,19.86,86,0.5%,487,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 1730,01/19,EL ZORRERO SINO,G,REM A7,,,,,,,,,,1.79,56,26%,1.31,89,5%,,,28.33,79,0.5%,,,,,,,35.92,92,0.5%,,,11.84,90,0.5%,19.72,91,0.5%,1846,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMP 602,09/18,REM HORUS GEN ADT,G,REM A149,,,,,,,,,,7.51,56,0.1%,3.17,85,0.1%,,,31.61,77,0.1%,,,,,,,32.07,88,1%,,,11.04,85,1%,19.31,86,0.5%,654,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCR 1135,09/17,TAJ FIV DE NAVIRAI,G,CSCN 14076,,,,,,,,,,2.22,58,18%,1.33,82,4%,,,24.61,74,2%,,,,,,,33.38,83,0.5%,,,11.21,78,0.5%,19.28,79,0.5%,201,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1936,10/17,REM GARANTIDO,G,REM A7,,,,,,,,,,0.14,67,70%,2.32,91,0.5%,,,26.54,82,1%,,,,,,,28.44,94,2%,,,11.31,93,0.5%,19.17,94,0.5%,3515,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVC 13452,09/18,OURO NEGRO FVC,G,REM 8933,,,,,,,,,,2.94,56,9%,1.07,80,8%,,,27.97,71,0.5%,,,,,,,34.16,78,0.5%,,,11.98,70,0.5%,18.90,72,0.5%,63,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPO 3320,08/19,POTENTE FIV KA,G,REMC 8332,,,,,,,,,,2.18,42,19%,1.43,68,3%,,,28.72,61,0.5%,,,,,,,31.17,71,1%,,,11.13,76,1%,18.86,76,0.5%,175,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2239,11/17,REM GRINGO GEN ADITIV,G,REM 9852,,,,,,,,,,2.41,57,15%,1.61,81,2%,,,29.69,73,0.5%,,,,,,,39.88,81,0.1%,,,9.98,73,2%,18.60,75,0.5%,117,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMVA 1270,09/16,CONVENCIDO FIV DA JAC,G,REMC 5326,,,,,,,,,,1.53,72,32%,0.84,87,13%,,,26.83,82,1%,,,,,,,29.01,86,2%,,,11.67,79,0.5%,18.33,81,1%,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 8933,10/13,REM CALDONEGRO,G,REM 5589,,,,,,,,,,3.44,85,6%,0.91,92,12%,,,25.01,87,2%,,,,,,,31.97,95,1%,,,10.52,94,1%,18.28,94,1%,4894,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPO 1981,11/17,NOBEL KA,G,KAPO 330,,,,,,,,,,1.08,56,43%,1.85,81,1%,,,27.12,73,1%,,,,,,,29.22,83,2%,,,11.37,79,0.5%,18.18,80,1%,262,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2332,11/17,REM GUAXUPE FIV,G,REMC 8332,,,,,,,,,,2.83,69,10%,0.35,86,33%,,,24.17,80,3%,,,,,,,28.98,85,2%,,,11.10,78,1%,17.96,80,1%,79,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 1871,05/19,EXTRA SINO,G,REM 8933,,,,,,,,,,6.38,56,0.5%,2.11,78,0.5%,,,29.96,70,0.5%,,,,,,,33.51,77,0.5%,,,10.92,70,1%,17.84,72,1%,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A2065,10/17,REM GPS,G,REM 6447,,,,,,,,,,1.66,59,29%,0.96,83,10%,,,25.64,76,2%,,,,,,,30.85,85,1%,,,11.28,78,0.5%,17.70,80,1%,284,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONN 1954,08/16,QUILOMBO FIV BONS,G,REM 6447,,,,,,,,,,1.37,58,36%,1.72,81,2%,,,26.05,73,2%,,,,,,,34.25,82,0.5%,,,10.14,73,2%,17.64,75,1%,120,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMC A2943,09/19,REM INFINITO GEN. ADT,G,REM A7,,,,,,,,,,2.83,56,10%,1.72,79,2%,,,28.36,71,0.5%,,,,,,,33.02,78,0.5%,,,9.84,72,2%,17.45,74,1%,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM A1575,09/18,DODGE MAT.,G,RDM 5049,,,,,,,,,,2.20,56,19%,0.28,84,38%,,,25.06,76,2%,,,,,,,29.68,87,2%,,,10.22,83,1%,17.40,84,1%,501,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHVM 17941,11/18,DON JUAN FIV CAMPARIN,G,JHVM 12659,,,,,,,,,,4.07,56,3%,1.02,79,9%,,,22.79,71,4%,,,,,,,30.57,78,1%,,,9.14,71,2%,17.15,73,1%,43,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKF 4,09/18,WKF4 ARABE,G,REMC 5326,,,,,,,,,,4.07,30,3%,1.20,72,6%,,,28.12,55,0.5%,,,,,,,30.27,78,2%,,,10.00,71,2%,17.06,72,1%,137,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 2560,12/19,DRUIDO DA AGRONOVA,G,FANO 1509,,,,,,,,,,0.92,55,48%,1.89,79,1%,,,28.61,71,0.5%,,,,,,,32.68,78,1%,,,8.97,75,3%,16.72,76,2%,84,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGP 9684,08/19,FABULOSO FIV GUADALUP,G,REMC 8053,,,,,,,,,,3.37,56,6%,1.55,79,3%,,,27.82,72,1%,,,,,,,31.57,79,1%,,,8.53,78,3%,16.66,78,2%,84,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM A1246,11/16,REM FIGURAO,G,REM 8933,,,,,,,,,,2.16,57,19%,1.30,80,5%,,,23.61,71,3%,,,,,,,23.75,80,5%,,,9.84,68,2%,16.63,71,2%,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 10073,08/18,REM HOVER GEN ADT,G,REMC 9891,,,,,,,,,,5.19,37,1%,1.57,75,2%,,,27.25,61,1%,,,,,,,34.11,79,0.5%,,,8.88,72,3%,16.59,75,2%,206,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM 7177,11/11,REM ALTOASTRAL,G,REM 4339,,,,,,,,,,3.54,75,5%,0.72,90,17%,,,23.33,84,3%,,,,,,,23.73,92,5%,,,9.78,88,2%,16.47,89,2%,1253,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
