nome;codigo;nome 2;REG. #;BORN;FRAME (yrl);BW (lbs);WW (lbs);YW (lbs);SCROTAL (cm yrl);CE EPD;CE ACC;CE RANK %;BW EPD;BW ACC;BW RANK %;WW EPD;WW ACC;WW RANK %;YW EPD;YW ACC;YW RANK %;RADG EPD;RADG ACC;RADG RANK %;YH EPD;YH ACC;YH RANK %;SC EPD;SC ACC;SC RANK %;DOC EPD;DOC ACC;DOC RANK %;HP;;;CEM;;;MILK;;;MW;;;MH;;;$EN;;;CW;;;MARB;;;ACT MARB;;;REA;;;ACT REA;;;FAT;;;ACT FAT;;; $W;;;$F;;;$G;;;$QG;;;$YG;;;$B;;
COLUMBUS;0200AN10337;QUAKER HILL COLUMBUS 6V48;18841595;01/09/2016;6.3;68;786;1360;38.0;10;0.37;20;-0.5;0.52;15;77;0.45;2;127;0.41;4;0.21;0.30;45;0.3;0.43;65;1.45;0.44;15;25;0.39;15;8.4;0.27;85;11;0.34;25;26;0.35;30;15;0.36;75;0.1;0.41;70;-12.71;-;75;59;0.43;10;0.79;0.40;20;;-;-;0.88;0.39;10;;-;-;-0.021;0.36;15;;-;-;87.87;-;1;83.26;-;10;47.75;-;15;40.6;-;20;7.15;-;20;168.12;-;5
TONIC;0200AN10336;LUCAS TONIC 654S;18758478;09/09/2016;6.4;74;745;1342;39.0;-5;0.39;95;2.9;0.55;85;85;0.48;1;160;0.43;1;0.35;0.28;2;0.7;0.48;20;0.49;0.43;70;29;0.37;4;10.7;0.24;55;10;0.32;35;37;0.33;1;36;0.34;40;0.5;0.38;25;-41.77;-;95;74;0.43;1;0.71;0.39;25;4.09;-;-;0.77;0.39;15;13.1;-;-;-0.023;0.36;15;0.23;-;-;87.56;-;1;146.83;-;1;42.78;-;25;38.33;-;25;4.45;-;50;196.47;-;1
ROLL CALL;0200AN10107;HART ROLL CALL 7086;18940351;02/02/2017;6.0;72;770;1410;37.0;14;0.37;4;-1.3;0.56;10;75;0.49;3;146;0.44;1;0.3;0.26;10;0.5;0.41;40;0.49;0.49;70;25;0.36;15;;;;;;;25;0.31;40;;;;;;;;;;69;0.43;1;0.65;0.40;35;3.02;-;-;0.77;0.39;15;15.3;-;-;-0.018;0.37;15;0.3;-;-;;;;;;;;;;;;;;;;;;
OUTLIER;0200AN10109;HART OUTLIER 7033;18942501;27/01/2017;6.1;79;829;1527;42.7;8;0.38;35;0.7;0.55;35;80;0.48;1;154;0.43;1;0.3;0.26;10;0.7;0.40;20;2.03;0.49;2;28;0.35;10;;;;;;;21;0.31;75;;;;;;;;;;73;0.43;1;0.7;0.39;30;4.38;-;-;0.53;0.39;45;14.4;-;-;0.067;0.36;95;0.44;-;-;;;;;;;;;;;;;;;;;;
RHOMBUS;0200AN10733;SCHIEFELBEIN RHOMBUS 4937;18902388;16/03/2017;5.8;80;899;1560;36.4;5;0.34;60;1.1;0.50;45;79;0.43;1;141;0.38;1;0.27;0.26;15;0.5;0.39;40;-0.14;0.49;95;11;0.37;75;11.1;0.20;45;3;0.31;95;25;0.32;40;74;0.31;4;0.7;0.36;15;-24.1;-;95;62;0.40;4;0.32;0.37;75;4.26;-;-;0.61;0.37;35;15.9;-;-;0.026;0.34;75;0.39;-;-;74.66;-;3;119.24;-;1;23.27;-;85;22.8;-;75;0.47;-;90;162.72;-;10
ATLAS;0200AN10824;KOUPALS B&B ATLAS 4061;17893917;09/01/2014;6.3;80;763;1397;40.0;8;0.63;40;1.1;0.85;45;63;0.84;20;121;0.74;10;0.28;0.26;15;0.4;0.46;50;1.65;0.73;10;19;0.54;30;9;0.50;70;12;0.33;15;21;0.35;70;26;0.31;55;0.4;0.35;35;-10.91;-;70;34;0.48;55;-0.08;0.40;95;3.22;-;-;0.27;0.42;80;15;-;-;0.034;0.39;80;0.46;-;-;54.44;-;35;96.42;-;10;0.16;-;95;-0.31;-;95;0.47;-;90;92.41;-;75
CASH FLOW;0200AN10821;KR CASH FLOW;17618508;01/03/2013;6.5;80;875;1517;39.0;3;0.47;75;3.8;0.84;95;67;0.78;10;113;0.69;20;0.2;0.25;50;0.8;0.38;10;0.21;0.47;85;24;0.34;15;10.8;0.23;45;6;0.42;75;15;0.40;95;54;0.30;15;0.7;0.35;10;-3.32;-;45;54;0.47;10;0.04;0.39;95;3.04;-;-;1.1;0.40;1;18.9;-;-;0.001;0.38;35;0.5;-;-;45.44;-;60;65.49;-;30;15.62;-;95;7.56;-;95;8.06;-;10;126.98;-;40
BUILDER;0200AN10832;PA BUILDER 630;18349160;13/12/2015;6.0;73;958;1500;39.5;4;0.38;70;2.8;0.55;80;70;0.48;10;121;0.44;10;0.22;0.24;40;0.7;0.43;20;0.8;0.49;50;16;0.38;50;7.1;0.22;95;4;0.32;90;38;0.33;1;27;0.33;55;0.6;0.39;20;-31.71;-;95;46;0.43;30;0.62;0.39;35;6.02;-;-;0.44;0.39;60;13.9;-;-;-0.002;0.37;35;0.39;-;-;77.55;-;2;82.96;-;15;38.93;-;35;35.35;-;35;3.58;-;65;144.19;-;25
UNANIMOUS;0200AN10812;VISION UNANIMOUS 1418;16992096;22/01/2011;6.5;84;902;1611;41.0;1;0.77;85;3.3;0.96;90;74;0.95;3;126;0.92;10;0.15;0.35;80;0.3;0.87;65;0.96;0.89;35;21;0.85;25;;;;;;;14;0.81;95;;;;;;;;;;48;0.63;20;0.54;0.59;40;4;-;-;0.23;0.56;85;15.2;-;-;0.017;0.59;60;0.5;-;-;;;;;;;;;;;;;;;;;;
SOUTH DAKOTA;0200AN10813;MOHNEN SOUTH DAKOTA 402;17250190;05/01/2012;6.5;94;923;1595;45.0;0;0.73;90;4.1;0.93;95;67;0.92;10;112;0.88;20;0.18;0.23;65;0.5;0.82;40;0.93;0.84;40;23;0.79;20;;;;;;;22;0.75;60;;;;;;;;;;41;0.53;35;0.8;0.48;15;6.14;-;-;0.31;0.48;75;15.6;-;-;0.063;0.48;95;0.79;-;-;;;;;;;;;;;;;;;;;;
OPPORTUNITY;0200AN10718;FREYS OPPORTUNITY 148A;17644282;22/02/2013;6.8;86;927;1671;38.0;6;0.42;55;3.2;0.82;90;78;0.76;2;148;0.63;1;0.44;0.22;1;1;0.58;3;0.32;0.59;80;21;0.48;25;;;;;;;32;0.39;10;;;;;;;;;;87;0.46;1;0.35;0.41;70;3.94;-;-;0.97;0.42;2;16.6;-;-;-0.065;0.40;1;0.49;-;-;;;;;;;;;;;;;;;;;;
SENTINEL;0200AN10830;FLYING V SENTINEL PRIME 63D;18526766;20/02/2016;6.6;78;800;1603;40.5;6;0.43;55;0.3;0.67;30;72;0.60;5;139;0.42;2;0.26;0.27;20;0.7;0.48;20;1.19;0.48;25;28;0.43;5;;;;;;;23;0.31;55;;;;;;;;;;79;0.40;1;0.3;0.33;75;-;-;-;0.78;0.34;10;-;-;-;-0.005;0.30;25;-;-;-;;;;;;;;;;;;;;;;;;
