nome;codigo;nome 2;REG. #;BORN;FRAME (yrl);BW (lbs);WW (lbs);YW (lbs);SCROTAL (cm yrl)
EXTREME;0200SK00301;ANDCHRIS EXTREME 23E;;24/02/2017;;;;;
DANGIT MATTERS;0200SK00300;DANGIT MATTERS 22D;;14/03/2016;5.0;;;;--
