nome;codigo;nome 2;REG. #;BORN;FRAME (yrl);BW (lbs);WW (lbs);YW (lbs);SCROTAL (cm yrl);CE EPD;CE ACC;CE RANK %;BW EPD;BW ACC;BW RANK %;WW EPD;WW ACC;WW RANK %;YW EPD;YW ACC;YW RANK %;MILK EPD;MILK ACC;MILK RANK %;CW EPD;CW ACC;CW RANK %;MARB EPD;MARB ACC;MARB RANK %;BF EPD;BF ACC;BF RANK %;REA EPD;REA ACC;REA RANK %;API EPD;API ACC;API RANK %;TI EPD;TI ACC;TI RANK %
HEXTOR;0200SM30336;BAR 5 HEXTOR 1223C;3172322;16/03/2015;6.1;90;713;;40.0;7.4;0.19;20;2.4;0.23;10;62.6;0.21;80;91.1;0.21;75;27.6;0.17;85;26.6;0.24;20;-0.04;0.21;2;-0.159;0.18;70;0.75;0.24;75;106.4;;10;63.6;;25
GUERRERO;0200SM30340;FGAF GUERRERO 810Y;3298136;09/01/2011;6.0;97;682;1264;39.0;13.5;0.19;3;1.0;0.22;5;60.3;0.21;85;85.2;0.21;90;36.4;0.20;5;22.0;0.25;55;0.21;0.22;75;-0.166;0.21;20;0.83;0.26;45;111.1;;4;61.6;;40
