nome_touro,nome_touro_alta,codigo_touro,raca,data_preco,preco_ajustado_reais,data_prova,fonte_prova_url,TPI,NM$,CM$,Leite,Proteína,Proteína%,Gordura,Gordura%,CGP,Pconf,PTAT,JUI,FLC,Tconf,PL,DPR,SCS,SCE,DCE,NMT,DSB,CCR,HCR,aAa,DMS
BUSTOP 2.731 -291 92 1 4 1 100 A2A2 SUPERSIRE DORCY,BUSTOP,200HO10189,HOLANDÊS PRETO E BRANCO,2021-04-01,30.58,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10189,2308,259,291,-570,0,0.06,31,0.19,31,99,0.6,1.39,0.65,94,2.0,0.4,2.76,2.7,2.2,5.6,4.9,1.4,-0.7,,
HIGH OCTANE 2.130 996 99 2.39 2.06 0.26 2.7% SHOWTIME / IMMUNITY+ MCCUTCHEN OBSERVER,HIGH OCTANE,200HO10363,LEITE IMPORTADO,2021-04-01,109.7,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10363,2132,-20,-43,985,13,-0.06,10,-0.1,23,99,2.42,2.06,0.06,98,-1.4,-1.8,2.85,3.0,2.6,8.4,7.8,-2.2,-1.2,,
ORION 2.572 1.410 99 2.07 2.12 0.18 1.9% SHOWTIME / IMMUNITY+ KINGBOY MOGUL,ORION,200HO10457,LEITE IMPORTADO,2021-04-01,87.76,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10457,2584,407,391,1408,30,-0.05,51,-0.01,81,99,2.07,2.15,0.03,98,2.5,-0.1,2.83,2.0,2.7,6.0,5.6,1.4,1.9,,
COPIOUS 2.611 2.029 98 1.58 1.17 0.32 1.9% FERTILITY BOMBERO MORGAN,COPIOUS,200HO10573,HOLANDÊS PRETO E BRANCO,2021-04-01,71.8,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10573,2582,465,449,2049,50,-0.05,40,-0.13,90,99,1.51,1.12,0.18,90,3.7,-0.2,2.94,2.0,1.7,7.8,5.2,0.2,0.4,,
DARE 2.538 728 92 1.19 1.13 1.05 1.9% ROBOTREADY SILVER DAY,DARE,200HO10653,HOLANDÊS PRETO E BRANCO,2021-04-01,47.87,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10653,2537,452,467,752,29,0.02,63,0.12,92,92,1.24,1.19,1.04,88,2.6,-1.8,2.76,2.1,2.3,6.5,6.2,-1.5,-0.1,,
LAUDERDALE 2.494 406 90 0.73 1.07 0.32 2.0% GENOMAX / A2A2 / ROBOTREADY DRAFTPICK BOMBERO,LAUDERDALE,200HO10814,LEITE IMPORTADO,2021-04-01,30.58,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10814,2484,409,445,333,29,0.07,44,0.11,73,91,0.67,0.97,0.24,88,3.1,0.1,2.77,2.2,2.3,6.6,6.0,1.2,1.3,,
TRAMWAY 2.516 240 84 0.51 0.75 1.01 1.7% GENOMAX / A2A2 MODESTY LOTTOMAX,TRAMWAY,200HO10822,LEITE IMPORTADO,2021-04-01,29.25,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10822,2419,394,432,-118,21,0.09,34,0.14,55,92,0.57,0.82,1.17,79,3.6,1.7,3.06,1.9,3.0,5.3,6.1,2.0,0.6,,
KIPPER 2.666 1.105 93 7 9 3 93 SHOWTIME / IMMUNITY+ HIGH OCTANE 5G,KIPPER,200HO10827,LEITE IMPORTADO,2021-04-01,42.55,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10827,2080,-60,-68,648,15,-0.02,7,-0.06,22,92,2.59,1.92,-0.16,86,-2.1,-2.2,3.04,3.2,2.9,7.7,6.8,-3.1,-2.1,,
CAYDEN 2.563 349 91 1.11 1.10 1.11 1.9% ROBOTREADY AFTERBURNER COMMANDER,CAYDEN,200HO10831,HOLANDÊS PRETO E BRANCO,2021-04-01,47.87,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10831,2570,405,469,146,40,0.13,38,0.11,78,92,1.28,1.34,1.32,88,1.8,0.2,2.7,2.1,2.3,5.8,5.5,-0.2,1.2,,
TOPNOTCH 2.655 1.047 92 1.22 1.70 0.00 1.9% GENOMAX / SEMEXX JEDI LOTTOMAX,TOPNOTCH,200HO10864,LEITE IMPORTADO,2021-04-01,87.76,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10864,2581,471,500,846,41,0.05,31,-0.01,72,93,1.11,1.56,-0.03,92,5.1,1.4,2.81,2.1,2.4,6.8,5.6,4.0,-1.7,,
SECURE 2.587 577 81 0.87 0.84 0.47 2.2% GENOMAX / ROBOTREADY MONTANA SILVER,SECURE,200HO10934,LEITE IMPORTADO,2021-04-01,29.25,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10934,2660,560,578,793,33,0.03,76,0.16,109,92,0.9,1.03,0.24,82,3.3,1.3,2.85,2.3,2.9,5.9,5.1,2.6,1.9,,
"POSITIVE 2.832 1.343 81 1.50 1.49 -0,17 2.1% GENOMAX / A2A2 / FERTILITY / SEMMEX DUKE RUBICON",POSITIVE,200HO10955,LEITE IMPORTADO,2021-04-01,355.02,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10955,2833,731,762,1308,57,0.06,111,0.21,168,88,1.34,1.55,-0.19,85,3.4,-2.2,2.91,2.3,2.3,5.3,6.5,-1.9,1.2,,
BLUFF 2.681 1.751 80 1.66 1.79 0.81 1.6% GENOMAX / ROBOTREADY EUCLID MONTROSS,BLUFF,200HO10969,HOLANDÊS PRETO E BRANCO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10969,2704,559,543,1868,44,-0.05,52,-0.07,96,86,1.65,1.87,0.74,79,4.7,0.1,2.9,1.8,1.6,5.2,4.8,0.0,-0.5,,
CINNAMON 2.521 62 80 0.54 1.65 0.28 2.2% GENOMAX ALLTIME YODER,CINNAMON,200HO10981,HOLANDÊS PRETO E BRANCO,2021-04-01,47.87,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10981,2519,392,421,73,18,0.06,31,0.1,49,80,0.49,1.68,0.3,78,3.1,2.7,2.8,2.4,2.5,5.9,4.8,4.6,4.3,,
"GRADUAL 2.431 792 88 0.99 1.08 -0,20 1.9% GENOMAX / A2A2 JEDI GREENWAY",GRADUAL,200HO11013,LEITE IMPORTADO,2021-04-01,30.58,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11013,2270,223,245,455,23,0.03,0,-0.06,23,94,0.65,0.89,-0.94,88,3.7,1.1,2.66,2.0,2.2,6.6,5.5,2.1,-1.6,,
"PROSPEROUS 2.688 1.381 79 1.26 1.43 -0,01 2.1% GENOMAX MAGNUS SUPERSHOT",PROSPEROUS,200HO11043,LEITE IMPORTADO,2021-04-01,71.8,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11043,2651,534,565,1328,53,0.04,57,0.02,110,82,1.08,1.42,-0.13,78,3.5,-1.9,2.55,2.4,2.5,6.5,7.0,-1.7,-1.4,,
PAVLOV 2.738 370 80 1.71 1.58 0.64 1.7% GENOMAX GRANITE RUBICON,PAVLOV,200HO11044,LEITE IMPORTADO,2021-04-01,61.16,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11044,2761,617,650,409,34,0.07,84,0.24,118,80,1.69,1.6,0.69,79,3.1,1.3,3.1,1.8,2.0,5.9,4.5,2.3,2.0,,
MOOSE 2.742 761 79 1.42 1.42 0.67 2.3% GENOMAX / ROBOTREADY EUGENIO PROFIT,MOOSE,200HO11059,LEITE IMPORTADO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11059,2718,552,574,700,34,0.04,65,0.13,99,79,1.37,1.41,0.67,77,3.7,1.7,2.96,2.5,2.0,6.5,4.3,2.2,0.9,,
SWINGMAN-RED 2.609 841 80 1.60 1.55 0.98 1.7% GENOMAX / ROBOTREADY / SEMEXX / IMMUNITY+ APPRENTICE DELTA,SWINGMAN-RED,200HO11091,HOLANDÊS VERMELHO E BRANCO,2021-04-01,240.01,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11091,2569,496,499,770,21,-0.01,42,0.04,63,80,1.42,1.42,0.89,79,5.8,0.3,2.7,1.8,1.8,5.6,4.6,1.0,0.9,,
"HEISENBERG 2.593 591 79 1.01 1.14 -1,31 2.3% GENOMAX FORTUNE JEDI",HEISENBERG,200HO11100,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11100,2542,437,467,455,27,0.05,34,0.06,61,79,0.91,1.19,-1.44,78,4.8,2.6,2.61,2.5,2.0,6.0,4.0,3.8,0.9,,
RUSS-PP-RED 2.307 696 80 1.72 1.71 0.28 3.0% GENOMAX / MOCHO HOMOZIGOTO / A2A2 / ROBOTREADY LOYOLA-P SUPERSHOT,RUSS-PP-RED,200HO11126,HOLANDÊS VERMELHO E BRANCO,2021-04-01,87.76,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11126,2318,210,231,696,33,0.04,10,-0.06,43,80,1.72,1.69,0.36,80,2.6,-1.3,2.97,3.1,2.9,6.0,6.3,-0.6,0.4,,
REDROCK 2.562 913 80 0.61 1.42 0.40 1.7% GENOMAX MODESTY DELTA,REDROCK,200HO11172,LEITE IMPORTADO,2021-04-01,29.25,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11172,2556,528,533,858,30,0.01,60,0.09,90,80,0.61,1.43,0.51,79,3.7,-0.2,3.1,1.9,1.9,4.9,4.9,0.4,-0.8,,
POPSTAR 2.765 1.567 79 1.16 1.50 0.37 1.8% GENOMAX / ROBOTREADY / FERTILITY IMAX DELCO,POPSTAR,200HO11196,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11196,2803,662,672,1597,54,0.02,86,0.08,140,79,1.26,1.59,0.34,78,3.4,-0.1,3.02,2.2,2.5,5.8,5.1,0.4,0.5,,
"MIGGY 2.577 497 80 1.00 1.33 -0,33 2.0% GENOMAX / ROBOTREADY FORTUNE MODESTY",MIGGY,200HO11216,LEITE IMPORTADO,2021-04-01,47.87,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11216,2545,473,492,345,20,0.03,43,0.1,63,80,1.02,1.4,-0.38,78,4.7,2.1,2.85,2.2,1.9,5.4,4.3,2.8,-0.4,,
"OPTION 2.623 368 80 0.73 0.84 -0,02 2.2% GENOMAX / ROBOTREADY FORTUNE DELTA",OPTION,200HO11231,LEITE IMPORTADO,2021-04-01,39.89,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11231,2573,495,529,264,25,0.06,47,0.13,72,81,0.71,0.86,-0.09,80,5.6,1.9,2.7,2.4,1.9,7.1,5.3,3.2,0.4,,
"SHARKNADO 2.594 228 80 1.18 1.38 -0,65 1.7% GENOMAX FORTUNE SPRING",SHARKNADO,200HO11233,LEITE IMPORTADO,2021-04-01,29.25,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11233,2534,421,456,104,20,0.06,45,0.15,65,81,1.07,1.38,-0.82,79,3.7,1.3,2.61,2.0,1.9,5.3,4.4,2.5,1.6,,
"PAVAROTTI 2.685 1.166 80 1.10 1.34 -0,05 2.5% GENOMAX / A2A2 FRAZZLED SILVER",PAVAROTTI,200HO11242,LEITE IMPORTADO,2021-04-01,61.16,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11242,2665,561,579,1139,42,0.02,64,0.07,106,80,0.94,1.26,-0.15,79,3.9,-0.5,2.73,2.6,2.6,5.6,4.9,0.3,2.1,,
"FLETCHER 2.732 1.313 80 1.03 1.21 -0,14 2.0% GENOMAX IMAX JEDI",FLETCHER,200HO11257,LEITE IMPORTADO,2021-04-01,61.16,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11257,2753,627,650,1357,55,0.04,80,0.09,135,80,1.02,1.24,-0.16,79,3.6,0.0,3.02,2.2,1.8,5.9,5.6,1.5,-0.3,,
DISCJOCKEY 2.710 188 80 2.25 2.80 0.05 2.7% GENOMAX / SHOWTIME / SEMEXX FORTUNE MONTEREY,DISCJOCKEY,200HO11287,HOLANDÊS PRETO E BRANCO,2021-04-01,98.4,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11287,2661,463,505,41,24,0.08,48,0.17,72,80,2.23,2.75,-0.03,79,3.4,1.3,2.75,2.9,2.4,5.7,4.8,2.1,0.5,,
"MASTERS 2.723 740 80 0.74 1.39 -0,28 1.4% GENOMAX / GRAZINGPRO / SEMEXX / A2A2 GUARANTEE MODESTY",MASTERS,200HO11296,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11296,2742,654,685,685,36,0.05,58,0.11,94,80,0.91,1.4,-0.17,78,5.8,2.2,2.73,1.6,1.3,4.5,3.8,3.4,0.6,,
EMERALD 2.692 955 80 1.26 1.54 0.05 2.5% GENOMAX / SEMEXX FORTUNE RUBICON,EMERALD,200HO11318,LEITE IMPORTADO,2021-04-01,109.03,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11318,2666,542,565,854,37,0.04,40,0.03,77,81,1.26,1.55,0.03,80,5.2,1.6,2.8,2.5,1.5,5.3,2.9,2.9,2.2,,
"MUSEUM 2.603 30 79 1.01 1.30 -0,77 1.8% GENOMAX FORTUNE JEDI",MUSEUM,200HO11331,LEITE IMPORTADO,2021-04-01,39.89,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11331,2538,441,489,-142,22,0.09,33,0.14,55,79,0.95,1.35,-0.77,78,4.7,3.1,2.69,2.0,1.7,5.9,4.6,4.4,-0.6,,
"MARTINI 2.511 85 80 1.13 1.37 -0,6 1.9% GENOMAX / IMMUNITY+ FORTUNE DELTA",MARTINI,200HO11334,LEITE IMPORTADO,2021-04-01,102.38,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11334,2453,355,379,-89,10,0.05,30,0.12,40,81,1.07,1.37,-0.48,79,3.9,3.1,2.83,2.2,1.4,5.3,3.5,4.5,1.3,,
"FORTYNINER 2.759 1.366 80 1.45 0.96 -0,74 2.1% GENOMAX PROPHECY JEDI",FORTYNINER,200HO11347,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11347,2790,629,654,1441,57,0.04,71,0.05,128,80,1.3,0.94,-0.76,79,4.4,0.8,2.88,2.3,2.0,6.2,4.8,3.0,1.8,,
BLIZZARD 2.782 762 79 1.56 2.27 0.11 2.1% GENOMAX / SEMEXX / IMMUNITY+ TOPNOTCH DENVER,BLIZZARD,200HO11387,HOLANDÊS PRETO E BRANCO,2021-04-01,87.76,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11387,2734,604,644,650,41,0.07,79,0.19,120,79,1.54,2.23,0.07,78,3.2,-0.4,2.75,2.2,2.1,6.9,5.6,0.8,-1.7,,
PANAMERA 2.708 1.023 80 0.74 0.74 0.13 2.3% GENOMAX / ROBOTREADY OUTLAST YODER,PANAMERA,200HO11395,LEITE IMPORTADO,2021-04-01,34.57,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11395,2688,611,634,968,40,0.03,80,0.15,120,80,0.7,0.75,0.09,79,3.7,-0.1,2.76,2.9,2.2,5.7,5.0,0.2,-0.1,,
"MALABAR 2.600 849 80 0.35 0.84 -1,14 1.7% GENOMAX FORTUNE JEDI",MALABAR,200HO11399,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11399,2550,485,518,710,38,0.06,39,0.04,77,80,0.32,0.84,-1.19,78,4.9,1.4,2.7,1.9,1.8,5.6,4.3,3.6,-0.3,,
"IMMERSION 2.703 835 79 0.97 1.23 -0,09 2.0% GENOMAX / ROBOTREADY MAVERICK MODESTY",IMMERSION,200HO11415,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11415,2680,575,598,713,34,0.04,51,0.08,85,79,0.96,1.26,-0.02,76,5.4,2.2,2.85,2.2,2.0,5.5,5.3,4.3,1.9,,
TOPONYM 2.641 578 78 0.93 1.65 0.71 1.4% GENOMAX / SEMEXX / IMMUNITY+ TOPNOTCH MODESTY,TOPONYM,200HO11431,LEITE IMPORTADO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11431,2603,496,521,447,25,0.04,16,0.0,41,79,0.79,1.56,0.6,78,7.0,3.3,2.72,1.5,1.7,5.6,4.7,5.2,1.8,,
SHERPA 2.804 901 79 1.29 1.66 0.82 1.9% GENOMAX / A2A2 / IMMUNITY+ PERSEUS SPRING,SHERPA,200HO11458,LEITE IMPORTADO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11458,2773,584,631,731,46,0.08,48,0.07,94,80,1.27,1.76,0.6,79,4.8,1.3,2.6,2.2,2.1,7.0,5.6,2.4,2.1,,
RIGHTANGLE 2.694 945 77 1.23 2.14 0.00 2.5% GENOMAX / FERTILITY / IMMUNITY+ CHALLENGER DELTA,RIGHTANGLE,200HO11547,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11547,2677,583,596,902,33,0.02,62,0.09,95,79,1.21,2.08,0.01,77,4.5,0.6,2.81,2.5,2.0,5.9,5.1,1.0,-0.5,,
"FLAWLESS 2.762 818 78 0.71 1.27 -0,06 1.9% GENOMAX MARIUS MAGNUS",FLAWLESS,200HO11551,LEITE IMPORTADO,2021-04-01,61.16,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11551,2792,694,739,807,47,0.08,77,0.16,124,79,0.85,1.48,-0.11,78,4.8,-0.2,2.59,2.0,2.1,6.3,5.7,0.4,-0.7,,
"HEATPROOF 2.707 900 80 0.74 1.33 -0,37 1.9% GENOMAX TOPNOTCH JEDI",HEATPROOF,200HO11609,LEITE IMPORTADO,2021-04-01,65.95,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11609,2650,536,567,753,38,0.05,37,0.03,75,80,0.63,1.27,-0.35,79,6.1,3.2,2.7,2.1,2.1,5.8,5.0,5.2,0.6,,
MAINFRAME 2.638 820 79 1.67 2.02 0.35 1.9% GENOMAX / ROBOTREADY / A2A2 / IMMUNITY+ TOPNOTCH MODESTY,MAINFRAME,200HO11611,LEITE IMPORTADO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11611,2611,500,511,666,26,0.02,49,0.08,75,80,1.61,2.04,0.36,79,4.9,0.9,2.93,2.1,2.0,5.9,5.1,2.0,-1.0,,
SHELBY 2.750 454 79 1.08 1.82 0.04 1.7% GENOMAX / SEMEXX / A2A2 / FERTILITY / IMMUNITY+ MAVERICK DETOUR,SHELBY,200HO11616,LEITE IMPORTADO,2021-04-01,183.49,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11616,2726,579,613,368,30,0.07,54,0.14,84,79,1.08,1.92,-0.01,77,4.9,3.7,2.82,1.8,1.9,5.5,5.0,5.7,2.0,,
DARMOUTH 2.763 1.246 77 1.59 2.06 0.09 2.3% GENOMAX / ROBOTREADY CHALLENGER DUKE,DARMOUTH,200HO11627,HOLANDÊS PRETO E BRANCO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11627,2755,619,634,1204,41,0.01,65,0.06,106,79,1.55,1.97,0.03,76,5.5,0.7,2.68,2.5,2.7,6.8,7.2,2.0,-1.0,,
MEMBERSHIP 2.777 1.315 76 1.46 1.61 0.27 2.0% GENOMAX / A2A2 POSITIVE MODESTY,MEMBERSHIP,200HO11644,LEITE IMPORTADO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11644,2782,662,673,1275,44,0.02,90,0.14,134,78,1.4,1.65,0.41,75,4.0,-0.6,2.97,2.2,2.2,4.9,5.6,0.3,1.4,,
COCKPIT 2.857 740 77 1.88 1.79 0.28 2.1% GENOMAX / A2A2 / SEMMEX / IMMUNITY+ POSITIVE DELTA,COCKPIT,200HO11722,HOLANDÊS PRETO E BRANCO,2021-04-01,218.07,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11722,2846,706,741,717,40,0.06,95,0.23,135,78,1.77,1.86,0.34,76,4.5,-0.2,2.78,2.5,2.3,5.9,6.2,0.3,2.2,,
MAJORDOMO 2.882 1.386 78 0.99 1.53 0.11 2.2% GENOMAX / FASTSTART / SEMEXX / ROBOTREADY MARIUS FRAZZLED,MAJORDOMO,200HO11747,LEITE IMPORTADO,2021-04-01,152.91,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11747,2910,773,803,1355,54,0.04,80,0.1,134,79,1.12,1.66,0.09,77,6.6,-0.2,2.61,2.4,2.5,6.2,4.8,1.2,0.3,,
"DARKFLASH 2.722 833 80 1.50 1.71 -0,05 2.1% GENOMAX / ROBOTREADY / FERTILITY / IMMUNITY+ BLOOMFIELD YODER",DARKFLASH,200HO11761,HOLANDÊS PRETO E BRANCO,2021-04-01,98.4,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11761,2704,604,603,796,22,-0.01,71,0.14,93,80,1.52,1.7,0.04,79,4.8,1.9,2.9,2.5,2.9,6.1,5.5,2.6,3.1,,
HANLEY 2.870 656 77 2.33 2.69 1.04 1.7% GENOMAX / ROBOTREADY CHALLENGER DELTA-LAMBDA,HANLEY,200HO11782,LEITE IMPORTADO,2021-04-01,163.55,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11782,2843,692,716,589,31,0.04,84,0.21,115,79,2.23,2.61,0.92,77,4.7,0.3,2.88,1.8,1.8,5.8,5.9,0.8,-0.2,,
MAXWELL 2.868 1.269 78 1.50 1.25 0.42 2.2% GENOMAX / ROBOTREADY MARIUS EXACTLY,MAXWELL,200HO11800,LEITE IMPORTADO,2021-04-01,102.38,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11800,2923,726,771,1297,64,0.08,91,0.14,155,79,1.66,1.52,0.43,77,3.9,-0.3,2.77,2.4,2.7,6.4,5.6,1.3,0.6,,
REVERE-RED 2.312 376 79 2.57 2.26 1.28 2.6% GENOMAX / ROBOTREADY / IMMUNITY+ UNSTOPABULL BAILEY*RC,REVERE-RED,200HO11819,HOLANDÊS VERMELHO E BRANCO,2021-04-01,218.07,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11819,2293,111,113,365,12,0.0,9,-0.02,21,79,2.58,2.27,1.39,78,0.3,-0.1,3.01,2.9,2.6,7.3,5.6,-0.4,0.8,,
REDEYE-P 2.612 641 77 2.36 2.07 1.24 1.9% GENOMAX / MOCHO / A2A2 WEBSTER KINGBOY,REDEYE-P RED,200HO11828,HOLANDÊS VERMELHO E BRANCO,2021-04-01,152.91,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11828,2604,431,440,611,22,0.01,45,0.08,67,78,2.3,2.07,1.19,75,3.4,0.5,2.85,1.9,2.2,5.6,5.6,-0.5,0.0,,
SEAPORT 2.804 317 76 2.12 2.49 0.39 2.2% GENOMAX / IMMUNITY+ DISCJOCKEY RESOLVE,SEAPORT,200HO11845,LEITE IMPORTADO,2021-04-01,109.7,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11845,2746,564,602,123,24,0.07,51,0.16,75,77,1.92,2.38,0.24,75,4.9,2.1,2.73,2.4,2.0,5.1,3.3,3.9,1.3,,
HELIUM-RED 2.726 1.189 77 1.11 1.18 0.39 1.5% GENOMAX / ROBOTREADY SWINGMAN SALVATORE,HELIUM-RED,200HO11884,HOLANDÊS VERMELHO E BRANCO,2021-04-01,152.91,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11884,2731,650,659,1148,36,0.0,58,0.05,94,77,1.09,1.21,0.39,76,6.5,0.9,2.73,1.6,2.3,5.2,4.6,2.1,1.4,,
NETFLIX 2.766 1.476 77 1.34 1.38 0.05 2.0% GENOMAX / ROBOTREADY / A2A2 PURSUIT TOPNOTCH,NETFLIX,200HO11899,LEITE IMPORTADO,2021-04-01,77.12,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11899,2773,627,651,1441,55,0.03,56,0.0,111,77,1.27,1.36,0.03,75,5.4,0.4,2.79,2.1,1.7,6.4,4.5,2.3,1.4,,
BOSA 2.924 1.254 77 1.25 1.91 0.23 1.6% GENOMAX / SEMEXX TIMBERLAKE ACHIEVER,BOSA,200HO11946,HOLANDÊS PRETO E BRANCO,2021-04-01,218.07,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11946,2932,799,823,1246,52,0.05,96,0.16,148,77,1.3,1.91,0.18,76,4.7,0.7,2.98,1.7,2.0,4.8,4.2,2.7,1.0,,
BUSTOP 2.308 -570 99 0.60 1.39 0.65 2.7% A2A2 SUPERSIRE DORCY,BUSTOP,200HO10189,HOLANDÊS PRETO E BRANCO,2021-05-01,30.49,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10189,2308,259,291,-570,0,0.06,31,0.19,31,99,0.6,1.39,0.65,94,2.0,0.4,2.76,2.7,2.2,5.6,4.9,1.4,-0.7,,
HIGH OCTANE 2.132 985 99 2.42 2.06 0.06 3.0% SHOWTIME / IMMUNITY+ MCCUTCHEN OBSERVER,HIGH OCTANE,200HO10363,LEITE IMPORTADO,2021-05-01,109.36,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10363,2132,-20,-43,985,13,-0.06,10,-0.1,23,99,2.42,2.06,0.06,98,-1.4,-1.8,2.85,3.0,2.6,8.4,7.8,-2.2,-1.2,,
ORION 2.584 1.408 99 2.07 2.15 0.03 2.0% SHOWTIME / IMMUNITY+ KINGBOY MOGUL,ORION,200HO10457,LEITE IMPORTADO,2021-05-01,87.49,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10457,2584,407,391,1408,30,-0.05,51,-0.01,81,99,2.07,2.15,0.03,98,2.5,-0.1,2.83,2.0,2.7,6.0,5.6,1.4,1.9,,
COPIOUS 2.582 2.049 99 1.51 1.12 0.18 2.0% FERTILITY BOMBERO MORGAN,COPIOUS,200HO10573,HOLANDÊS PRETO E BRANCO,2021-05-01,71.58,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10573,2582,465,449,2049,50,-0.05,40,-0.13,90,99,1.51,1.12,0.18,90,3.7,-0.2,2.94,2.0,1.7,7.8,5.2,0.2,0.4,,
DARE 2.537 752 92 1.24 1.19 1.04 2.1% ROBOTREADY SILVER DAY,DARE,200HO10653,HOLANDÊS PRETO E BRANCO,2021-05-01,47.72,2021-04-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10653,2537,452,467,752,29,0.02,63,0.12,92,92,1.24,1.19,1.04,88,2.6,-1.8,2.76,2.1,2.3,6.5,6.2,-1.5,-0.1,,
