nome_touro,nome_touro_alta,codigo_touro,raca,data_preco,preco_ajustado_reais,data_prova,fonte_prova_url,TPI,NM$,CM$,Leite,Proteína,Proteína%,Gordura,Gordura%,CGP,Pconf,PTAT,JUI,FLC,Tconf,PL,DPR,SCS,SCE,DCE,NMT,DSB,CCR,HCR,aAa,DMS
"SHELBY 2.569 -54 97 0.87 1.78 -0,17 1.6% A2A2 MAVERICK DETOUR",SHELBY,200HO11616,LEITE IMPORTADO,2023-08-01,156.16,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11616,2546,608,623,-39,17,0.07,48,0.18,65,98,0.79,1.69,-0.43,92,4.0,2.0,2.74,1.6,1.8,4.8,5.1,3.4,1.1,,
DARMOUTH 2.747 1.269 82 1.72 2.26 0.19 2.4% GENOMAX CHALLENGER DUKE,DARMOUTH,200HO11627,HOLANDÊS PRETO E BRANCO,2023-08-01,63.37,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11627,2731,659,668,1236,41,0.01,63,0.05,104,82,1.78,2.24,0.23,81,3.9,-0.2,2.65,2.4,2.7,7.3,7.0,1.0,-1.2,,
MEMBERSHIP 2.734 1.175 81 1.59 1.95 0.25 2.2% GENOMAX / A2A2 POSITIVE MODESTY,MEMBERSHIP,200HO11644,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11644,2728,671,674,1206,43,0.02,89,0.15,132,81,1.65,1.97,0.28,80,1.8,-1.6,3.0,2.2,1.9,4.9,5.0,-1.1,0.4,,
BANKSY 2.846 1.365 85 1.03 1.62 0.09 2.1% GENOMAX / SEMEXX MARIUS IMAX,BANKSY,200HO11699,HOLANDÊS PRETO E BRANCO,2023-08-01,130.14,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11699,2832,835,855,1180,61,0.08,77,0.11,138,94,0.93,1.51,-0.02,84,4.4,-0.6,2.74,2.0,2.0,6.8,5.4,0.7,-1.8,,
COCKPIT 2.811 749 90 1.70 2.10 0.37 3.0% A2A2 / SEMMEX POSITIVE DELTA,COCKPIT,200HO11722,HOLANDÊS PRETO E BRANCO,2023-08-01,185.58,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11722,2785,754,767,768,39,0.05,95,0.23,134,93,1.7,2.1,0.32,90,2.4,-1.1,2.81,3.1,2.4,6.8,6.1,-0.8,1.0,,
MAJORDOMO 2.767 1.241 82 1.05 1.71 0.14 1.7% GENOMAX / SEMEXX MARIUS FRAZZLED,MAJORDOMO,200HO11747,LEITE IMPORTADO,2023-08-01,121.08,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11747,2806,864,880,1272,53,0.05,80,0.11,133,93,0.98,1.62,-0.14,81,4.7,-1.8,2.6,1.8,2.1,5.7,4.1,-0.3,-1.6,,
"DARKFLASH 2.618 835 83 1.42 1.64 -0,19 2.4% GENOMAX / ROBOTREADY BLOOMFIELD YODER",DARKFLASH,200HO11761,HOLANDÊS PRETO E BRANCO,2023-08-01,83.74,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11761,2640,603,602,885,20,-0.03,69,0.12,89,88,1.38,1.58,-0.18,81,3.8,1.1,2.89,2.4,2.6,6.1,5.3,2.1,3.9,,
BREVILLE 2.792 1.009 82 1.16 1.73 0.29 1.9% GENOMAX / GRAZINGPRO / A2A2 / SEMEXX CHALLENGER SUPERHERO,BREVILLE,200HO11768,HOLANDÊS PRETO E BRANCO,2023-08-01,62.24,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11768,2784,771,780,980,37,0.02,68,0.1,105,82,1.15,1.66,0.3,80,4.5,1.7,2.74,1.9,1.7,6.2,5.5,3.3,0.6,,
HANLEY 2.859 688 82 2.40 2.69 0.85 1.6% GENOMAX / ROBOTREADY CHALLENGER DELTA-LAMBDA,HANLEY,200HO11782,LEITE IMPORTADO,2023-08-01,83.74,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11782,2851,770,781,726,36,0.05,89,0.21,125,84,2.39,2.66,0.86,81,3.6,-0.3,2.82,1.6,1.8,5.6,6.2,0.5,-1.3,,
MAXWELL 2.819 1.266 82 1.69 1.79 0.90 2.4% GENOMAX MARIUS EXACTLY,MAXWELL,200HO11800,LEITE IMPORTADO,2023-08-01,83.74,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11800,2830,707,725,1319,65,0.08,86,0.12,151,87,1.56,1.7,0.81,81,2.1,-1.8,2.79,2.3,2.6,6.2,5.0,-0.3,-0.3,,
REVERE-RED 2.206 218 82 2.42 2.22 1.26 2.7% GENOMAX UNSTOPABULL BAILEY*RC,REVERE-RED,200HO11819,LEITE IMPORTADO,2023-08-01,164.08,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11819,2209,27,26,210,8,0.01,3,-0.02,11,88,2.33,2.13,1.14,84,1.3,0.0,3.08,2.8,2.8,7.9,6.5,-0.4,1.0,,
REDEYE-P 2.680 768 83 2.46 2.10 1.51 2.1% GENOMAX / MOCHO / ROBOTREADY / A2A2 / SEMEXX WEBSTER KINGBOY,REDEYE-P RED,200HO11828,LEITE IMPORTADO,2023-08-01,97.32,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11828,2669,552,558,768,25,0.0,52,0.08,77,93,2.44,1.76,1.45,85,4.1,0.5,2.76,2.2,2.1,6.1,6.1,-0.3,0.1,,
EASTBOUND 2.743 767 82 0.68 1.46 0.61 1.3% GENOMAX / IMMUNITY+ MARIUS ACHIEVER,EASTBOUND,200HO11841,LEITE IMPORTADO,2023-08-01,52.05,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11841,2777,834,850,849,39,0.04,86,0.18,125,83,0.64,1.44,0.51,80,4.7,-1.4,2.59,1.3,1.3,6.0,4.5,0.2,-1.5,,
"SEAPORT 2.588 -312 82 1.51 2.25 -0,39 2.2% GENOMAX / IMMUNITY+ DISCJOCKEY RESOLVE",SEAPORT,200HO11845,LEITE IMPORTADO,2023-08-01,93.36,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11845,2627,552,573,-169,22,0.1,39,0.16,61,83,1.55,2.36,-0.36,80,4.1,1.7,2.72,2.2,2.1,5.3,3.9,3.8,2.2,,
RAINBOW-RED 2.491 879 82 0.90 1.34 1.04 2.1% GENOMAX / ROBOTREADY SIMPLICITY*FV APPRENTICE*FV,RAINBOW-RED,200HO11875,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11875,2470,493,497,845,28,0.01,55,0.08,83,84,0.89,1.35,1.01,81,1.8,-2.2,2.9,2.1,2.1,5.3,4.6,-3.3,-1.4,,
HELIUM-RED 2.656 1.067 82 1.00 0.95 0.04 1.4% GENOMAX / SEMEXX SWINGMAN SALVATORE,HELIUM-RED,200HO11884,LEITE IMPORTADO,2023-08-01,97.32,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11884,2651,789,796,992,31,0.0,52,0.05,83,87,0.94,0.89,0.07,81,6.2,0.6,2.69,1.4,2.2,5.3,4.5,1.3,1.0,,
NETFLIX 2.756 1.447 82 1.41 1.48 0.30 1.9% GENOMAX / ROBOTREADY / A2A2 PURSUIT TOPNOTCH,NETFLIX,200HO11899,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11899,2759,773,782,1443,56,0.04,53,-0.01,109,82,1.4,1.55,0.35,80,5.0,-0.4,2.88,1.9,1.6,6.0,4.0,1.5,2.1,,
BONAPARTE 2.484 977 81 2.41 2.24 0.09 2.5% GENOMAX DISCJOCKEY FABULOUS,BONAPARTE,200HO11932,HOLANDÊS PRETO E BRANCO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11932,2515,290,295,1032,34,0.01,29,-0.04,63,81,2.46,2.33,0.13,80,1.6,0.0,2.85,2.5,2.3,6.5,5.8,0.5,0.1,,
BRUCHNER 2.635 708 81 1.09 1.37 0.57 2.1% GENOMAX / ROBOTREADY ROBERT FABULOUS,BRUCHNER,200HO11939,HOLANDÊS PRETO E BRANCO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11939,2663,609,623,726,41,0.06,58,0.1,99,81,1.2,1.4,0.57,80,4.3,0.1,2.82,2.1,1.9,6.4,4.5,0.8,1.1,,
VITALSIGNS 2.876 238 82 0.71 1.14 0.24 1.2% GENOMAX / SEMEXX / A2A2 / IMMUNITY+ SOHOT ACHIEVER,VITALSIGNS,200HO11943,LEITE IMPORTADO,2023-08-01,74.69,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11943,2859,867,892,193,34,0.1,118,0.39,152,82,0.59,1.05,0.28,80,3.8,-0.8,2.58,1.2,1.5,5.1,4.2,-0.5,-1.0,,
"BOSA 2.942 1.587 82 0.90 2.05 -0,09 1.8% GENOMAX / FERTILITY / IMMUNITY+ TIMBERLAKE ACHIEVER",BOSA,200HO11946,HOLANDÊS PRETO E BRANCO,2023-08-01,78.08,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11946,2928,1018,1025,1587,59,0.03,102,0.14,161,83,0.88,2.0,-0.15,81,4.0,-0.9,2.95,1.9,2.1,5.4,4.5,1.1,1.0,,
OBSIDIAN 2.949 590 82 1.57 1.92 1.32 1.5% GENOMAX / SEMEXX / FERTILITY MERRIMAC GRANITE,OBSIDIAN,200HO11977,LEITE IMPORTADO,2023-08-01,110.9,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11977,2941,889,909,627,42,0.08,106,0.29,148,84,1.49,1.89,1.32,81,4.5,-0.7,2.67,1.4,2.2,5.5,4.4,-0.3,0.1,,
"MINEBUSTER 2.724 732 81 0.76 1.37 -0,75 2.8% GENOMAX FULLMARKS MAVERICK",MINEBUSTER,200HO11992,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO11992,2737,747,764,742,37,0.05,70,0.14,107,81,0.71,1.37,-0.73,80,4.8,0.6,2.56,2.8,2.4,6.3,4.8,2.3,1.7,,
"POLYNESIA 2.726 703 82 0.64 1.00 -0,49 2.0% GENOMAX / SEMEXX / IMMUNITY+ CRIMSON MARIUS",POLYNESIA,200HO12017,LEITE IMPORTADO,2023-08-01,83.74,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12017,2733,814,836,742,56,0.11,83,0.19,139,82,0.59,0.89,-0.55,80,3.6,-1.8,2.81,2.1,2.2,5.3,3.6,-0.3,0.0,,
ROYALFLUSH 2.791 -126 82 2.19 3.09 0.16 2.6% GENOMAX / SEMEXX DISCJOCKEY FABULOUS,ROYALFLUSH,200HO12025,LEITE IMPORTADO,2023-08-01,209.35,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12025,2820,627,656,-76,37,0.14,51,0.19,88,82,2.26,3.15,0.23,80,4.9,1.4,2.67,2.6,2.5,7.1,5.5,2.9,2.3,,
PROLOGUE 3.007 1.006 82 1.57 1.98 0.59 2.1% GENOMAX / SEMEXX / FERTILITY / IMMUNITY+ EINSTEIN ACHIEVER,PROLOGUE,200HO12026,LEITE IMPORTADO,2023-08-01,263.1,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12026,3012,974,991,1083,56,0.08,124,0.28,180,82,1.56,1.9,0.3,80,3.8,-1.4,2.8,2.1,2.2,6.9,5.6,-0.1,1.4,,
PROVERB 2.950 751 82 1.46 2.35 0.17 2.2% GENOMAX / A2A2 / SEMEXX EINSTEIN POSITIVE,PROVERB,200HO12027,LEITE IMPORTADO,2023-08-01,126.74,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12027,2952,894,915,787,56,0.11,103,0.25,159,82,1.46,2.3,0.0,80,4.4,-0.5,2.82,2.1,2.1,6.3,5.2,0.3,0.0,,
"PASSWORD 2.846 1.035 80 0.86 1.09 -0,22 1.7% GENOMAX / GRAZINGPRO / A2A2 / SEMEXX / FERTILITY ELDORADO MONTOYA",PASSWORD,200HO12033,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12033,2826,842,863,1040,63,0.11,61,0.07,124,80,0.8,1.03,-0.27,78,4.8,1.7,2.86,1.7,1.5,4.9,4.1,3.7,1.3,,
MINTJULEP 2.765 1.500 80 0.95 2.05 0.59 1.7% GENOMAX / A2A2 ELDORADO MILKTIME,MINTJULEP,200HO12039,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12039,2756,777,788,1519,57,0.03,44,-0.05,101,80,0.92,2.0,0.57,78,4.5,-0.1,2.77,1.7,2.2,5.0,5.3,1.9,1.3,,
