nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
MAAC LEE DURANGO 5633,244709,2014,M,,,,,PO,18830,,2,101,"0,57","0,50",77,"4,36","0,52",27,"-0,55","0,14",77,27,"0,00",72,"-0,10",86,"-0,12",94,"0,15",27,"-0,00",52,,39,2,80,"2,07","0,40",37,"6,43",30,"0,04",63,"-0,05",76,"-0,08",87,"0,16",25,"-0,00",49,"-0,41","0,37",88,"7,31",50
ELM-LODGE NEXT BIG THING 3N,IA480,2003,M,,,,,IA,23805,,4,74,"0,55","0,56",75,"1,62","0,60",50,"4,68","0,14",1,36,"0,07",52,"0,14",33,"0,02",65,"0,18",21,"0,01",59,,51,4,65,"2,41","0,46",34,"4,03",43,"0,04",64,"0,08",46,"-0,02",71,"0,20",19,"0,02",60,"0,03","0,43",59,"7,27",51
ANCARES KAMIKAZE 1 KAMIKAZE,IA619,2011,M,,,,,IA,21721,,6,26,"0,43","0,38",66,"2,41","0,41",44,"-0,91","0,06",86,70,"0,13",31,"0,03",57,"0,02",65,"0,12",34,"0,06",87,,40,6,18,"-0,74","0,27",73,"1,66",56,"0,13",34,"0,03",60,"0,04",55,"0,10",42,"0,08",91,"0,12","0,27",50,"7,08",51
SJ D040,162929,2007,,,,,,CR,16888,PC,2,42,,,,"4,54","0,42",27,"0,02","0,04",36,50,"0,10",40,"0,01",69,"0,10",40,"0,03",61,"0,04",76,,31,2,33,"-0,73","0,30",73,"3,82",44,"0,10",43,"0,04",59,"0,14",32,"0,08",46,"0,05",78,"-0,36","0,31",88,"7,07",52
TH 122 71I VICTOR 719T VICTOR,IA587,2007,M,,,,,IA,16477,,7,146,"-0,73","0,65",9,"0,34","0,65",64,"2,49","0,07",6,24,"0,03",64,"0,05",54,"0,03",62,"0,12",32,"-0,08",11,,63,7,85,"2,17","0,45",36,"2,51",52,"0,12",40,"0,12",34,"0,10",41,"0,20",20,"-0,11",9,"0,30","0,45",30,"6,82",53
HORMIGA LAPACHO 7 CAUDILLO,IA597,2005,,,,,,CR,10379,IA,7,53,"0,42","0,44",65,"0,52","0,47",61,"2,52","0,11",6,22,"0,14",29,"-0,04",75,"0,06",53,"0,11",36,"-0,04",20,,51,4,24,"0,21","0,30",61,"0,73",64,"0,12",36,"0,01",66,"0,04",57,"0,08",44,"-0,04",27,"0,25","0,33",35,"6,63",53
SATUR FORC BOOMER-3697,IA577,2006,M,,,,,IA,17375,,5,57,"0,34","0,47",60,"2,83","0,53",40,"1,62","0,11",12,33,"0,04",62,"-0,08",84,"0,01",66,"0,00",68,"0,02",71,,48,5,32,"1,25","0,33",46,"4,07",42,"-0,00",71,"-0,11",87,"0,02",59,"0,00",66,"0,03",70,"0,32","0,28",29,"6,46",54
MIRASIERRA MR. HEREFORD X432 TE,IA643,2013,M,,,,,IA,17610,,1,48,"0,57","0,49",77,"-1,11","0,50",74,"-0,13","0,00",52,15,"0,07",53,"-0,04",77,"-0,01",73,"0,00",69,"-0,05",19,,68,1,36,"3,48","0,34",26,"2,37",53,"0,11",41,"-0,00",68,"0,00",67,"0,05",55,"-0,08",18,"-0,30","0,38",85,"5,67",55
SANTA INÉS DELIVERANCE 5-18-27 CHARRÚA,IA461,1999,,,,,,CR,23805,IA,17,577,"0,10","0,77",43,"1,33","0,80",53,"-0,53","0,41",76,189,"0,11",37,"0,08",48,"0,04",60,"0,18",22,"-0,01",47,,50,16,377,"0,69","0,66",54,"2,02",54,"0,13",34,"0,10",41,"0,03",59,"0,22",18,"0,08",88,"-0,46","0,67",91,"5,47",56
SHF RIB EYE M326 R117,IA505,2005,M,,,,,IA,23805,,6,587,"-0,41","0,76",16,"3,48","0,77",34,"-3,54","0,29",99,115,"-0,02",77,"0,01",68,"-0,06",83,"0,05",55,"-0,01",43,,49,5,407,"0,51","0,63",58,"3,99",43,"-0,06",86,"0,03",61,"-0,11",92,"0,02",61,"-0,04",26,"0,74","0,66",10,"5,00",57
PALENQUERO DOMINANTE 117 PALENQUE,IA511,2005,,,,,,CR,23805,IA,4,52,"-0,71","0,52",9,"0,25","0,51",65,"-0,54","0,08",77,15,"0,05",56,"0,03",59,"-0,06",83,"-0,08",84,"-0,01",43,,61,4,37,"1,33","0,34",44,"1,57",58,"0,09",50,"0,06",53,"-0,03",76,"-0,08",82,"0,00",50,"-0,02","0,36",66,"4,31",59
MAAC LAUREEN WISDOM 5199,236665,2010,M,,,,,PO,2226,,2,75,"0,67","0,51",83,"1,43","0,54",52,"-2,59","0,17",98,52,"-0,03",80,"-0,13",92,"-0,12",94,"0,05",55,"0,02",69,,62,2,63,"2,94","0,41",29,"4,37",39,"-0,03",78,"-0,10",83,"-0,12",94,"0,05",54,"-0,02",34,"0,06","0,34",55,"4,26",59
NOVA AURORA E ANJO DA GUARDA 2286,244945,2014,M,,,,,PO,15519,,1,23,,,,"0,73","0,34",60,,,,,"0,03",63,"0,08",47,"0,09",43,"0,04",56,"-0,00",51,,60,1,21,"1,33","0,24",44,"2,06",54,"0,04",62,"0,07",47,"0,12",34,"0,06",50,"0,01",55,"-0,03","0,15",66,"3,58",61
SHF PROGRESS P20,IA471,2004,M,,,,,IA,23805,,7,155,"-1,23","0,62",2,"0,77","0,62",59,"0,87","0,14",20,35,"0,02",69,"0,04",57,"0,10",36,"-0,07",83,"0,07",92,,61,4,107,"0,84","0,45",52,"1,61",57,"0,02",66,"0,07",49,"0,16",28,"-0,11",86,"0,05",78,"0,40","0,42",23,"3,48",62
TIGRA X125 FEDERAL PAYA TE,IA677,2006,M,,,,,IA,26196,,3,26,"-0,80","0,37",8,"0,92","0,36",57,,,,,"0,10",39,"0,15",32,"0,10",37,"0,00",68,"0,09",96,,53,3,18,"-1,62","0,23",79,"-0,71",71,"0,09",49,"0,11",37,"0,08",46,"-0,02",73,"0,06",82,"0,27","0,18",33,"2,90",62
TOPASS DETENTO 35,231550,2008,,,,,,CR,2444,,2,214,"0,63","0,65",81,"1,02","0,65",55,"0,87","0,28",20,131,"0,13",33,"0,18",28,"0,11",35,"0,08",44,"-0,04",20,,50,1,173,"-0,52","0,50",71,"0,51",65,"0,07",53,"0,07",48,"0,05",54,"0,03",58,"-0,05",24,"-0,44","0,53",90,"2,50",63
FELTONS PRINCE 861,IA390,1995,M,,,,,IA,23805,,7,134,"1,07","0,66",95,"2,39","0,68",44,"-0,77","0,18",82,48,"0,05",56,"0,02",61,"-0,00",71,"0,10",40,"-0,13",6,,49,7,88,"-2,81","0,51",86,"-0,42",68,"0,04",61,"0,00",68,"-0,05",80,"0,13",30,"-0,14",6,"0,65","0,55",13,"2,14",64
PALENQUERO DOMINANTE 202 HALCON,IA624,2008,M,,,,,IA,10379,,3,67,"-0,35","0,51",21,"-0,41","0,55",70,"-0,25","0,02",64,34,"0,17",24,"0,09",45,"0,05",54,"0,03",61,"-0,10",8,,54,3,55,"-4,13","0,41",91,"-4,53",86,"0,16",28,"0,07",49,"0,11",36,"0,00",65,"-0,11",8,"0,76","0,41",9,"2,05",65
