nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
COBRA SC,IA389,2007,,,,,,CR,15793,IA,1,20,"0,04","0,36",68,"-2,50","0,36",86,"1,15","0,05",13,8,"-0,11",91,"-0,04",72,"-0,04",70,"-0,07",82,,,,87,1,19,"-1,89","0,26",77,"-4,40",83,"-0,12",90,"-0,05",82,"-0,04",69,"-0,06",77,,,"0,08","0,28",50,"-14,20",87
AZZAM 733 FIDALGO,31450,1985,,,,,,CR,665,PO,13,37,"1,34","0,38",99,"-4,49","0,48",93,"4,13","0,21",1,71,"-0,03",73,"-0,02",66,"0,07",34,"-0,13",91,"0,10",99,,93,5,19,"-1,56","0,25",73,"-6,05",87,"-0,04",73,"0,01",60,"0,09",38,"-0,13",89,"0,10",96,"-0,44","0,19",91,"-14,51",87
GRILLON 1931 DE SANTO IZIDRO,79429,1999,M,,,,,PO,1639,,3,146,"0,12","0,62",73,"-2,12","0,65",81,"-2,65","0,23",99,47,"-0,07",85,"-0,20",97,"-0,16",97,"0,06",41,,,,81,3,32,"-2,18","0,37",79,"-4,30",82,"-0,11",86,"-0,16",96,"-0,17",98,"0,07",36,"0,12",99,"-0,62","0,23",95,"-15,51",88
VIDEZ AMADEUS,36020,1987,M,,,,,PO,508,,13,75,"0,83","0,55",95,"-2,26","0,59",83,"1,73","0,25",5,45,"-0,14",94,"-0,11",89,"-0,13",95,"0,04",47,,,,88,7,32,"-3,60","0,38",92,"-5,86",86,"-0,12",91,"-0,12",87,"-0,13",94,"0,06",40,"0,07",90,"-0,14","0,13",74,"-18,61",92
JOTABÊ 5567,122051,2015,M,,,,,PO,18756,,1,80,"-1,28","0,57",6,"-2,21","0,56",82,"0,34","0,16",43,23,"-0,12",91,"-0,15",93,"-0,10",93,"-0,05",76,"0,10",99,,86,1,68,"-5,10","0,43",95,"-7,31",91,"-0,20",97,"-0,15",94,"-0,15",96,"-0,05",72,"0,13",99,"-0,16","0,52",78,"-22,71",96
CEZAR VALUE 997 JALISCO #,122377,2015,M,,,,,PO,15394,,1,20,"-0,17","0,28",55,"-9,26","0,28",99,"1,54","0,09",6,21,"-0,10",89,"-0,07",77,"-0,11",95,"-0,36",99,,,,99,1,19,"-3,20","0,21",91,"-12,46",99,"-0,09",84,"-0,07",82,"-0,13",93,"-0,40",99,,,"-0,28","0,23",84,"-27,62",99
JOTABÊ FELIX #,225288,2010,M,,,,,PC,18756,,1,60,"-1,37","0,55",5,"-6,20","0,55",99,"0,46","0,20",37,36,"-0,11",89,"0,04",50,"0,08",32,"-0,09",85,"0,04",81,,99,1,49,"-8,00","0,41",99,"-14,20",99,"-0,06",80,"0,08",39,"0,11",33,"-0,10",84,"0,06",88,"0,29","0,48",25,"-28,89",99
JOTABÊ 5305 BR #,116855,2013,M,,,,,PO,18756,,1,26,"-1,68","0,46",2,"-11,05","0,45",99,"-0,76","0,10",90,9,"-0,03",72,"-0,08",79,"-0,12",95,"-0,20",96,,,,99,1,22,"-8,83","0,32",99,"-19,88",99,"-0,02",69,"-0,07",82,"-0,08",82,"-0,23",96,,,"-0,23","0,33",82,"-36,88",99
SABRITO ENGENHO COBRA EXCLUSIF,120986,2015,M,,,,,PO,21140,,1,66,"-0,18","0,48",55,"-7,76","0,48",99,"1,10","0,07",14,6,"-0,21",99,"-0,26",99,"-0,25",99,"-0,20",95,,,,99,1,57,"-6,30","0,36",98,"-14,06",99,"-0,26",99,"-0,29",99,"-0,32",99,"-0,18",94,"0,04",72,"0,01","0,41",61,"-37,29",99
