nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SAUDADE S KAURIVALE 4066,61835,2013,M,,,,,PO,2021,,1,20,,,,"1,38","0,40",61,"0,74","0,13",20,16,"-0,02",74,"0,02",56,"-0,03",78,"0,02",55,"-0,00",40,,66,1,15,"1,05","0,28",62,"2,42",64,"0,01",65,"0,02",55,"-0,01",70,"0,06",49,"0,01",45,"0,09","0,22",53,"1,91",67
BARNSTAPLE CARLISLE 6,IA35,1996,,,,,,CR,23805,M,13,254,"-0,43","0,61",22,"-0,75","0,73",81,"0,11","0,34",46,117,"0,03",54,"0,01",58,"-0,01",68,"0,01",59,"-0,02",25,,75,10,131,"1,38","0,55",59,"0,63",74,"0,04",53,"0,03",53,"0,05",47,"0,01",61,"-0,06",13,"0,06","0,47",57,"1,37",69
THORNDALE BARON 4,IA30,1991,,,,,,CR,23805,,9,106,"0,27","0,57",69,"4,50","0,66",31,"-2,74","0,28",99,66,"-0,10",92,"-0,11",93,"-0,14",97,"-0,04",77,"0,04",74,,53,7,79,"-0,07","0,53",77,"4,43",50,"-0,10",91,"-0,10",92,"-0,13",96,"-0,07",84,"0,03",63,"0,42","0,37",22,"1,14",70
GARUPÁ 5300-G4032 DYNAMITE,39779,1998,,,,,,CR,57,,4,183,"-0,05","0,34",47,"1,76","0,69",56,"-0,30","0,21",59,37,"0,02",60,"-0,09",89,"-0,06",84,"-0,00",65,"0,01",49,,58,3,88,"0,75","0,49",68,"2,50",63,"-0,04",82,"-0,13",94,"-0,05",81,"-0,07",86,"-0,02",26,"-0,26","0,39",85,"0,53",72
VERSO 7090 ROTO 688 DE SANTA ALICE 836,60685,2012,M,,,,,PO,2110,,1,24,,,,"0,63","0,42",69,"-0,72","0,12",75,2,"-0,07",88,"-0,11",95,"-0,03",77,"-0,11",95,"0,09",98,,76,1,18,"3,31","0,31",39,"3,94",54,"-0,06",85,"-0,09",90,"-0,04",78,"-0,09",92,"0,07",89,"-0,30","0,33",88,"0,40",72
SÃO VALENTIN TOPÁZIO 1754,63250,2014,M,,,,,PO,1991,,1,32,,,,"-0,25","0,30",78,"-1,15","0,08",88,4,"-0,07",87,"-0,05",78,"-0,09",91,"-0,11",95,,,,85,1,28,"4,38","0,20",29,"4,12",53,"-0,03",81,"-0,04",78,"-0,10",91,"-0,11",92,,,"-0,69","0,18",99,"0,16",74
SAUDADE STONEGROVE 3394,57815,2010,M,,,,,PO,2021,,1,31,,,,"0,37","0,50",70,"-0,25","0,24",57,82,"0,11",28,"0,07",38,"0,11",18,"0,04",49,"0,00",46,,59,1,29,"-2,15","0,39",92,"-1,78",85,"0,05",51,"0,05",44,"0,12",21,"0,04",53,"0,02",53,"0,19","0,32",46,"-0,47",74
SÃO VALENTIN ANGICO 1335,47757,2004,M,,,,,PO,1991,,3,30,"0,05","0,23",53,"1,17","0,33",64,"-0,66","0,10",74,9,"0,01",62,"-0,03",72,"0,03",52,"0,05",44,"0,05",83,,64,2,23,"-1,04","0,22",87,"0,13",75,"0,03",60,"0,02",57,"0,04",53,"0,05",51,"0,04",74,"0,09","0,15",53,"-0,56",74
ROTOKAWA 688,IA32,1995,,,,,,CR,23805,,12,166,"0,06","0,54",56,"-0,06","0,69",76,"-0,90","0,32",83,98,"0,06",43,"-0,08",86,"0,06",36,"-0,06",84,"-0,04",13,,69,12,95,"-0,52","0,52",79,"-0,58",80,"0,07",44,"-0,02",71,"0,06",41,"-0,01",72,"-0,05",15,"-0,30","0,40",87,"-0,68",77
SAUDADE SV EFFINGHAM 3816,61169,2012,M,,,,,PO,2021,,1,29,,,,"2,93","0,45",44,"-2,17","0,12",98,19,"-0,05",82,"-0,01",68,"-0,05",83,"0,03",51,"0,03",64,,57,1,24,"-0,74","0,33",84,"2,19",65,"-0,05",84,"-0,08",87,"-0,04",79,"-0,01",67,"0,04",69,"0,13","0,27",50,"-0,71",78
SAUDADE S TOPÁZIO 1636,35556,1995,M,,,,,PO,2021,,5,25,"0,71","0,43",88,"0,16","0,46",72,"1,59","0,22",8,54,"0,02",61,"-0,06",81,"-0,06",86,"0,04",51,"0,02",61,,70,5,20,"-1,34","0,35",89,"-1,19",84,"0,01",68,"-0,07",82,"-0,05",79,"-0,00",66,"0,01",52,"0,49","0,31",18,"-1,40",79
FORDE ABBEY OMEGA OMEGA,IA43,2014,,,,,,CR,4609,,12,136,"0,48","0,54",79,"-0,45","0,61",80,"1,39","0,09",9,28,"-0,00",67,"-0,07",85,"-0,07",89,"-0,08",89,"0,07",93,,77,11,91,"0,22","0,44",75,"-0,23",79,"0,04",57,"-0,13",95,"-0,06",83,"-0,06",83,"0,07",90,"-0,26","0,49",85,"-2,14",81
HOLBROOK 55,IA29,1988,M,,,,,IA,23805,,2,76,"-0,27","0,50",35,"0,71","0,60",68,"1,34","0,15",10,35,"0,10",29,"0,13",21,"0,06",38,"0,20",15,"-0,01",31,,57,2,71,"-4,05","0,48",97,"-3,34",89,"0,08",41,"0,14",23,"0,07",38,"0,17",23,"-0,02",24,"0,07","0,21",55,"-2,85",83
VASTO QUARTZO DE SANTA ALICE 826,60717,2012,M,,,,,PO,2110,,9,73,"-0,32","0,37",30,"0,21","0,59",71,"2,15","0,17",3,24,"-0,11",93,"-0,06",82,"-0,08",90,"-0,01",67,"0,05",89,,86,8,60,"1,85","0,45",54,"2,06",67,"-0,09",90,"-0,13",94,"-0,12",95,"-0,02",72,"0,05",78,"-0,57","0,49",97,"-5,12",84
PALMEIRA CONSORT 391,33226,1993,,,,,,CR,1877,,2,26,"0,03","0,30",49,"-0,85","0,47",83,"-2,02","0,18",97,22,"-0,01",72,"-0,11",94,"-0,02",72,"-0,05",81,"0,06",92,,82,2,29,"-1,94","0,39",91,"-2,78",87,"-0,02",77,"-0,12",93,"0,01",62,"-0,03",79,"0,07",90,"0,03","0,33",60,"-6,53",88
BELMUR CLAY B13,IA41,2006,,,,,,,23805,M,7,110,"6,81","0,44",99,"-7,90","0,62",99,"2,85","0,24",2,83,"-0,05",82,"0,02",54,"0,08",29,"0,00",63,"-0,08",4,,99,5,59,"3,54","0,44",37,"-4,37",92,"0,04",55,"0,12",28,"0,12",25,"-0,03",78,"-0,07",8,"-0,08","0,48",75,"-7,44",90
DIAMANTE ALMIRANTE 201 DE SANTA ALICE 1800,68299,2017,M,,,,,PO,2110,,1,22,"0,52","0,35",81,"-2,75","0,33",93,"0,38","0,02",34,1,"0,03",57,"0,08",33,"0,08",29,"0,01",59,"0,02",59,,89,1,12,"-4,09","0,20",97,"-6,84",97,"0,07",44,"0,08",36,"0,10",33,"0,03",57,"0,02",54,"0,32","0,24",33,"-8,54",91
BRIGADEIRO ORÁCULO,60162,2011,M,,,,,PO,19191,M,3,28,,,,"-2,08","0,29",91,"0,31","0,05",36,7,"-0,04",79,"-0,08",87,"-0,06",85,"0,01",61,,,,90,3,26,"-1,79","0,20",90,"-3,87",90,"-0,01",73,"-0,09",88,"-0,06",86,"0,01",62,"-0,01",39,"-0,13","0,25",80,"-8,91",92
SANTO ANTÔNIO 01226 1055,71093,2017,M,,,,,PO,1998,,1,32,"-0,33","0,17",28,"-1,36","0,27",86,,,,,"-0,07",86,"-0,04",75,"0,00",65,"0,18",19,"-0,04",16,,90,1,15,"-3,67","0,16",95,"-5,03",94,"-0,03",80,"-0,01",68,"0,00",66,"0,18",21,"-0,06",12,"0,49","0,17",19,"-9,90",93
