nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SÃO BIBIANO HERDEIRO 7159,149992,2011,,V,PO,110,,2,33,"-0,15","0,49",28,"-1,41","0,50",91,"0,89","0,21",40,16,"0,02",81,"0,10",54,"0,12",53,"-0,11",94,"0,00",59,,89,2,27,"-1,24","0,39",86,"-2,66",91,"0,02",81,"0,06",66,"0,11",61,"-0,07",88,"-0,01",53,"-0,07","0,39",80,"-4,23",90
Performance Qualidade de carne Adaptação TRIARA SLAM DUNK ET 357Y SLAM DUNK,IA1770,2011,,P,IA,22376,,1,33,"-0,21","0,47",24,"-2,29","0,46",94,"1,17","0,08",33,8,"0,06",72,"-0,04",88,"-0,03",89,"0,20",18,"0,09",90,,90,1,27,"-3,58","0,34",96,"-5,88",96,"0,04",78,"-0,09",95,"-0,08",94,"0,19",22,"0,10",89,"0,95","0,48",11,"-4,26",90
RED PRINCESS 14603 FERRARI-T/E-,IA2102,2016,,V,IA,11673,,10,136,"0,79","0,69",83,"-1,37","0,68",91,,,,,"0,14",43,"0,10",55,"0,28",9,"-0,05",86,"-0,02",48,,82,7,53,"-4,61","0,45",98,"-5,98",97,"0,08",68,"0,07",61,"0,30",12,"-0,12",94,"0,06",80,"0,22","0,53",58,"-4,32",90
CURA 4925 CLASSIC HEADLINER TE MANÁ,IA953,2005,,P,IA,23805,,30,561,"0,60","0,82",75,"1,15","0,84",76,"-2,30","0,59",94,647,"0,06",71,"0,08",61,"0,13",47,"-0,00",76,"0,12",94,,75,27,375,"-4,65","0,75",99,"-3,50",92,"-0,02",88,"0,01",79,"0,16",43,"-0,04",83,"0,19",98,"0,39","0,78",45,"-4,36",90
LIMESTONE GREAT DIVIDE U254 DIVIDE,IA1118,2008,,P,IA,23805,M,10,130,"1,38","0,69",96,"1,00","0,69",77,"-1,23","0,29",84,86,"0,08",66,"-0,02",85,"0,13",47,"-0,03",82,"0,05",80,,75,8,96,"-4,03","0,54",97,"-3,03",91,"-0,01",86,"-0,10",96,"0,09",65,"-0,05",84,"0,05",77,"-0,06","0,61",79,"-4,51",91
ERRE TE 383 CONDOR EURO TE EURO,IA1886,2011,,P,IA,21177,K,18,138,"0,27","0,67",55,"-0,88","0,68",88,"-2,22","0,20",93,26,"0,07",68,"0,17",33,"0,11",55,"-0,11",94,"0,11",93,,84,14,98,"-3,51","0,54",96,"-4,39",94,"0,00",84,"0,08",58,"0,04",78,"-0,19",97,"0,10",88,"0,37","0,62",46,"-4,64",91
THUNDER DO CARUMBÉ 1660,136682,2009,,P,PO,269,,2,82,"-0,04","0,54",33,"5,82","0,62",32,"0,24","0,24",54,57,"-0,07",95,"0,13",44,"0,03",78,"0,13",34,"-0,03",46,,58,2,55,"-3,74","0,46",96,"2,08",76,"-0,13",98,"0,07",63,"0,01",82,"0,10",42,"-0,05",39,"-0,40","0,42",93,"-4,85",91
RIB TEI05 YESQUERO QUEBRACHO KARÚ,186817,2014,,V,PO,21184,K,21,234,"-0,39","0,72",17,"-1,94","0,75",93,"-0,55","0,24",73,25,"0,04",78,"0,04",72,"0,12",50,"0,01",73,"0,07",84,,90,20,184,"-1,63","0,62",89,"-3,57",93,"-0,01",87,"-0,01",83,"0,11",59,"-0,02",79,"0,04",74,"0,17","0,69",63,"-4,86",91
VAR RESERVE 1111 RESERVE,IA1709,2011,,P,IA,15614,,5,29,"-0,20","0,43",25,"0,58","0,43",80,"0,57","0,11",47,11,"-0,03",90,"-0,13",98,"-0,05",93,"0,04",62,"0,02",67,,85,5,24,"-0,87","0,30",84,"-0,28",85,"-0,09",95,"-0,17",99,"-0,12",98,"-0,02",78,"0,04",72,"-0,29","0,35",90,"-4,92",91
LSF COMBINATION A301M,IA978,2002,,V,IA,23805,,12,178,"0,96","0,57",89,"2,22","0,69",67,"-0,58","0,33",74,133,"-0,18",99,"-0,26",99,"-0,23",99,"0,12",36,"-0,05",38,,88,10,158,"1,37","0,57",67,"3,59",68,"-0,17",99,"-0,23",99,"-0,26",99,"0,09",47,"-0,07",31,"-0,35","0,54",92,"-5,00",91
LAS LILAS 1663 ROBUSTO CACIQUE TE VIGOROSO,IA1145,2006,,P,IA,23805,,2,28,"-0,82","0,32",7,"-0,07","0,43",85,"-0,20","0,05",63,9,"-0,10",96,"0,01",81,"-0,04",90,"-0,04",84,"-0,02",51,,91,2,25,"0,03","0,30",78,"-0,03",84,"-0,10",96,"-0,03",86,"-0,01",87,"-0,05",84,"-0,03",46,"0,11","0,08",68,"-5,02",91
STRATUM 1333 CREDITO DISCOVERY TE CREDITO,IA1072,2000,,P,IA,23805,,23,320,"0,50","0,80",69,"-3,66","0,80",97,"2,04","0,46",17,281,"0,07",67,"0,03",76,"0,13",47,"-0,08",92,"0,11",92,,93,18,233,"-1,46","0,69",88,"-5,12",95,"0,02",82,"-0,04",88,"0,11",61,"-0,07",88,"0,13",93,"0,21","0,74",60,"-5,16",91
CIA.AZUL TE2624 CUMBIERO ZORZAL AVATAR,181092,2014,,P,PO,8538,P,2,38,"0,72","0,55",80,"0,53","0,58",81,"-1,88","0,23",91,12,"-0,04",91,"0,01",80,"0,01",82,"-0,13",96,"0,09",91,,86,2,28,"-1,40","0,45",87,"-0,87",87,"-0,07",94,"-0,06",92,"-0,02",88,"-0,16",96,"0,09",87,"-0,22","0,51",87,"-5,35",91
CIA.AZUL FIV TE1692 TRAPICHE PANCHO 444,161188,2012,,V,PO,8538,,1,48,"0,73","0,56",81,"-1,83","0,57",92,"0,20","0,21",55,24,"-0,01",87,"-0,08",94,"-0,03",90,"-0,03",82,"0,08",87,,91,1,28,"0,26","0,40",76,"-1,57",89,"0,00",84,"-0,12",97,"-0,05",92,"-0,02",78,"0,10",89,"-0,82","0,33",99,"-5,72",92
REPECHO TEI534 HAYMOUNT DA TÓLIO´S FARM,132529,2009,,P,PO,14838,,2,194,"-0,40","0,58",16,"3,33","0,59",57,"3,63","0,19",4,32,"0,06",74,"0,08",60,"0,06",70,"-0,07",90,"0,10",92,,62,2,147,"-7,32","0,45",99,"-3,99",93,"0,00",84,"-0,03",87,"-0,03",90,"-0,10",92,"0,14",95,"0,12","0,38",67,"-5,87",92
RED L83 MATADOR 43A MATADOR,IA1591,2013,,V,IA,16783,,2,34,"0,12","0,35",44,"1,03","0,47",76,"1,14","0,06",34,12,"-0,05",92,"0,11",49,"0,05",72,"-0,07",90,"0,02",68,,84,2,29,"-2,50","0,33",93,"-1,47",88,"-0,08",95,"0,10",53,"0,05",75,"-0,08",89,"0,03",68,"-0,01","0,32",76,"-5,96",92
RODEIO DO RINCÃO 199 ADÃO HEART TE106,162089,2012,,P,PO,14672,,1,24,"0,97","0,18",89,"-2,78","0,45",95,,,,,"0,03",78,"-0,03",87,"-0,04",91,"0,11",40,"-0,11",16,,92,1,20,"-1,52","0,32",88,"-4,30",94,"0,06",72,"-0,03",87,"-0,00",85,"0,12",38,"-0,12",16,"-0,43","0,36",94,"-5,96",92
TRÊS MARIAS TRES MARIAS 8565 CUMBIERO 7832 TE CUMBIERO 8565,IA1198,2009,,P,IA,23805,K,49,483,"0,52","0,81",70,"0,31","0,82",82,"0,26","0,51",53,408,"0,05",74,"-0,00",82,"0,12",51,"-0,03",82,"0,08",87,,80,40,307,"-4,34","0,71",98,"-4,02",93,"-0,01",86,"-0,07",93,"0,07",70,"-0,07",89,"0,08",84,"-0,09","0,76",80,"-6,07",92
TRADIÇÃO 1828,345057,2011,,P,PC,3638,,1,88,"0,17","0,35",48,"-4,14","0,64",98,"1,61","0,25",24,32,"0,13",48,"0,14",42,"0,09",60,,,,,,92,1,82,"-1,69","0,53",90,"-5,83",96,"0,08",68,"0,09",57,"0,09",65,,,,,"-0,63","0,59",97,"-6,15",92
PAINEIRAS ARPÃO GURI 4918,105921,2004,,P,PO,14028,,11,213,"-0,48","0,66",14,"-1,98","0,73",93,"-4,25","0,42",99,149,"0,06",74,"-0,04",90,"0,00",84,"-0,04",85,"0,00",59,,89,9,126,"-2,39","0,59",92,"-4,38",94,"0,04",78,"-0,08",94,"-0,03",89,"-0,02",78,"-0,02",50,"-0,41","0,51",94,"-6,18",92
SANTA SÉRGIA TOMY RUBIO TENIENTE,IA839,2000,,V,IA,23805,,56,1550,"-0,16","0,85",26,"-1,22","0,88",90,"2,86","0,68",8,987,"0,02",81,"0,09",57,"0,06",70,"-0,06",87,"-0,10",19,,89,50,1056,"-3,50","0,81",96,"-4,72",95,"0,02",82,"0,08",57,"0,08",69,"-0,10",93,"-0,11",18,"0,16","0,84",63,"-6,19",92
BC LOOKOUT 7024,IA1038,2004,,P,IA,27153,,12,132,"0,37","0,61",61,"-3,24","0,68",96,"0,27","0,24",53,85,"0,02",81,"0,02",79,"0,09",61,"-0,21",99,"0,08",87,,94,11,77,"-0,92","0,50",85,"-4,17",94,"-0,01",86,"0,04",71,"0,06",73,"-0,21",98,"0,08",85,"-0,11","0,54",82,"-6,28",92
BIEBER ROUSE SAMURAI X22,IA1431,2010,,V,IA,4568,M,4,28,"-1,07","0,26",4,"-0,36","0,46",86,"0,04","0,14",58,9,"-0,02",88,"-0,10",95,"-0,07",95,"-0,04",84,"0,17",98,,88,4,17,"-0,35","0,32",81,"-0,72",86,"-0,07",93,"-0,12",97,"-0,11",97,"-0,12",94,"0,18",98,"-0,85","0,34",99,"-6,30",92
TRIPLE J DESIGN OF FOXCROSS,IA891,2002,,P,IA,23805,,8,86,"-0,44","0,57",15,"-2,69","0,65",95,"1,07","0,29",36,82,"0,01",83,"0,12",48,"-0,03",90,"-0,06",88,"0,00",60,,93,8,71,"-1,87","0,52",90,"-4,56",95,"-0,01",87,"0,01",77,"-0,08",95,"-0,08",90,"0,02",66,"0,18","0,54",62,"-6,32",92
SANTA CECÍLIA 3244,408633,2015,,P,PC,10,,1,24,"-0,91","0,48",5,"0,37","0,48",82,"3,47","0,12",5,2,"-0,01",86,"0,02",78,"-0,03",90,"0,18",22,"0,04",73,,84,1,15,"-3,82","0,35",96,"-3,45",92,"-0,07",93,"-0,02",85,"-0,12",97,"0,14",33,"0,04",73,"0,32","0,43",50,"-6,41",93
TRADIÇÃO 2003,372461,2013,,P,PC,3638,,1,53,"1,27","0,54",96,"0,32","0,56",82,"1,32","0,19",30,5,"-0,04",92,"-0,13",98,"-0,01",86,"-0,23",99,"-0,03",43,,87,1,48,"-2,96","0,44",94,"-2,65",90,"-0,07",93,"-0,13",98,"-0,04",91,"-0,29",99,"-0,02",48,"0,11","0,51",67,"-6,58",93
DON FLORENCIO 627 GUARANÖ 466 TE GUARANI,IA1931,2013,,V,IA,12657,K,7,44,"1,02","0,59",90,"-3,33","0,59",96,"-3,55","0,22",99,6,"0,12",53,"0,17",33,"0,15",40,"-0,08",91,"-0,00",58,,91,5,27,"-2,78","0,44",94,"-6,11",97,"0,11",59,"0,20",25,"0,18",36,"-0,10",92,"0,01",60,"-0,74","0,48",99,"-6,60",93
CONNEALY UNITED 1116,IA1508,2011,,P,IA,278,,4,40,"0,39","0,46",62,"-1,21","0,52",90,"-1,36","0,13",85,16,"0,02",82,"0,22",23,"0,07",67,"-0,07",90,"0,09",90,,89,4,26,"-2,19","0,36",92,"-3,40",92,"0,02",82,"0,17",31,"0,08",67,"-0,07",88,"0,10",88,"-0,58","0,40",96,"-6,61",93
UMBU 1416 BRIGADIER TE,129663,2008,,V,PO,99,,4,350,"-0,07","0,80",32,"-0,71","0,79",87,"-4,29","0,50",99,288,"0,06",73,"0,05",69,"0,12",49,"0,09",45,"-0,00",57,,85,3,262,"-5,13","0,69",99,"-5,84",96,"0,04",78,"0,02",75,"0,16",44,"0,07",53,"-0,00",56,"0,14","0,72",66,"-6,73",93
TRÊS MARIAS 9265 CANDE 8328 TE CORONEL,IA1415,2011,,P,IA,16982,K,21,254,"0,50","0,73",69,"0,98","0,76",77,"-4,18","0,37",99,88,"0,03",79,"-0,02",86,"0,00",84,"0,07",53,"0,30",99,,79,19,162,"-4,30","0,62",98,"-3,32",92,"-0,06",92,"-0,19",99,"-0,09",96,"0,06",55,"0,36",99,"-0,14","0,69",83,"-6,74",93
LC VULCANICO TEIV312 CUMBIERO,163566,2012,,P,PO,4602,,1,20,"0,46","0,28",67,"-0,22","0,27",85,,,,,"0,05",76,"0,00",81,"0,08",66,"-0,01",77,"0,08",87,,83,1,2,"-3,87","0,21",96,"-4,08",93,"-0,00",85,"-0,06",91,"0,05",75,"-0,06",86,"0,09",87,"-0,40","0,22",93,"-6,94",93
BIGUÁ 6677 HEAVY HITTER TE,187083,2015,,P,PO,18474,,1,24,"0,47","0,37",67,"-1,27","0,41",90,"-2,33","0,16",94,5,"0,01",83,"-0,02",85,"-0,05",93,"-0,13",95,"0,14",96,,89,1,20,"-4,60","0,34",98,"-5,87",96,"-0,03",90,"-0,05",90,"-0,04",91,"-0,17",96,"0,16",96,"0,76","0,35",21,"-6,98",93
FREYS OPPORTUNITY 148A,IA1673,2013,,P,IA,16783,,3,37,"0,05","0,27",39,"-1,05","0,46",89,"-0,01","0,02",59,3,"0,03",80,"-0,03",87,"-0,06",94,"-0,07",90,"0,11",92,,88,3,21,"-3,65","0,28",96,"-4,70",95,"0,04",77,"-0,05",90,"-0,06",93,"-0,04",84,"0,11",90,"-0,37","0,26",92,"-7,02",94
LUCQ 254 PESIFICADO TE PESIFICADO,IA2071,2014,,P,IA,25935,,6,31,"0,80","0,45",84,"-3,06","0,45",96,,,,,"0,12",52,"0,16",37,"0,09",60,"-0,10",93,"0,23",99,,90,4,24,"-4,03","0,32",97,"-7,09",98,"0,11",60,"0,13",44,"0,06",73,"-0,13",94,"0,28",99,"-0,51","0,32",95,"-7,18",94
LA TRINDAD CAPITAN S CAPITAN PRECISION 1025 2T/E,IA1058,2005,,V,IA,23805,,20,530,"-0,42","0,74",16,"-2,38","0,81",94,"2,45","0,54",12,423,"-0,09",96,"-0,14",98,"-0,11",97,"0,06",57,"-0,03",43,,96,17,396,"0,81","0,71",72,"-1,58",89,"-0,08",95,"-0,14",98,"-0,07",94,"0,03",62,"0,01",61,"-0,38","0,74",93,"-7,22",94
CATANDUVA HIBERNAL STRYKER 4140 TE 37,79149,1999,,V,PO,16417,,2,180,"0,17","0,74",48,"-0,16","0,73",85,"-1,63","0,41",89,174,"-0,01",86,"-0,04",89,"0,06",70,"-0,03",83,"0,07",84,,87,2,138,"-3,79","0,62",96,"-3,95",93,"-0,02",89,"-0,05",91,"0,05",75,"-0,03",80,"0,08",84,"-0,14","0,66",83,"-7,37",94
PAINEIRAS STRYKER ROCK GARRINCHA 4948,106917,2004,,P,PO,14028,,4,82,"0,67","0,52",78,"-3,91","0,64",97,"1,31","0,36",30,78,"-0,03",90,"-0,06",92,"-0,00",85,"0,02",68,"0,03",70,,97,4,32,"-1,51","0,49",88,"-5,42",96,"-0,02",89,"-0,01",82,"0,04",78,"0,02",67,"0,03",68,"0,40","0,44",44,"-7,43",94
COLEMAN REGIS 904,IA1215,2009,,P,IA,23805,M,4,70,"-1,54","0,61",2,"-3,47","0,61",97,"4,53","0,29",2,82,"-0,09",96,"-0,08",93,"-0,04",90,"-0,06",88,"-0,02",49,,97,3,56,"1,17","0,48",68,"-2,30",90,"-0,14",98,"-0,03",86,"-0,10",96,"-0,10",92,"-0,03",45,"0,14","0,56",65,"-7,43",94
TRES MARIAS A348 DON EMILIO DON EMILIO,IA1930,2015,,P,IA,5150,K,20,110,"0,64","0,63",77,"-4,19","0,65",98,"-0,55","0,18",73,5,"-0,08",95,"-0,05",90,"-0,00",85,"-0,17",98,"0,23",99,,98,14,58,"0,24","0,48",76,"-3,95",93,"-0,11",97,"-0,02",85,"0,00",84,"-0,21",98,"0,19",98,"0,52","0,54",36,"-7,70",94
