nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
GARUPÁ 7412-G5534 BOMBINHA,53103,2007,,,,,,,57,,2,27,,,,"2,58","0,49",54,"1,37","0,21",12,31,"0,11",32,"0,17",18,"0,17",11,"0,17",20,"-0,00",44,,47,1,24,"4,12","0,38",30,"6,71",43,"0,06",59,"0,05",54,"0,09",35,"0,10",45,"-0,02",33,"0,06","0,34",63,"11,89",48
JATOBÁ TE 50 DA ESTRELA DO SUL,69959,2017,,,,,,D,17774,,2,29,"-0,24","0,41",37,"3,60","0,40",45,,,,,"0,15",19,"0,12",31,"0,15",16,"0,03",61,"0,03",69,,37,2,13,"1,40","0,23",60,"5,00",50,"0,17",20,"0,16",23,"0,16",20,"-0,00",72,"0,03",66,"-0,21","0,28",85,"11,57",49
ROTOKAWA 425,IA31,1990,M,,,,,IA,23805,,15,132,"0,85","0,56",90,"2,66","0,67",52,"-2,92","0,31",99,104,"-0,03",80,"0,02",57,"0,01",66,"0,04",56,"-0,03",17,,61,14,94,"5,56","0,52",20,"8,22",37,"-0,00",73,"0,11",33,"0,01",70,"0,11",39,"-0,02",28,"0,29","0,47",39,"10,56",50
PITÁGORAS DE SANTA LÚCIA 417,71400,2018,M,,,,,PO,2057,,2,26,"0,27","0,23",61,"3,05","0,30",48,,,,,"0,09",37,"0,14",23,"0,12",22,"0,04",57,"0,01",57,,45,2,12,"1,01","0,19",63,"4,06",55,"0,10",39,"0,16",22,"0,17",20,"0,09",48,"0,01",48,"0,50","0,22",20,"9,85",52
PALMEIRA RC 639,40534,1998,,,,,,,1877,,2,39,"-0,38","0,43",26,"-1,52","0,54",89,"3,17","0,21",1,41,"0,11",33,"0,06",48,"0,10",26,"0,14",28,"-0,01",31,,77,2,26,"4,29","0,40",30,"2,77",63,"0,11",38,"0,07",46,"0,12",29,"0,12",36,"-0,04",16,"0,39","0,32",26,"8,89",53
CAMBOATÃ 615 URANO M901 C034 URANO,67517,2016,M,,,,,PO,14970,P,7,62,"0,52","0,34",78,"2,60","0,50",53,"0,86","0,06",20,1,"0,08",43,"-0,05",80,"-0,04",80,"0,13",32,"0,02",66,,50,5,53,"2,31","0,36",49,"4,91",51,"0,07",54,"-0,10",91,"-0,06",82,"0,15",26,"0,06",89,"0,10","0,41",60,"8,70",53
SAUDADE TOPÁZIO 1470,33783,1993,M,,,,,PO,2021,,6,112,"0,35","0,53",67,"4,25","0,65",38,"0,85","0,30",20,72,"0,08",41,"-0,01",70,"-0,01",74,"0,10",35,"-0,00",44,,40,6,61,"-0,30","0,48",78,"3,95",56,"0,08",45,"-0,06",80,"-0,03",77,"0,06",59,"0,03",61,"0,45","0,46",23,"8,49",54
MALEVO TE DE SÃO LUIZ,60124,2011,M,,,,,PO,2127,,9,85,"-0,26","0,48",35,"0,86","0,61",71,"1,38","0,24",11,64,"0,11",33,"0,05",49,"0,02",61,"0,02",63,"0,05",89,,58,8,55,"2,63","0,46",44,"3,49",58,"0,11",38,"0,06",50,"0,07",48,"0,07",54,"0,10",99,"0,05","0,51",63,"8,38",55
GARUPÁ 3052-G1441-A3,26713,1988,,,,,,CR,48,,16,282,"1,06","0,59",93,"4,19","0,76",38,"0,51","0,47",31,197,"0,05",50,"-0,20",98,"-0,16",98,"0,34",3,,,,43,17,216,"1,62","0,65",54,"5,82",46,"0,00",71,"-0,23",98,"-0,19",98,"0,34",3,"0,03",63,"0,16","0,33",49,"8,13",55
ELEITO SA 1382 SV 1623 DE SANTA ALICE 2020,69609,2018,M,,,,,PO,2110,,1,25,"-1,29","0,35",7,"5,39","0,37",30,,,,,"0,02",63,"-0,06",82,"0,05",52,"-0,04",86,,,,38,1,13,"0,51","0,23",69,"5,90",45,"-0,00",73,"-0,06",81,"0,07",46,"-0,11",93,"0,03",72,"-0,01","0,21",69,"6,63",58
SAUDADE S KAURIVALE 4066,61835,2013,M,,,,,PO,2021,,1,20,,,,"2,20","0,41",56,"1,38","0,14",10,20,"0,04",55,"0,04",54,"0,01",67,"0,03",61,"-0,00",40,,58,1,15,"1,46","0,28",58,"3,66",58,"0,07",55,"0,04",60,"0,03",65,"0,06",57,"0,01",50,"0,11","0,23",58,"6,17",59
SAUDADE S TOPÁZIO 1636,35556,1995,M,,,,,PO,2021,,6,32,"0,52","0,45",79,"2,25","0,48",56,"1,24","0,22",15,58,"0,01",68,"-0,05",78,"-0,06",84,"0,09",42,"-0,00",45,,60,6,26,"0,96","0,36",65,"3,21",62,"-0,00",75,"-0,06",81,"-0,05",80,"0,06",58,"-0,03",25,"0,58","0,34",15,"4,84",59
SAUDADE STONE 3394 5102 STONE 3394,68519,2016,M,,,,,PO,2021,,1,27,,,,"1,50","0,40",62,,,,,"0,12",31,"0,14",22,"0,05",51,"0,04",59,"-0,01",32,,52,1,11,"-0,91","0,24",86,"0,59",74,"0,07",52,"0,06",47,"0,03",65,"0,02",66,"-0,00",40,"0,43","0,23",24,"4,44",60
GARUPÁ 5504 GRANADA PEDRA,40749,1999,,,,,,CR,57,,3,85,"0,33","0,31",64,"1,30","0,59",64,"3,36","0,23",1,39,"0,04",58,"-0,06",82,"0,01",64,"0,03",61,,,,64,2,26,"1,80","0,36",54,"3,10",62,"0,05",62,"-0,02",74,"0,02",65,"0,06",58,,,"-0,26","0,23",87,"3,83",64
SAUDADE S EFFINGHAM 4024,61882,2013,M,,,,,PO,2021,,2,41,"0,98","0,39",91,"1,10","0,50",67,"1,57","0,13",8,15,"0,04",58,"0,04",54,"0,10",27,"0,09",41,"0,01",50,,66,2,21,"0,84","0,32",66,"1,94",67,"0,06",56,"0,06",51,"0,06",50,"0,10",46,"-0,00",43,"0,18","0,32",49,"3,77",64
JR DO PRATA 43 SANT ANT 897,67476,2016,M,,,,,PO,16358,,1,59,"0,43","0,19",73,"0,32","0,36",74,,,,,"0,01",73,"0,13",26,"0,11",24,"0,02",61,"0,05",90,,74,1,33,"2,32","0,21",48,"2,63",65,"0,02",67,"0,15",24,"0,15",24,"0,05",60,"0,06",86,"0,18","0,25",48,"3,33",65
FORDE ABBEY OMEGA OMEGA,IA43,2014,,,,,,CR,4609,,12,141,"0,37","0,55",70,"0,24","0,62",75,"0,76","0,14",23,51,"0,02",65,"-0,04",77,"-0,04",79,"-0,06",88,"0,06",93,,72,11,97,"2,14","0,45",50,"2,38",65,"0,07",49,"-0,10",92,"-0,01",74,"-0,02",79,"0,06",89,"-0,28","0,51",89,"2,97",66
DINGLE OBJECTIVE 4,IA22,1979,M,,,,,IA,23805,,2,28,"-0,41","0,18",26,"3,37","0,41",46,"-0,48","0,08",70,13,"0,05",51,,,,,,,,,,48,2,11,"-1,79","0,23",90,"1,58",67,"0,06",60,"0,04",59,"0,04",56,"0,12",36,"0,06",87,"0,11","0,10",57,"2,68",68
BARNSTAPLE CARLISLE 6,IA35,1996,,,,,,CR,23805,M,14,255,"-0,52","0,61",21,"-0,80","0,73",81,"0,37","0,35",38,119,"0,03",60,"0,02",62,"0,00",68,"0,02",64,"-0,02",22,,78,10,131,"1,53","0,55",57,"0,73",73,"0,05",63,"0,03",63,"0,06",50,"0,01",68,"-0,06",12,"0,15","0,48",52,"1,81",70
BENEDICTUS NETO 2486,67505,2014,M,,,,,PO,16178,,1,21,,,,"1,08","0,13",68,"-0,02","0,03",56,3,"0,01",68,"-0,05",81,"-0,01",75,"0,07",52,"-0,02",27,,70,1,9,"0,49","0,08",70,"1,57",68,"0,02",69,"-0,02",75,"0,01",67,"0,11",42,"-0,04",20,"0,10","0,06",59,"1,35",73
CORTICEIRAS 624,34355,1994,,,,,,CR,125,,4,126,"-0,12","0,62",40,"2,86","0,63",51,"-0,51","0,26",71,58,"0,03",60,"-0,11",94,"-0,08",89,"0,12",33,,,,52,4,86,"-1,93","0,46",91,"0,93",71,"0,01",71,"-0,10",91,"-0,09",86,"0,07",57,,,"0,35","0,29",30,"1,13",74
VERSO 7090 ROTO 688 DE SANTA ALICE 836,60685,2012,M,,,,,PO,2110,,1,24,,,,"0,78","0,42",73,"-0,43","0,13",69,4,"-0,06",83,"-0,10",93,"-0,01",77,"-0,11",96,"0,08",97,,78,1,18,"3,44","0,31",37,"4,23",54,"-0,04",83,"-0,08",86,"-0,01",76,"-0,09",93,"0,06",91,"-0,33","0,33",92,"1,02",75
GARUPÁ 5300-G4032 DYNAMITE,39779,1998,,,,,,CR,57,,4,183,"-0,06","0,34",43,"1,76","0,69",61,"-0,23","0,21",63,37,"0,03",63,"-0,08",87,"-0,05",82,"0,00",68,"-0,00",43,,62,3,88,"0,99","0,49",64,"2,75",63,"-0,04",82,"-0,12",95,"-0,05",81,"-0,07",86,"-0,03",21,"-0,30","0,40",91,"0,90",75
SÃO VALENTIN ANGICO 1335,47757,2004,M,,,,,PO,1991,,3,30,"0,22","0,24",58,"0,69","0,34",73,"-0,60","0,11",74,9,"0,05",52,"-0,08",84,"-0,01",76,"0,04",58,"-0,00",40,,68,3,27,"-1,38","0,24",88,"-0,69",80,"0,08",44,"-0,03",77,"-0,01",76,"0,05",61,"-0,03",27,"0,16","0,20",51,"0,40",76
THORNDALE BARON 4,IA30,1991,,,,,,CR,23805,,9,105,"0,25","0,57",60,"3,64","0,66",44,"-2,35","0,29",98,67,"-0,09",88,"-0,09",92,"-0,13",96,"-0,04",84,"0,04",79,,60,7,77,"0,24","0,53",74,"3,88",57,"-0,09",91,"-0,09",89,"-0,13",92,"-0,07",88,"0,03",62,"0,27","0,38",43,"0,39",77
BRIGADEIRO ORÁCULO,60162,2011,M,,,,,PO,19191,M,3,38,,,,"0,77","0,39",73,"1,47","0,08",9,13,"-0,10",90,"-0,08",86,"-0,06",84,"0,00",66,,,,80,3,32,"1,60","0,27",56,"2,37",66,"-0,07",86,"-0,09",88,"-0,06",84,"0,00",71,"-0,03",26,"0,52","0,31",20,"-0,35",79
BONGALABI DE SANTA LÚCIA 357,67760,2016,M,,,,,PO,2057,,2,26,,,,"-1,23","0,39",86,,,,,"0,00",74,"0,08",38,"0,05",47,"0,08",49,,,,83,2,24,"1,11","0,28",62,"-0,12",78,"-0,02",78,"0,08",42,"0,06",51,"0,09",46,"0,01",49,"-0,00","0,36",66,"-2,01",80
