nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SABRITO CAPITAL VIRGIL SIDNEY,116752,2013,M,,,,,PO,1546,,1,26,"-0,32","0,39",42,"-3,02","0,39",89,"-1,56","0,08",95,11,"-0,17",99,"0,06",36,"0,16",14,"-0,25",98,,,,95,1,25,"-0,78","0,28",69,"-3,79",85,"-0,19",97,"0,12",21,"0,23",8,"-0,27",98,,,"-0,60","0,30",98,"-19,44",94
JOTABÊ 5567,122051,2015,M,,,,,PO,18756,,1,80,"-1,31","0,56",7,"-2,57","0,56",85,"0,54","0,15",30,18,"-0,13",94,"-0,15",94,"-0,11",94,"-0,07",79,"0,11",99,,89,1,68,"-5,37","0,42",96,"-7,95",94,"-0,21",97,"-0,15",95,"-0,16",95,"-0,06",72,"0,12",99,"-0,16","0,51",80,"-24,93",94
CEZAR VALUE 997 JALISCO #,122377,2015,M,,,,,PO,15394,,1,20,"-0,18","0,28",50,"-8,42","0,28",99,"1,70","0,08",6,20,"-0,09",89,"-0,08",76,"-0,12",95,"-0,37",99,,,,99,1,19,"-2,72","0,19",87,"-11,15",98,"-0,09",85,"-0,08",80,"-0,14",92,"-0,42",99,,,"-0,15","0,21",78,"-25,12",95
JOTABÊ FELIX #,225288,2010,M,,,,,PC,18756,,1,59,"-1,38","0,55",6,"-6,71","0,55",98,"0,62","0,19",28,30,"-0,12",93,"0,04",47,"0,07",31,"-0,09",84,"0,01",67,,97,1,49,"-8,39","0,41",99,"-15,10",99,"-0,08",81,"0,09",35,"0,10",32,"-0,10",85,"0,01",70,"0,29","0,47",27,"-31,71",98
SABRITO ENGENHO COBRA EXCLUSIF,120986,2015,M,,,,,PO,21140,,1,66,"-0,18","0,48",49,"-7,56","0,48",99,"1,07","0,07",16,6,"-0,22",99,"-0,27",99,"-0,25",99,"-0,20",94,,,,99,1,57,"-6,13","0,35",98,"-13,69",99,"-0,27",99,"-0,31",99,"-0,32",99,"-0,19",92,"0,05",82,"-0,05","0,41",63,"-38,16",99
JOTABÊ 5305 BR #,116855,2013,M,,,,,PO,18756,,1,26,"-1,71","0,45",3,"-11,12","0,45",99,"-0,53","0,09",84,8,"-0,03",71,"-0,09",80,"-0,12",94,"-0,20",95,,,,99,1,22,"-9,42","0,32",99,"-20,54",99,"-0,02",65,"-0,08",81,"-0,08",79,"-0,24",95,,,"-0,29","0,32",87,"-39,41",99
