nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
CAMILA 38-S65 SENHOR SENHOR,310521,2016,,,3/8,NE,,CCG,8298,P,3,98,"-0,01","0,48",47,"-0,32","0,55",58,"0,41","0,01",10,1,"-0,03",69,"0,10",23,"0,07",23,"-0,04",67,"0,07",93,,60,3,83,"0,10","0,42",52,"-0,23",56,"-0,07",82,"0,06",32,"0,09",23,"-0,10",83,"0,06",93,"-0,36","0,52",85,"-3,56",65
R.S.V. TUFÃO Z 38-0719,177714,2011,,,3/8,NE,,CCG,1277,,1,39,"0,29","0,47",75,"-2,54","0,44",80,"0,02","0,00",52,1,"-0,11",92,"-0,06",78,"-0,09",90,"-0,15",93,"0,06",91,,86,1,22,"0,43","0,26",48,"-2,12",71,"-0,10",90,"-0,06",79,"-0,08",86,"-0,16",95,"0,06",89,"0,95","0,25",5,"-4,04",66
SAO MIGUEL 38-1811,149224,2009,,,3/8,NE,,CCG,19471,,1,87,"0,13","0,61",62,"-1,57","0,59",75,"-2,98","0,08",99,26,"-0,08",89,"0,01",50,"-0,05",77,"-0,01",58,"0,02",79,,80,1,16,"0,44","0,24",47,"-1,13",63,"-0,04",72,"0,11",20,"-0,02",65,"0,01",49,"0,02",76,"0,08","0,13",42,"-4,04",66
GAP 38-G389 ABRE CANCHA ABRE CANCHA,266513,2015,,,3/8,NE,,PS,23388,,2,36,"-0,77","0,45",7,"-4,00","0,46",89,,,,,"-0,03",66,"-0,09",86,"-0,01",63,"-0,25",99,"-0,03",26,,88,2,32,"1,90","0,34",28,"-2,11",71,"-0,01",58,"-0,05",75,"0,06",30,"-0,24",98,"-0,03",22,"-0,24","0,42",78,"-4,05",67
PITANGUEIRA 38-H161 TIPO,138929,2008,,,3/8,NE,,CCG,26705,,1,249,,,,"1,87","0,66",35,"-1,69","0,11",99,64,"-0,15",95,"0,01",51,"-0,05",77,"0,10",23,,,,57,1,147,"0,14","0,47",52,"2,01",39,"-0,21",98,"-0,03",72,"-0,09",90,"0,13",17,,,"0,21","0,37",27,"-4,52",69
MARCAOJO A867 CORCHITO,IA19,1996,,,3/8,NE,,IA,,,4,410,"0,33","0,72",77,"-1,52","0,77",73,"-1,11","0,10",97,40,"0,22",8,"0,22",8,"0,19",9,"0,11",18,"0,06",90,,38,4,215,"-6,30","0,61",99,"-7,81",92,"0,04",33,"0,08",25,"0,09",21,"-0,03",62,"0,05",88,"0,13","0,47",35,"-5,10",72
R.S.V. ROMEU 38 Z 10/10 38-0263,159682,2010,,,3/8,NE,,CCG,1277,,1,281,"-0,24","0,69",23,"-1,23","0,68",68,,,,,"-0,07",85,"-0,13",91,"0,07",23,"-0,14",91,"0,02",76,,76,1,156,"0,17","0,49",52,"-1,07",62,"-0,09",89,"-0,15",94,"0,09",21,"-0,12",86,"0,03",80,"-0,10","0,52",69,"-5,30",73
CATY 14-M167,232143,2012,,,1/4,NE,,CCG,2344,,1,51,"0,35","0,52",80,"1,20","0,51",43,"0,23","0,01",13,3,"-0,08",86,"0,10",23,"0,04",38,"0,11",19,"-0,03",24,,52,1,46,"-1,98","0,38",82,"-0,78",61,"-0,11",93,"0,02",46,"0,03",41,"0,08",29,"-0,03",23,"-0,13","0,52",71,"-5,82",75
LAJEADO VERMELHO 38-TEG067,197756,2011,,,3/8,NE,,CCG,9410,,1,84,"-0,82","0,48",6,"-7,82","0,53",97,"0,02","0,00",52,10,"0,21",9,"0,07",32,"0,07",25,"-0,15",93,"0,01",70,,90,1,7,"-2,62","0,18",86,"-10,44",95,"0,22",9,"0,07",31,"0,09",20,"-0,15",92,"0,02",73,"-0,36","0,22",86,"-5,89",76
PITANGUEIRA TE 38-J17,159716,2010,,,3/8,NE,,CCG,26705,,1,101,"-0,38","0,61",18,"-3,26","0,60",85,"1,60","0,10",3,48,"0,09",22,"-0,04",72,"-0,07",86,"-0,06",74,,,,72,1,83,"-3,40","0,46",89,"-6,66",89,"0,07",24,"-0,07",82,"-0,12",93,"-0,13",88,,,"-0,08","0,42",65,"-6,03",77
