nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SAUDADE STONEGROVE 3394,57815,2010,M,,,,,PO,2021,,1,30,,,,"0,09","0,48",70,"0,76","0,21",19,59,"0,10",28,"0,03",49,"0,14",12,"0,02",55,"0,01",52,,60,1,29,"-0,06","0,38",76,"0,02",75,"0,05",43,"0,05",38,"0,16",13,"0,03",51,"0,02",59,"0,01","0,29",63,"1,99",63
SÃO VALENTIN TOPÁZIO 1754,63250,2014,M,,,,,PO,1991,,1,31,,,,"0,18","0,28",70,,,,0,"-0,08",89,"-0,06",79,"-0,09",91,"-0,09",91,,,,79,1,28,"4,64","0,20",19,"4,82",45,"-0,05",83,"-0,04",78,"-0,10",90,"-0,09",88,,,"-0,45","0,16",95,"1,44",65
ELEITO SA 1382 SV 1623 DE SANTA ALICE 2020,69609,2018,M,,,,,PO,2110,,1,24,"-0,95","0,34",3,"2,50","0,35",48,,,,0,"-0,01",70,"-0,03",72,"0,06",33,"-0,03",72,,,,53,1,13,"0,05","0,22",73,"2,55",59,"-0,04",79,"-0,04",78,"0,08",31,"-0,10",93,"0,03",71,"-0,03","0,20",70,"0,58",66
ROTOKAWA 688,IA32,1995,,,,,,CR,,,9,118,"0,19","0,50",62,"0,95","0,66",62,"-1,19","0,29",86,82,"0,10",23,"-0,04",75,"0,11",17,"-0,03",70,"-0,04",13,,52,9,73,"-2,17","0,49",92,"-1,22",80,"0,09",30,"-0,00",63,"0,09",28,"-0,01",68,"-0,04",16,"-0,17","0,39",83,"0,10",69
THORNDALE BARON 4,IA30,1991,,,,,,CR,,,5,55,"0,33","0,49",73,"3,61","0,60",39,"-1,61","0,26",93,56,"-0,07",85,"-0,07",86,"-0,12",95,"-0,01",62,"0,05",80,,51,6,52,"-1,30","0,49",85,"2,32",61,"-0,07",87,"-0,11",91,"-0,12",94,"-0,06",83,"0,04",73,"0,40","0,37",25,"-0,62",70
BACHAREL SA 609 DE SANTA ALICE 1146,63915,2014,M,,,,,PO,2110,,6,26,"-0,87","0,33",4,"-1,87","0,40",90,,,,0,"0,06",39,"0,04",40,"-0,06",82,"-0,04",75,"-0,04",11,,79,5,17,"0,70","0,27",63,"-1,17",80,"0,04",48,"0,07",35,"-0,05",80,"0,00",63,"-0,05",14,"-0,10","0,28",79,"-1,11",72
SAUDADE S KAURIVALE 4066,61835,2013,M,,,,,PO,2021,,1,20,,,,"0,86","0,39",63,"-1,24","0,08",88,5,"-0,05",79,"0,00",61,"-0,07",87,"-0,04",75,"-0,01",25,,68,1,15,"0,40","0,27",68,"1,26",68,"-0,01",69,"0,02",53,"-0,05",79,"0,01",60,"-0,01",34,"-0,01","0,21",68,"-1,39",73
SAUDADE S EFFINGHAM 4024,61882,2013,M,,,,,PO,2021,,2,41,"1,51","0,38",99,"-1,31","0,48",83,"1,40","0,07",10,2,"-0,00",64,"-0,00",62,"0,08",24,"0,06",42,"0,01",50,,81,2,21,"0,68","0,30",63,"-0,63",78,"0,02",58,"0,00",60,"0,05",43,"0,07",38,"0,02",57,"0,19","0,28",43,"-1,43",74
BRADO G7090 DE SANTA ALICE 1180 BRADO,63812,2015,M,,,,,PO,2110,G,3,38,"-1,05","0,40",2,"-1,77","0,42",88,,,,0,"0,02",55,"0,01",58,"0,01",54,"-0,06",82,"0,03",67,,82,3,27,"1,21","0,29",59,"-0,56",78,"0,03",55,"0,07",33,"-0,01",66,"-0,04",78,"0,02",65,"-0,35","0,26",91,"-2,48",75
PALMEIRA CONSORT 391,33226,1993,,,,,,CR,1877,,2,26,"0,09","0,30",58,"-0,23","0,47",75,"-2,02","0,17",96,21,"-0,01",67,"-0,11",93,"-0,02",71,"-0,05",80,"0,06",87,,72,2,29,"-0,70","0,39",81,"-0,93",79,"-0,02",73,"-0,11",93,"0,01",58,"-0,03",73,"0,06",88,"-0,01","0,33",69,"-4,11",77
VASTO QUARTZO DE SANTA ALICE 826,60717,2012,M,,,,,PO,2110,,9,73,"-0,15","0,36",33,"0,38","0,59",68,"2,27","0,13",4,12,"-0,11",92,"-0,05",77,"-0,07",88,"-0,01",62,"0,06",90,,80,8,60,"1,55","0,44",55,"1,93",63,"-0,09",91,"-0,13",96,"-0,11",93,"-0,02",71,"0,05",83,"-0,53","0,48",96,"-5,31",80
BRIGADEIRO ORÁCULO,60162,2011,M,,,,,PO,19191,M,3,21,,,,"-1,80","0,24",89,"0,69","0,05",20,5,"0,01",57,"-0,06",83,"-0,04",76,"0,03",51,,,,83,3,18,"-1,56","0,17",88,"-3,37",87,"0,05",45,"-0,07",86,"-0,04",75,"0,03",53,"-0,01",32,"-0,03","0,23",71,"-5,64",82
FORDE ABBEY OMEGA OMEGA,IA43,2014,,,,,,CR,4609,,10,125,"0,92","0,52",94,"-1,66","0,60",86,"0,95","0,04",15,12,"-0,04",77,"-0,07",86,"-0,05",80,"-0,08",86,"0,07",92,,86,9,72,"0,03","0,41",74,"-1,63",82,"-0,01",68,"-0,12",95,"-0,05",79,"-0,08",87,"0,08",92,"-0,30","0,47",88,"-6,41",83
GARUPÁ 7884-G7090 TORPEDO,57388,2010,,,,,,F,57,,2,27,"-0,66","0,20",7,"-0,37","0,42",77,"0,33","0,12",30,6,"-0,18",99,"-0,20",98,"-0,14",98,"-0,09",88,"0,12",99,,90,2,21,"2,11","0,29",47,"1,74",64,"-0,19",99,"-0,18",98,"-0,17",97,"-0,08",86,"0,10",95,"0,31","0,34",30,"-6,73",84
CABRESTO DE SANTA TERESA,17072,1980,,,,,,CR,2023,,3,90,"-0,36","0,16",16,"-2,79","0,57",93,"0,76","0,17",18,42,"0,03",48,"0,12",19,"0,20",8,"-0,14",95,"0,02",63,,87,2,56,"-1,60","0,41",89,"-4,39",92,"0,05",47,"0,23",8,"0,30",5,"-0,13",96,,,"-0,34","0,21",90,"-7,82",85
TIMBAÚBA STONEGROVE 800,59386,2011,M,,,,,PO,1896,,4,20,"-0,27","0,17",23,"-3,04","0,34",94,"0,23","0,07",36,5,"-0,03",73,"-0,02",71,"0,03",45,"-0,02",68,"0,08",95,,93,4,17,"-0,65","0,25",80,"-3,69",88,"-0,03",75,"-0,05",80,"0,02",55,"-0,02",72,"0,10",98,"-0,05","0,25",74,"-8,72",87
VERSO 7090 ROTO 688 DE SANTA ALICE 836,60685,2012,M,,,,,PO,2110,,1,24,,,,"-1,19","0,42",81,"-0,64","0,11",70,2,"-0,09",91,"-0,09",90,"-0,00",58,"-0,09",90,"0,09",98,,88,1,17,"-0,34","0,30",78,"-1,54",82,"-0,07",88,"-0,08",88,"-0,03",71,"-0,10",91,"0,08",92,"-0,28","0,33",88,"-8,90",88
SAUDADE S KAURIV3486 4824,66036,2015,M,,,,,PO,2021,,3,21,"0,73","0,17",91,"-1,71","0,41",87,,,,0,"-0,09",92,"0,07",29,"-0,02",69,"-0,26",99,"-0,01",29,,90,3,18,"-1,41","0,26",86,"-3,12",86,"-0,06",86,"0,12",20,"0,03",49,"-0,24",99,"-0,01",30,"0,42","0,35",23,"-8,93",88
SAUDADE 398,54281,1997,M,,,,,PC,2021,,2,41,"-0,45","0,49",12,"-4,84","0,51",97,,,,0,"0,03",50,"0,03",48,"0,01",52,"-0,11",93,"0,02",64,,96,2,41,"-1,07","0,40",85,"-5,91",96,"0,04",50,"0,06",36,"0,05",45,"-0,05",82,"0,02",58,"-0,11","0,16",80,"-9,36",89
HOLBROOK 55,IA29,1988,M,,,,,IA,,,2,52,"-0,49","0,41",10,"-2,92","0,54",93,"2,14","0,14",5,33,"-0,00",63,"0,05",38,"-0,02",72,"0,16",22,"-0,00",40,,89,2,49,"-2,44","0,42",92,"-5,35",95,"-0,02",70,"0,08",29,"-0,00",60,"0,13",27,"-0,01",32,"-0,04","0,20",72,"-10,58",92
PALMEIRA NOYL BOY 558,37893,1996,,,,,,,1877,,2,93,"-0,03","0,59",44,"-0,63","0,64",78,"-1,04","0,25",83,74,"-0,02",70,"0,02",54,"-0,02",70,"-0,07",83,"-0,15",2,,78,2,83,"-4,38","0,52",98,"-5,00",94,"-0,08",89,"-0,06",83,"-0,07",86,"-0,10",92,"-0,18",2,"-0,61","0,40",98,"-14,46",94
PALMEIRA J347,43839,1990,,,,,,CR,1877,,2,147,"0,45","0,58",79,"-2,18","0,68",90,"-2,39","0,25",97,59,"-0,13",95,"-0,08",89,"-0,11",92,"-0,03",70,"-0,01",33,,94,2,184,"-2,75","0,60",94,"-4,93",93,"-0,13",96,"-0,11",92,"-0,09",90,"-0,02",70,"-0,01",33,"-0,08","0,11",77,"-16,01",95
EFFINGHAM'S RED K99,IA23,1978,,,,,,,,,6,44,"-0,26","0,26",25,"-2,54","0,56",92,"-1,05","0,29",84,99,"-0,12",95,"-0,20",98,"-0,21",99,"-0,22",98,"0,12",99,,95,6,39,"-2,67","0,46",93,"-5,21",95,"-0,11",93,"-0,12",95,"-0,23",99,"-0,20",98,"0,14",99,"-0,31","0,16",89,"-16,65",95
DIAMANTE ALMIRANTE 201 DE SANTA ALICE 1800,68299,2017,M,,,,,PO,2110,,1,21,"0,66","0,34",88,"-6,12","0,32",99,,,,0,"0,02",56,"0,11",20,"0,08",23,"0,03",50,"0,02",65,,97,1,12,"-5,23","0,20",99,"-11,35",99,"0,06",42,"0,10",24,"0,10",23,"0,04",46,"0,03",65,"0,18","0,23",44,"-16,99",96
