nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
G A R RELIANT,IA2073,2016,,P,IA,22294,,3,45,"-0,45","0,52",14,"9,27","0,49",11,,,,,"0,17",41,"0,07",67,"-0,01",87,"0,28",11,"-0,14",11,,16,2,26,"14,54","0,33",1,"23,82",3,"0,28",17,"0,12",51,"0,04",80,"0,33",7,"-0,19",7,"0,98","0,42",13,"33,44",5
CONNEALY UPTOWN 098E,IA1447,2010,,P,IA,4568,M,1,21,"0,02","0,43",36,"12,15","0,42",4,"1,68","0,13",24,6,"0,32",7,"0,15",42,"0,27",12,"0,44",2,"-0,07",31,,4,1,10,"10,08","0,30",7,"22,23",4,"0,34",8,"0,11",53,"0,29",13,"0,45",2,"-0,08",31,"0,35","0,33",52,"33,39",6
EXAR STOCK FUND 9097B,IA2314,2019,,P,IA,22587,A,2,25,"-0,21","0,48",23,"13,68","0,45",2,,,,,"0,34",5,"0,25",18,"0,12",55,"0,20",21,"-0,09",24,,3,1,1,"8,58","0,26",13,"22,26",4,"0,35",7,"0,19",30,"0,09",69,"0,16",31,"-0,07",34,"0,24","0,25",61,"33,27",6
SANTA JOANA 2650,428103,2018,,P,PC,15398,,1,35,"-1,17","0,57",3,"11,31","0,55",5,"0,83","0,16",41,8,"0,40",2,"0,28",13,"0,25",14,"0,15",33,"-0,00",59,,3,1,20,"8,03","0,39",15,"19,34",8,"0,45",2,"0,27",15,"0,27",17,"0,17",30,"-0,02",52,"0,29","0,45",57,"33,14",6
MAC ACHIN GUINNES 6192 GUINNES,225366,2016,,P,PO,23163,L,1,27,"0,86","0,22",83,"11,71","0,33",5,,,,,"0,32",7,"0,34",6,"0,32",6,"0,31",7,"-0,03",45,,4,1,14,"8,71","0,23",12,"20,42",6,"0,32",10,"0,28",13,"0,34",9,"0,29",11,"-0,07",36,"1,13","0,26",8,"32,90",6
CANTÃO,425311,2018,,V,PC,20397,,1,31,"0,60","0,55",71,"12,39","0,53",3,"2,26","0,26",15,4,"0,33",6,"0,33",7,"0,30",8,"0,34",5,"-0,10",22,,3,1,29,"8,87","0,45",11,"21,26",6,"0,33",9,"0,30",10,"0,30",12,"0,30",9,"-0,10",26,"0,63","0,41",30,"32,88",6
REDBAR COMPLEMENT H277 GRID MAKER,225675,2018,,P,PO,9271,,1,28,"1,74","0,56",98,"12,33","0,54",4,,,,,"0,21",25,"0,11",53,"0,10",63,"0,32",6,"-0,06",36,,5,1,21,"10,85","0,43",5,"23,19",3,"0,29",14,"0,23",21,"0,17",43,"0,39",4,"-0,07",35,"0,74","0,49",24,"32,75",6
QUIRI A230,432744,2018,,P,PC,92,,1,65,"0,94","0,64",86,"9,94","0,62",9,,,,,"0,33",6,"0,26",16,"0,27",11,"0,19",22,"-0,17",8,,7,1,33,"8,61","0,48",12,"18,55",10,"0,41",3,"0,33",7,"0,35",7,"0,27",13,"-0,19",7,"1,12","0,50",8,"32,55",6
TRADIÇÃO FIV T06 ZORZAL TE,146110,2010,,P,PO,3638,,1,35,"1,65","0,56",98,"12,75","0,60",3,"-3,01","0,26",98,6,"0,28",11,"0,16",38,"0,20",27,"0,22",19,"0,06",83,,4,1,34,"7,55","0,51",17,"20,30",6,"0,29",15,"0,11",54,"0,19",38,"0,26",15,"0,07",83,"1,45","0,56",3,"32,29",6
TRADIÇÃO 2541,426981,2018,,P,PC,3638,,1,88,"0,49","0,67",65,"11,47","0,66",5,,,,,"0,34",6,"0,28",13,"0,32",5,"0,15",33,"-0,04",43,,4,1,54,"8,73","0,57",12,"20,19",7,"0,37",6,"0,27",15,"0,38",4,"0,18",28,"-0,01",55,"0,50","0,58",40,"32,06",6
