nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
GAP 6449 GAP SILVESTRE,219912,2018,,P,PO,2555,,1,66,"-0,45","0,64",14,"9,94","0,62",9,,,,,"0,29",10,"0,46",1,"0,42",1,,,"-0,19",5,,8,1,28,"9,89","0,42",8,"19,83",7,"0,29",15,"0,48",1,"0,47",1,,,"-0,18",9,"1,27","0,51",5,"31,89",7
SITZ UPWARD 307R,IA1046,2005,,P,IA,23805,,17,168,"0,14","0,70",44,"10,12","0,72",8,"2,25","0,31",15,88,"0,29",11,"0,14",43,"0,13",50,"0,40",3,"0,04",75,,8,14,109,"9,79","0,57",8,"19,90",7,"0,32",10,"0,12",51,"0,16",47,"0,40",3,"0,01",65,"0,90","0,63",16,"31,44",7
SANTA JOANA 2654 CUMARU,427414,2018,,P,PC,15398,L,1,77,"0,34","0,65",56,"12,48","0,62",3,"3,69","0,15",4,13,"0,41",2,"0,45",2,"0,44",1,"0,30",8,"-0,24",2,,3,1,54,"6,41","0,46",23,"18,89",9,"0,44",2,"0,48",1,"0,50",1,"0,32",8,"-0,28",1,"-0,13","0,54",83,"31,23",7
COLEMAN CHARLO 0256,IA1853,2010,,P,IA,22488,,31,401,"-0,33","0,81",18,"7,42","0,80",23,"0,40","0,21",51,29,"0,40",2,"0,56",1,"0,52",1,"-0,05",88,"-0,16",9,,10,29,283,"8,96","0,68",11,"16,38",14,"0,42",3,"0,52",1,"0,54",1,"-0,07",90,"-0,22",4,"0,75","0,75",23,"30,97",7
OURO PRETO 1018PO PRIORITY,204797,2016,,P,PO,20641,,2,45,"0,87","0,51",83,"15,36","0,49",1,"1,20","0,18",33,3,"0,25",17,"0,21",28,"0,18",32,"0,26",12,,,,2,2,30,"6,58","0,37",22,"21,94",5,"0,26",19,"0,08",65,"0,18",42,"0,24",17,"-0,06",38,"0,72","0,42",25,"30,90",8
RB GLOBAL 3300,IA1876,2013,,P,IA,22504,,3,47,"-0,27","0,37",21,"10,14","0,48",8,"3,07","0,13",6,1,"0,43",1,"0,17",36,"0,38",2,"0,27",11,"-0,14",12,,4,3,43,"7,29","0,38",18,"17,43",11,"0,41",3,"0,14",44,"0,36",6,"0,27",13,"-0,13",16,"0,10","0,43",69,"30,36",8
S ARCHITECT 9501,IA2261,2019,,P,IA,26631,G,20,209,"0,16","0,72",45,"12,20","0,72",4,,,,,"0,31",8,"0,19",32,"0,18",33,"0,20",22,"-0,22",3,,4,10,76,"6,35","0,49",23,"18,54",10,"0,30",14,"0,15",41,"0,18",42,"0,14",36,"-0,25",3,"1,22","0,59",6,"30,36",8
CIA.AZUL 3092 A. VALLEY ZORZAL,188318,2015,,P,PO,8538,,1,25,"-0,14","0,50",26,"9,18","0,47",12,"0,55","0,18",47,6,"0,18",39,"0,22",25,"0,02",83,"0,20",21,"-0,14",12,,16,1,11,"11,61","0,35",4,"20,79",6,"0,28",17,"0,28",13,"0,06",76,"0,30",10,"-0,17",10,"1,04","0,38",11,"30,35",8
LORENZEN FIELD DAY 7455,IA1076,2007,,V,IA,23805,,4,109,"0,72","0,35",77,"11,93","0,62",4,"-0,31","0,25",71,34,"0,20",30,"0,16",38,"0,11",58,"0,24",15,"-0,05",38,,6,4,70,"9,65","0,47",8,"21,58",5,"0,27",19,"0,21",24,"0,20",35,"0,26",14,"-0,04",46,"0,74","0,49",24,"30,30",8
QUIRI A232P PIRAY,223055,2018,,P,PO,92,G,3,22,"0,26","0,54",51,"9,24","0,52",12,,,,,"0,25",16,"0,28",13,"0,29",9,"0,19",24,"-0,10",22,,12,2,15,"9,94","0,40",7,"19,18",8,"0,29",16,"0,33",7,"0,29",13,"0,20",23,"-0,15",14,"1,14","0,47",7,"30,27",8
SAV RESOURCE 1441,IA1369,2011,,P,IA,22588,,103,2034,"1,01","0,89",89,"8,61","0,90",14,"-0,93","0,66",81,811,"0,27",13,"0,33",7,"0,30",7,"0,07",54,"-0,14",13,,13,87,1572,"9,94","0,84",7,"18,55",10,"0,38",5,"0,38",4,"0,40",3,"0,10",45,"-0,13",19,"0,59","0,88",34,"29,94",8
SINUELO 516,208246,2017,,P,PO,21014,,1,27,"0,82","0,44",82,"12,35","0,42",4,"-1,11","0,19",83,9,"0,24",19,"0,21",26,"0,29",9,"0,16",29,,,,5,1,26,"9,00","0,34",11,"21,34",5,"0,27",18,"0,17",34,"0,32",10,"0,21",21,"0,02",66,"0,31","0,42",54,"29,61",9
SANTA JOANA 2269,398979,2015,,P,PC,15398,,1,24,"0,78","0,52",80,"11,68","0,50",5,"0,64","0,21",45,26,"0,35",4,"0,45",2,"0,40",1,,,"-0,10",20,,4,1,22,"6,76","0,40",21,"18,44",10,"0,43",2,"0,44",2,"0,44",2,,,"-0,11",23,"-0,21","0,46",87,"29,48",9
TEHAMA PATRIARCH F028 PATRIARCH,IA2214,2017,,P,IA,23633,A,7,101,"0,06","0,65",39,"6,83","0,62",27,,,,,"0,26",15,"0,11",56,"0,08",68,"0,26",13,"-0,20",5,,22,7,44,"10,13","0,42",7,"16,96",12,"0,33",9,"0,12",51,"0,17",45,"0,29",11,"-0,20",6,"1,34","0,47",4,"29,36",9
HXC BIG IRON 0024X,IA1659,2010,,V,IA,15614,A,5,49,"0,71","0,59",76,"8,79","0,57",13,"0,74","0,14",43,10,"0,09",67,"0,16",39,"0,14",48,"0,15",32,"0,01",65,,24,5,40,"12,66","0,44",3,"21,45",5,"0,19",40,"0,15",40,"0,20",34,"0,20",23,"0,03",72,"1,41","0,52",3,"29,24",9
S A V RAINFALL 6846,IA2056,2016,,P,IA,22588,M,22,255,"-0,11","0,77",28,"5,59","0,76",37,"0,69","0,21",44,11,"0,25",17,"0,28",13,"0,27",12,"-0,00",77,"-0,08",27,,29,17,197,"13,25","0,63",2,"18,85",9,"0,32",10,"0,28",12,"0,29",15,"0,11",45,"-0,11",22,"0,38","0,70",50,"29,03",9
SÃO XAVIER 2277 MAGNATA SERTÃO,199444,2016,,P,PO,508,P,3,159,"0,42","0,72",60,"8,72","0,71",13,"1,90","0,19",19,6,"0,28",12,"0,11",54,"0,15",42,"0,20",21,"-0,01",55,,12,3,106,"9,99","0,56",7,"18,71",10,"0,28",17,"0,13",48,"0,11",62,"0,23",19,"-0,04",44,"0,63","0,61",30,"28,82",10
NERO VALLEY DA RIO DA PAZ TE,187605,2014,,P,PO,15956,,3,41,"1,07","0,58",90,"6,64","0,59",29,"1,75","0,21",22,30,"0,20",30,"0,16",39,"0,16",38,"0,20",22,"-0,12",16,,28,3,32,"11,77","0,47",4,"18,41",10,"0,29",15,"0,19",30,"0,24",25,"0,25",16,"-0,16",12,"1,06","0,56",10,"28,70",10
LD EMBLAZON 999 EMBLAZON 999,IA1705,2009,,P,IA,15614,,7,101,"-0,30","0,67",20,"9,18","0,66",12,"1,12","0,19",34,18,"0,39",2,"0,46",2,"0,31",7,"-0,02",81,"-0,10",21,,6,7,72,"8,43","0,50",13,"17,61",11,"0,39",4,"0,39",4,"0,32",9,"0,06",59,"-0,14",15,"-0,52","0,55",96,"28,43",10
BIEBER DEEP END B597 DEEP END,IA1728,2014,,V,IA,16477,,2,20,"-0,90","0,39",5,"8,15","0,36",17,"2,42","0,04",12,3,"0,31",8,"-0,20",99,"0,11",60,"0,41",2,"0,12",94,,12,2,15,"7,78","0,23",16,"15,93",15,"0,40",4,"-0,11",97,"0,16",49,"0,47",2,"0,14",94,"0,67","0,26",28,"28,30",10
GAP 6363 GAP SULTÃO,224571,2018,,P,PO,2555,T,2,136,"0,24","0,71",50,"6,48","0,69",30,,,,,"0,29",10,"0,12",50,"0,14",46,"0,07",55,"0,05",80,,21,2,75,"10,15","0,50",7,"16,63",13,"0,33",10,"0,21",25,"0,22",29,"0,06",57,"-0,04",46,"0,78","0,58",21,"28,18",10
G A R STARBUCK Starbuck,IA2040,2016,,P,IA,23201,G,9,114,"-0,58","0,64",11,"9,98","0,65",9,,,,,"0,21",25,"0,23",21,"-0,03",91,"0,31",7,"-0,21",4,,11,4,29,"9,17","0,39",10,"19,15",9,"0,26",21,"0,30",11,"0,00",88,"0,35",6,"-0,26",2,"0,79","0,46",21,"28,05",10
CHALÉ U754,195883,2016,,P,PO,10385,,2,69,"0,62","0,54",71,"10,12","0,52",8,"0,41","0,17",50,4,"0,14",51,"0,13",47,"0,10",61,"0,12",41,"-0,08",28,,15,2,52,"10,42","0,40",6,"20,53",6,"0,26",21,"0,20",28,"0,17",46,"0,14",36,"-0,08",32,"0,66","0,49",29,"27,93",11
SCHIEFELBEIN RHOMBUS 4937 RHOMBUS,IA1989,2017,,P,IA,23503,,4,31,"-0,42","0,52",15,"12,59","0,53",3,,,,,"0,18",38,"0,10",59,"0,16",39,"0,40",3,"-0,08",27,,6,2,16,"10,41","0,43",6,"23,00",4,"0,18",42,"0,09",59,"0,19",39,"0,40",4,"-0,15",14,"-0,17","0,47",84,"27,81",11
SAV RENOWN 3439 RENOWN,IA1716,2013,,P,IA,16477,G,56,815,"0,41","0,85",60,"7,65","0,85",21,"-1,08","0,49",83,266,"0,28",12,"0,26",16,"0,26",13,"0,10",46,"-0,09",23,,16,47,585,"9,95","0,75",7,"17,60",11,"0,35",7,"0,31",9,"0,32",10,"0,15",34,"-0,16",12,"0,19","0,81",64,"27,71",11
H2R PROFITBUILDER B403 Proftbuilder,IA1685,2014,,V,IA,16477,G,28,336,"-0,99","0,80",4,"10,35","0,78",8,"1,58","0,23",26,48,"0,17",39,"0,33",7,"0,13",51,"0,16",29,"-0,06",34,,12,22,196,"7,41","0,62",18,"17,76",11,"0,26",21,"0,36",5,"0,20",34,"0,15",35,"-0,04",45,"1,57","0,71",2,"27,63",11
CIA.AZUL X522,437036,2019,,P,PC,8538,T,1,38,"0,74","0,57",78,"8,78","0,55",13,,,,,"0,34",5,"0,39",3,"0,41",1,"0,23",16,"-0,07",31,,9,1,29,"7,45","0,44",17,"16,23",14,"0,35",8,"0,38",4,"0,44",2,"0,20",24,"-0,05",40,"0,38","0,49",50,"27,52",11
JF PIRATINIZINHO 347,412677,2017,,P,PC,18778,,1,92,"2,69","0,61",99,"9,80","0,60",10,"-0,03","0,22",60,7,"0,33",6,"0,33",7,"0,31",7,"0,29",9,"-0,06",35,,7,1,80,"5,91","0,48",26,"15,71",15,"0,34",8,"0,32",8,"0,35",7,"0,34",7,"-0,04",44,"0,86","0,55",18,"27,50",11
GAR ASHLAND,IA1912,2015,,P,IA,23201,,10,101,"-0,21","0,61",24,"8,65","0,64",14,"2,69","0,10",9,4,"0,30",9,"0,20",29,"0,19",30,"0,29",9,"-0,11",18,,12,10,80,"6,90","0,49",20,"15,55",16,"0,32",11,"0,27",14,"0,24",25,"0,35",6,"-0,15",13,"1,20","0,58",6,"27,50",12
EF AUTHENTIC 0829 AUTHENTIC,IA1368,2010,,P,IA,16477,G,12,134,"-1,33","0,68",3,"8,71","0,69",14,"3,98","0,24",3,34,"0,21",27,"0,31",9,"0,17",35,"0,17",27,"-0,23",2,,16,11,100,"11,37","0,55",4,"20,08",7,"0,24",26,"0,35",6,"0,23",27,"0,22",20,"-0,24",3,"0,12","0,60",68,"27,35",12
SANTA THEREZA 2799,384203,2014,,P,PC,3108,,2,123,"-0,07","0,68",30,"11,93","0,65",4,"3,14","0,16",6,22,"0,15",48,"0,16",39,"0,09",66,"0,03",68,"-0,13",13,,9,2,64,"7,97","0,47",15,"19,89",7,"0,18",40,"0,14",44,"0,12",61,"0,05",61,"-0,17",11,"1,18","0,33",7,"27,22",12
R B TOUR OF DUTY 177 DUTY,IA1640,2011,,P,IA,15614,A,17,180,"-0,01","0,73",34,"7,61","0,73",21,"4,29","0,29",2,87,"0,27",13,"0,09",63,"0,20",28,"0,38",3,"-0,06",33,,17,17,148,"9,16","0,61",10,"16,77",13,"0,27",18,"0,12",50,"0,16",47,"0,38",4,"-0,05",42,"0,92","0,70",15,"27,19",12
SAV 654X RAINMASTER 6849,IA1979,2016,,P,IA,22588,,9,123,"0,30","0,72",54,"7,33","0,70",24,"1,03","0,20",37,3,"0,33",6,"0,32",8,"0,24",17,"0,06",58,"-0,34",1,,14,8,80,"7,14","0,57",19,"14,47",19,"0,35",7,"0,31",9,"0,22",29,"0,09",48,"-0,32",1,"1,04","0,63",11,"27,15",12
SAV THRIVE 5054,IA1897,2015,,P,IA,22588,,2,57,"1,28","0,57",94,"8,43","0,62",15,"-0,68","0,25",77,35,"0,39",2,"0,34",6,"0,35",3,"0,11",42,"-0,12",16,,9,2,45,"4,74","0,50",37,"13,17",24,"0,38",5,"0,34",6,"0,38",4,"0,04",63,"-0,12",19,"1,10","0,57",9,"27,15",12
RANGER BEST INTEREST DA RIO DA PAZ TE,200608,2015,,P,PO,15956,,2,32,"0,96","0,59",87,"10,10","0,57",9,"1,60","0,20",25,13,"0,24",19,"0,01",82,"0,12",52,"0,47",1,"-0,15",10,,10,2,29,"6,57","0,45",22,"16,66",13,"0,29",15,"0,07",67,"0,14",54,"0,54",1,"-0,14",15,"1,04","0,55",11,"26,70",13
SANTA JOANA 2370,408372,2016,,P,PC,15398,,1,22,"-0,07","0,50",30,"7,81","0,47",20,"0,99","0,15",38,8,"0,21",26,"0,20",29,"0,09",65,,,"-0,06",34,,20,1,13,"11,02","0,35",5,"18,83",10,"0,33",10,"0,24",20,"0,13",56,,,"-0,10",25,"-0,21","0,39",87,"26,61",13
REDBAR D168 NET WORTH G466 MATRIX,220892,2017,,P,PO,9271,,1,25,"1,81","0,52",99,"10,99","0,50",6,"1,48","0,15",27,4,"0,40",2,"0,40",3,"0,34",4,"0,40",3,"-0,02",49,,4,1,24,"4,87","0,40",35,"15,86",15,"0,37",6,"0,24",19,"0,30",12,"0,41",3,"-0,05",41,"-0,22","0,48",87,"26,60",13
SANTA JOANA 2387,410343,2016,,P,PC,15398,,1,64,"1,15","0,65",92,"8,46","0,62",15,"5,61","0,16",1,9,"0,39",2,"0,48",1,"0,39",2,"0,20",22,"-0,28",1,,8,1,33,"4,59","0,44",38,"13,06",24,"0,45",2,"0,58",1,"0,46",1,"0,21",22,"-0,33",1,"0,43","0,51",45,"26,52",13
Performance Qualidade de carne Adaptação SOLDERA 8041 INSTINCT,218479,2018,,P,PO,15061,,2,42,"2,23","0,37",99,"7,61","0,39",21,,,,,"0,19",32,"0,26",16,"0,06",74,"0,14",35,"0,09",90,,23,1,26,"9,84","0,23",8,"17,45",11,"0,23",28,"0,27",15,"0,09",68,"0,15",34,"0,05",76,"1,11","0,32",9,"26,52",13
SOLDERA TE6005 CANDELERO RESOURCE,202214,2016,,P,PO,15061,,1,29,"-0,02","0,52",33,"10,78","0,57",6,"-1,09","0,24",83,4,"0,27",13,"0,32",8,"0,33",5,"0,12",39,"-0,03",46,,7,1,18,"5,58","0,45",29,"16,36",14,"0,32",11,"0,31",9,"0,37",6,"0,11",44,"-0,01",54,"0,71","0,50",25,"26,43",13
V A R DISCOVERED 7218,IA2092,2017,,P,IA,23145,,4,23,"0,99","0,47",88,"7,33","0,45",24,,,,,"0,23",22,"0,02",81,"0,04",78,"0,35",4,"-0,09",26,,22,4,16,"8,61","0,32",12,"15,94",15,"0,31",12,"0,06",71,"0,09",68,"0,39",4,"-0,13",18,"1,02","0,32",12,"26,40",13
INSIGHT BLACK 2820 TELLECHEA,199986,2016,,P,PO,18551,,2,30,"0,54","0,58",67,"7,35","0,56",24,,,,,"0,32",7,"0,33",8,"0,35",3,"0,14",35,"-0,05",40,,15,2,18,"6,79","0,42",21,"14,14",21,"0,32",11,"0,24",20,"0,40",3,"0,12",41,"-0,05",40,"1,08","0,45",9,"26,25",14
WERNER FLAT TOP 4136,IA1920,2014,,P,IA,23230,M,6,34,"-0,49","0,52",13,"8,14","0,50",17,"0,88","0,16",40,4,"0,19",34,"0,22",24,"0,23",20,"0,09",50,"-0,11",18,,20,5,30,"10,80","0,40",5,"18,94",9,"0,20",36,"0,18",33,"0,25",22,"0,12",43,"-0,17",10,"0,61","0,50",32,"26,25",14
SOSSEGO 109P,208384,2016,,P,PO,14764,,1,49,"0,75","0,55",79,"6,01","0,55",33,"-0,23","0,16",64,2,"0,17",41,"0,12",51,"0,20",28,"0,16",31,"-0,22",3,,35,1,36,"11,27","0,42",5,"17,29",12,"0,33",9,"0,26",17,"0,26",20,"0,29",11,"-0,21",5,"0,44","0,42",45,"25,99",14
TRADIÇÃO T61,190729,2015,,P,PO,3638,,1,38,"0,78","0,58",80,"10,73","0,58",7,"-0,79","0,21",79,17,"0,28",11,"0,28",12,"0,34",4,"0,13",39,"-0,01",57,,6,1,35,"5,29","0,47",32,"16,03",15,"0,28",16,"0,26",16,"0,37",5,"0,13",40,"0,01",65,"0,78","0,54",22,"25,89",14
AKSAL REGARD DA RIO DA PAZ TE GENERAL,209005,2017,,P,PO,15956,P,8,164,"1,35","0,71",95,"8,36","0,71",16,"-0,07","0,21",61,2,"0,39",3,"0,29",11,"0,38",2,"0,29",9,"-0,16",9,,9,5,77,"4,21","0,54",41,"12,57",26,"0,34",9,"0,24",20,"0,37",5,"0,26",14,"-0,13",17,"1,05","0,63",10,"25,62",14
BASIN RAINMAKER 4404 Rainmaker 4404,IA1963,2014,,P,IA,22579,G,12,103,"0,58","0,62",70,"8,08","0,65",18,,,,,"0,21",28,"0,05",74,"-0,12",99,"0,34",5,"-0,06",37,,19,6,38,"8,85","0,41",11,"16,93",13,"0,25",24,"0,11",54,"-0,10",97,"0,34",6,"-0,13",18,"0,77","0,49",22,"25,46",15
QUAKER HILL BLINDSIDE SGR BLINDSIDE,IA1902,2015,,P,IA,22520,A,2,29,"-0,23","0,49",23,"8,42","0,48",15,,,,,"0,17",39,"0,05",72,"0,00",86,"0,08",53,"-0,03",45,,20,2,24,"7,95","0,35",15,"16,37",14,"0,20",36,"0,10",58,"0,02",85,"0,08",53,"-0,03",49,"1,57","0,38",2,"25,40",15
CANTÃO,425272,2018,,P,PC,20397,,1,53,"0,20","0,63",47,"8,51","0,62",15,"0,90","0,44",39,1,"0,28",12,"0,18",34,"0,24",15,"0,28",10,"-0,10",22,,13,1,44,"6,98","0,56",20,"15,48",16,"0,30",14,"0,20",29,"0,27",17,"0,29",11,"-0,12",20,"0,60","0,54",33,"25,28",15
SÃO XAVIER 2284 MONT BLACK TE,212343,2016,,P,PO,508,,1,31,"0,57","0,56",68,"8,63","0,55",14,,,,,"0,20",29,"0,13",49,"0,12",56,"0,23",16,"-0,05",39,,17,1,17,"7,79","0,41",16,"16,42",14,"0,15",51,"0,12",51,"0,08",72,"0,19",25,"-0,09",27,"1,56","0,49",2,"25,21",15
SANTA THEREZA 2773,384237,2014,,P,PC,3108,,1,20,"-0,48","0,50",13,"10,43","0,46",7,"1,96","0,21",18,9,"0,26",15,"0,22",25,"0,27",12,"0,22",18,"-0,01",57,,8,1,8,"6,38","0,35",23,"16,81",13,"0,23",27,"0,12",50,"0,26",20,"0,24",18,"-0,01",57,"0,58","0,35",34,"25,19",15
BUFORD BLUESTEM 9974,IA1282,2009,,P,IA,17737,,13,197,"0,24","0,74",50,"5,04","0,74",42,"2,46","0,35",12,102,"0,26",16,"0,32",8,"0,20",26,"0,22",17,"-0,21",3,,32,12,134,"9,30","0,60",10,"14,34",20,"0,34",9,"0,46",2,"0,29",14,"0,26",14,"-0,24",3,"0,69","0,67",27,"25,07",15
TIMBAÚVA 9046 BRUISER TIMB. 11,432665,2019,,P,PC,14168,,1,34,"-0,76","0,55",7,"9,55","0,52",10,,,,,"0,25",17,"0,23",24,"0,12",53,"0,23",15,"-0,14",12,,11,1,11,"6,47","0,36",23,"16,03",15,"0,29",15,"0,18",31,"0,17",46,"0,24",17,"-0,21",5,"0,52","0,40",38,"25,02",15
RINCON 0902 DEL SARANDY EL SAYCAN,112469,2005,,P,PO,7287,T,24,362,"0,68","0,80",75,"9,44","0,80",11,"4,50","0,52",2,336,"0,28",12,"0,17",37,"0,19",30,"0,27",11,"-0,21",3,,10,21,252,"6,19","0,69",25,"15,63",15,"0,29",14,"0,16",38,"0,16",49,"0,31",9,"-0,17",10,"0,46","0,71",44,"24,94",16
HOOVER DAM,IA1514,2008,,P,IA,21143,,2,32,"-0,31","0,48",19,"5,68","0,45",36,"1,82","0,06",21,4,"0,15",46,"0,08",66,"0,06",72,"0,06",59,"-0,09",25,,39,2,21,"8,84","0,31",11,"14,52",19,"0,22",30,"0,14",45,"0,15",51,"0,11",44,"-0,08",30,"2,03","0,35",1,"24,83",16
CIA.AZUL 5162 ROGER CINCH,231506,2019,,P,PO,8538,,1,28,"2,05","0,57",99,"6,57","0,54",29,,,,,"0,32",7,"0,27",14,"0,29",9,"0,25",14,"-0,11",17,,18,1,15,"6,57","0,40",22,"13,13",24,"0,38",5,"0,30",10,"0,39",4,"0,33",7,"-0,14",14,"0,51","0,43",39,"24,79",16
VPJ BLACK DOTTY N.WORTH,154528,2012,,P,PO,8629,,2,37,"0,07","0,53",39,"5,59","0,51",37,,,,,"0,32",7,"0,24",20,"0,22",21,"0,19",24,"-0,07",31,,24,2,28,"8,57","0,40",13,"14,17",21,"0,36",7,"0,24",19,"0,23",27,"0,25",16,"-0,06",37,"0,14","0,47",67,"24,77",16
9 MILE ENTERPRISE 8180,IA2110,2018,,V,IA,23758,,3,72,"-0,83","0,55",7,"5,39","0,54",39,,,,,"0,29",10,"0,55",1,"0,37",2,"-0,09",94,"0,02",68,,27,3,64,"5,37","0,41",31,"10,76",34,"0,38",5,"0,60",1,"0,53",1,"-0,07",89,"0,00",60,"1,69","0,50",1,"24,67",16
TRADIÇÃO T73,190739,2015,,P,PO,3638,,2,56,"0,71","0,60",76,"8,16","0,62",17,"-0,10","0,22",62,12,"0,27",13,"0,18",35,"0,22",23,"0,30",8,"0,03",71,,15,2,54,"7,13","0,51",19,"15,28",17,"0,22",29,"0,11",55,"0,20",35,"0,34",7,"0,03",72,"0,89","0,59",17,"24,58",17
