nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SANTATEREZA 38-J2506,252033,2014,,,38,,,,2432,,1,37,"1,94","0,44",99,"18,09","0,42",1,"-0,52","0,01",94,1,"0,54",1,"0,48",1,"0,45",1,"0,64",1,"-0,05",10,"64,09",1,1,33,"13,81","0,22",1,"31,9",1,"0,57",1,"0,49",1,"0,5",1,"0,74",1,"-0,06",10,"1,25","0,35",2,"73,74",1
SANTATEREZA 38-H2134,194602,2012,,,38,,,,2432,,1,27,"0,22","0,47",75,"12,61","0,45",2,,,,,"0,44",1,"0,48",1,"0,35",2,"0,41",2,"-0,08",4,"47,08",1,1,21,"11,39","0,24",2,,2,"0,47",1,"0,49",1,"0,41",2,"0,42",2,"-0,08",4,"0,76","0,36",3,"56,8",1
SANTATEREZA 38-D1369 MONTREAL MONTREAL,143119,2008,,,38,,,,2432,,2,63,"1,05","0,55",96,"12,59","0,53",2,"2,49","0,1",2,24,"0,4",2,"0,41",2,"0,38",1,"0,47",1,,,"45,23",2,2,50,"11,98","0,31",1,"24,57",1,"0,39",2,"0,41",2,"0,44",1,"0,47",1,,,"1,3","0,33",1,"56,53",2
CARCAVIO 38-1435 RAULITO RAULITO,159695,2010,,,38,,,,,,4,61,"1,23","0,54",99,"6,7","0,53",6,"0,21","0,07",13,14,"0,33",2,"0,26",4,"0,27",4,"0,22",4,"-0,04",11,"28,33",2,4,57,"7,62","0,29",2,"14,32",2,"0,41",2,"0,31",3,"0,38",2,"0,31",2,"-0,05",11,"-0,45","0,43",92,"35,18",2
SANTATEREZA E1541,150372,2009,,,38,,,,2432,,1,69,"-0,16","0,57",28,"6,85","0,55",5,"0,89","0,11",7,28,"0,28",3,"0,16",10,"0,21",5,"0,26",3,,,"27,1",3,1,59,"6,94","0,32",2,"13,79",3,"0,29",3,"0,18",7,"0,24",4,"0,35",2,,,"0,36","0,36",14,"33,44",2
LAJEADOVERMELHO 38-765969 CACIMBA,128687,2007,,,38,,,,,,2,95,"0,61","0,59",90,"7,9","0,57",2,"0,88","0,13",7,29,"0,13",12,"0,15",12,"0,11",15,"0,13",14,"0,17",99,"23,97",4,1,39,"6,18","0,17",3,"14,08",3,"0,15",11,"0,13",12,"0,12",14,"0,18",9,,,"0,21","0,05",23,"26,61",4
LAJEADOVERMELHO 38-3320 BIDOIS H2268 GUAPO,205259,2012,,,38,,,,,,2,43,"0,63","0,48",91,"4,94","0,46",11,,,,,"0,28",4,"0,19",9,"0,3",2,"-0,17",94,"-0,02",23,"22,15",4,1,4,"2,42","0,13",13,"7,36",10,"0,27",4,"0,13",14,"0,31",4,"-0,16",92,"-0,01",25,"0,49","0,17",7,"23,8",4
RANCHO 626 -T/E BOOMERANG BOOMERANG,IAB-044,2010,,,38,,,T,,,9,152,"-0,4","0,54",16,"4,92","0,65",12,"-0,34","0,03",92,4,"0,28",4,"0,26",4,"0,3",2,"0,17",8,"-0,07",5,"22,05",4,8,86,"1,69","0,25",21,"6,61",14,"0,29",3,"0,21",5,"0,32",3,"0,21",6,"-0,07",5,"0,21","0,58",24,"22,05",4
CAMILA 38-K18,155431,2009,,,38,,,,8298,,1,48,"0,64","0,4",92,"1,8","0,37",33,,,,,"0,17",7,"0,27",3,"0,15",11,,54,,,"10,69",18,1,46,"4,88","0,13",4,"6,68",14,"0,26",5,"0,29",3,"0,22",5,,49,,,"0,66","0,44",4,"21,47",5
LAJEADOVERMELHO 38-2323 CHICO 05 GREGO,148312,2008,,,38,,,,,,2,92,"0,14","0,62",66,"3,38","0,59",19,"1,32","0,05",5,9,"0,28",3,"0,14",14,"0,16",10,"-0,04",64,"-0,04",14,"18,58",7,1,10,"1,73","0,15",21,"5,11",20,"0,28",4,"0,05",33,"0,17",10,"-0,11",85,"-0,04",15,"0,23","0,09",22,"20,16",6
