nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
GUAICOS X1383 TE FEDERAL TERREMOTO SALADILLO,IA623,2012,M,,,,,IA,10379,,6,51,"0,01","0,48",37,"1,81","0,48",48,,,,,"0,31",11,"0,30",12,"0,26",9,"0,10",39,"0,05",87,,28,4,37,"-4,50","0,32",93,"-2,68",77,"0,28",14,"0,20",16,"0,24",14,"0,05",54,"0,05",76,"0,17","0,38",44,"7,92",47
MAAC LAUREEN WISDOM 5199,236665,2010,M,,,,,PO,2226,,2,70,"0,61","0,48",82,"1,08","0,52",57,"-2,47","0,14",98,37,"-0,01",73,"-0,09",83,"-0,08",88,"0,07",47,"-0,00",50,,63,2,57,"4,01","0,39",22,"5,09",35,"0,01",68,"-0,07",79,"-0,08",84,"0,07",48,"-0,02",35,"0,12","0,33",49,"6,98",49
HORMIGA LAPACHO 7 CAUDILLO,IA597,2005,,,,,,CR,10379,IA,7,53,"0,28","0,44",59,"0,36","0,46",65,"2,60","0,10",5,20,"0,12",32,"-0,05",76,"0,04",56,"0,07",46,"-0,02",34,,54,4,24,"0,58","0,29",56,"0,94",60,"0,12",37,"-0,00",67,"0,03",57,"0,05",54,"-0,03",27,"0,39","0,33",26,"6,85",50
ELM-LODGE NEXT BIG THING 3N,IA480,2003,M,,,,,IA,23805,,5,74,"0,55","0,56",78,"1,35","0,60",53,"4,68","0,14",2,36,"0,07",50,"0,14",28,"0,01",62,"0,18",21,"0,01",64,,53,5,65,"2,21","0,46",31,"3,56",44,"0,04",60,"0,08",43,"-0,02",71,"0,20",20,"0,02",66,"0,05","0,43",58,"6,76",50
MIRASIERRA MR. HEREFORD X432 TE,IA643,2013,M,,,,,IA,17610,,1,48,"0,36","0,48",66,"-0,34","0,49",70,"-0,12","0,00",55,4,"0,09",44,"-0,03",70,"0,00",67,"0,02",63,"-0,04",18,,61,1,36,"3,10","0,34",26,"2,76",49,"0,13",34,"0,00",65,"0,01",63,"0,05",52,"-0,07",17,"-0,41","0,38",90,"6,63",51
ANCARES KAMIKAZE 1 KAMIKAZE,IA619,2011,M,,,,,IA,21721,,6,26,"0,20","0,35",52,"1,24","0,38",56,"-0,27","0,05",70,55,"0,14",28,"0,06",48,"0,03",58,"0,09",41,"0,03",74,,46,6,17,"-1,06","0,23",73,"0,17",65,"0,16",28,"0,06",50,"0,05",51,"0,07",46,"0,04",73,"0,22","0,20",40,"6,31",51
SATUR FORC BOOMER-3697,IA577,2006,M,,,,,IA,17375,,5,57,"0,33","0,47",65,"2,97","0,53",37,"1,40","0,11",14,33,"0,04",60,"-0,08",81,"0,01",65,"-0,00",69,"0,02",67,,45,5,32,"1,09","0,33",45,"4,05",41,"-0,01",72,"-0,11",88,"0,02",60,"-0,01",69,"0,03",68,"0,26","0,27",37,"6,23",52
TOPASS DETENTO 35,231550,2008,,,,,,CR,2444,,3,209,"0,56","0,64",79,"1,75","0,64",49,"0,90","0,26",21,106,"0,15",27,"0,20",21,"0,13",28,"0,11",35,"-0,04",21,,41,2,163,"0,16","0,49",60,"1,91",53,"0,08",45,"0,10",35,"0,08",46,"0,07",47,"-0,04",22,"-0,32","0,52",88,"5,70",54
HORMIGA CAUDILLO 37 TIO COCOA,IA620,2010,,,,,,CR,10379,IA,3,42,"0,36","0,46",67,"2,14","0,48",45,"1,75","0,07",11,19,"0,03",60,"-0,07",79,"0,01",63,"0,02",62,"-0,03",27,,51,3,36,"1,31","0,35",41,"3,45",45,"0,00",71,"-0,09",82,"-0,05",79,"-0,01",68,"-0,02",32,"0,30","0,31",34,"5,65",54
SHF RIB EYE M326 R117,IA505,2005,M,,,,,IA,23805,,6,587,"-0,44","0,76",12,"3,51","0,77",35,"-3,54","0,29",99,109,"-0,01",75,"0,01",62,"-0,05",82,"0,05",53,"-0,02",39,,47,5,407,"0,61","0,63",54,"4,12",40,"-0,06",84,"0,03",56,"-0,10",90,"0,02",58,"-0,04",23,"0,76","0,66",6,"5,59",55
