nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
HORMIGA LAPACHO 7 CAUDILLO,IA-597,2005,,,,,,IMP,,T,4,73,"0,07","0,4",48,"0,39","0,43",67,"-0,73","0,09",82,8,"0,15",25,,67,"0,12",29,"0,06",44,"0,02",83,"5,84",51,3,33,"3,5","0,18",16,"3,9",39,"0,2",18,"0,11",32,"0,16",24,"0,06",46,"0,01",71,"0,3","0,31",29,"13,51",29
MAUA BOOMER DO PONTAL 3425,O237255,2010,,,,,,PO,2427,,2,27,"0,4","0,48",70,"2,78","0,46",38,"4,01","0,15",1,4,"0,04",56,"0,13",27,"0,1",33,"-0,02",76,"-0,03",,"7,68",43,2,15,"3,49","0,23",17,"6,26",27,"0,12",35,"0,21",13,"0,2",15,"0,05",49,,,"0,39","0,47",24,"12,86",30
MADRAGA K248,C0193241,2006,,,,,,PC,7571,,1,84,"0,53","0,61",75,"3,44","0,6",31,"-0,54","0,15",78,31,"0,17",20,"-0,02",73,"0,1",35,"0,07",41,"-0,01",31,"14,22",25,1,57,"0,45","0,31",59,"3,89",39,"0,1",42,"-0,1",90,"-0,02",73,"0,07",44,,39,"0,63","0,38",14,"12,51",31
MAUA INVASOR DO PONTAL 3651,O238465,2011,,,,,,PO,2427,,2,182,"0,34","0,51",66,"3,21","0,61",33,"-7,64","0,19",99,41,"0,07",47,"0,08",41,,71,"0,08",38,,,"9,95",37,2,140,"3,26","0,36",19,"6,47",26,"0,08",46,"0,06",46,"0,02",61,"0,06",48,,,"0,27","0,52",32,"12,48",31
FORC 29F BOOMER 18L FORC BOOMER,IA-442,2001,,,,,,IMP,,,29,1303,"0,09","0,86",49,"1,37","0,86",52,"4,55","0,57",1,450,"0,12",32,"0,12",30,"0,18",15,"0,04",52,"-0,05",10,"7,32",45,27,856,"3,43","0,63",18,"4,79",34,"0,16",25,"0,13",29,"0,26",9,"0,12",30,"0,04",90,"0,03","0,75",56,"12,47",32
MAAC HAVEN SUNDANCE 5779,O246836,2015,,,,,,PO,,,1,20,"0,25","0,3",61,"3,69","0,28",28,,,,,"0,09",42,"0,05",49,"0,09",37,"0,08",38,"0,05",93,"11,73",33,1,18,"2,01","0,13",31,"5,69",29,"0,07",47,,,"0,09",40,"0,08",42,"0,05",92,"0,54","0,18",18,"12,42",32
BARRAGEM SURENO 724 - 1048,O239995,2012,,,,,,PO,2251,,2,23,"0,9","0,3",89,"6,32","0,31",13,,,,,"0,13",31,"0,07",44,"0,15",18,"0,19",16,"0,01",78,"19,43",16,2,17,"-0,18","0,18",70,"6,14",27,"0,07",47,"0,03",56,"0,08",43,"0,15",25,"0,04",89,"0,21","0,27",39,"12,29",32
PASSO FUNDO D027,C250065,2016,,,,,,PC,16594,,1,21,"0,17","0,4",54,"3,16","0,38",34,,,,,"0,02",64,"0,02",61,"0,02",65,"0,06",48,"-0,01",31,"7,9",42,1,13,"4,66","0,17",10,"7,81",21,"0,04",58,"0,02",58,"0,03",59,"0,08",42,,64,"0,15","0,33",45,"12,22",33
GUATAMBU I1271,C0171259,2009,,,,,,PC,6425,,1,32,"0,81","0,52",87,"3,09","0,51",34,"-1,86","0,12",94,13,"0,16",23,"0,36",4,"0,2",12,"0,06",45,"-0,02",20,"12,87",30,1,29,"1,54","0,31",38,"4,63",35,"0,15",26,"0,4",2,"0,26",8,"0,09",37,"-0,02",20,"-0,24","0,39",85,"11,65",34
SANTA INÉS DELIVERANCE 5-18-27 CHARRUA,IA-461,1999,,,,,,IMP,,,26,575,"0,1","0,78",50,"4,05","0,81",25,"-1,72","0,49",93,308,"0,19",17,"0,14",25,"0,1",36,"0,17",20,,43,"16,28",21,25,377,"0,84","0,53",51,"4,89",34,"0,15",27,"0,12",30,"0,04",53,"0,19",18,"0,08",95,"-0,53","0,7",97,"11,52",34
PALENQUERO DOMINANTE 202 HALCON,IA-624,2008,,,,,,IMP,,T,2,42,"-0,59","0,46",13,"0,35","0,43",68,,,,,"0,24",11,"0,19",18,"0,12",28,,65,,64,"9,05",39,2,22,"0,28","0,14",62,"0,62",66,"0,25",12,"0,2",14,"0,15",27,"-0,06",81,,65,"0,22","0,25",37,"11,35",35
SP URATAU 5097,C167238,2007,,,,,,PC,2244,,1,71,,,,"5,3","0,55",18,"-0,51","0,08",78,9,"0,04",56,"0,18",20,"0,03",61,"0,12",27,"0,01",75,"13,73",27,1,28,"1,13","0,25",44,"6,42",26,"0,05",55,"0,16",21,"0,06",48,"0,16",23,"0,01",71,"0,48","0,18",20,"11,34",35
MAUÁALABAMA DO PONTAL 3111,O234770,2009,,,,,,PO,2427,,3,109,"-0,07","0,5",37,"0,11","0,58",71,,,,,"0,15",24,"0,12",32,"0,19",13,"-0,02",74,"-0,02",,"5,42",52,3,84,"2,25","0,22",28,"2,36",50,"0,23",13,"0,13",29,"0,26",8,"-0,01",71,"-0,04",15,"0,05","0,37",53,"11,28",36
SILENCIO L45,C0200057,2012,,,,,,PC,2376,,1,27,"-1,06","0,45",5,"3,66","0,43",29,,,,,"0,15",26,"0,12",31,"0,11",31,"-0,01",73,"-0,09",4,"13,68",27,1,1,"-0,91","0,2",78,"2,75",47,"0,12",37,"0,1",35,"0,07",45,"-0,03",75,"-0,07",8,"0,83","0,32",7,"11,12",37
MAACTUYUTI DURANGO 114HP-5145,O235042,2009,,,,,,PO,,,2,23,"0,38","0,4",68,"3,78","0,44",26,"-0,01","0,14",68,25,"0,12",33,"0,05",50,"0,04",54,"0,14",23,,69,,29,1,8,"-0,65","0,17",76,"3,13",44,"0,12",34,"0,01",61,"0,01",67,"0,13",28,"0,01",72,"0,73","0,23",10,"10,86",37
GUATAMBU M1057,C197404,2013,,,,,,PC,,,1,111,"-0,04","0,57",40,"0,48","0,55",66,,,,,"0,17",20,"0,17",21,"0,11",30,"0,19",16,"-0,11",3,"6,98",46,1,90,"1,87","0,22",33,"2,35",51,"0,16",26,"0,14",27,"0,12",32,"0,2",17,"-0,12",4,"0,21","0,46",40,"10,57",38
WOLF 3183,C0183762,2011,,,,,,PC,,,1,35,"-1,27","0,48",3,"1,21","0,49",55,,,,,"0,14",28,"0,03",58,"0,02",63,"0,17",20,"0,02",87,"7,45",44,1,27,"1,45","0,24",40,"2,66",49,"0,15",29,"0,07",45,"0,07",45,"0,22",13,"0,02",79,"0,35","0,31",26,"10,35",39
WOLF 3432,C0187604,2012,,,,,,PC,,,1,45,"-0,45","0,51",19,"1,88","0,51",45,,,,,"0,14",28,"0,09",39,"0,11",31,"0,07",40,"-0,03",16,"9,08",39,1,31,"0,81","0,31",51,"2,69",48,"0,14",32,"0,15",23,"0,15",27,"0,08",39,"-0,07",8,"0,36","0,37",26,"10,05",40
RECREIOT308(JUREMI),C137576,2001,,,,,,PC,,,5,132,"0,86","0,17",88,"3,67","0,54",28,"1,13","0,06",11,18,"0,11",35,"0,11",34,"0,14",23,"0,11",31,,67,"12,42",31,3,71,"0,82","0,18",51,"4,49",36,"0,07",47,"0,06",48,"0,12",34,"0,09",39,,66,"0,16","0,24",44,"9,87",40
JMSVICTOR 2105-858 JMS VICTOR,IA-361,1988,,,,,,IMP,,,18,483,"0,11","0,73",51,"3,28","0,79",33,"0,19","0,37",28,144,"0,1",39,"0,14",26,"0,12",26,"0,1",33,"-0,05",10,"11,16",35,16,250,"0,51","0,4",57,"3,79",40,"0,14",32,"0,13",30,"0,1",37,"0,13",29,"-0,07",9,"0,13","0,63",47,"9,87",40
PASSO FUNDO 397,C0176326,2010,,,,,,PC,16594,,2,38,"0,16","0,39",54,"1,73","0,45",47,"-0,3","0,02",74,2,"0,12",34,"0,14",26,"0,13",24,"0,04",54,,,"7,93",42,2,27,"1,52","0,23",39,"3,25",43,"0,11",39,"0,15",23,"0,19",18,"0,07",45,,,"0,16","0,3",44,"9,34",41
GUAICOS X1040TE OLVIDO,IA-582,2010,,,,,,IMP,,T,9,84,"-0,54","0,55",16,"0,84","0,56",60,"-0,94","0,07",86,13,"0,19",16,"0,22",13,"0,25",6,"0,06",48,"0,09",98,"8,58",40,7,64,"0,33","0,21",62,"1,17",61,"0,17",23,"0,07",42,"0,17",21,,64,"0,11",97,"0,11","0,54",48,"9,18",41
GAPT055,C0151062,2005,,,,,,PC,2555,,1,71,"0,19","0,21",56,"-0,59","0,58",76,"-0,4","0,18",76,48,"0,08",46,"0,05",52,"0,15",18,,,"0,05",94,"0,91",68,1,49,"3,66","0,31",16,"3,07",44,"0,15",27,"0,04",53,"0,18",19,,,"0,07",94,"0,01","0,42",59,"8,98",42
PALENQUERO DOMINANTE 117,IA-511,2005,,,,,,IMP,,,4,52,"-0,53","0,53",16,"0,99","0,51",57,"-0,13","0,08",70,15,"0,12",31,"0,08",41,"-0,01",74,"-0,02",75,"0,01",70,"6,43",49,4,37,"0,69","0,22",54,"1,69",56,"0,16",25,"0,11",33,"0,02",64,"-0,03",77,"0,02",79,"0,12","0,37",48,"8,23",44
MAAC MARY DURANGO 4689,O227436,2005,,,,,,PO,,,2,152,,,,"1,65","0,64",48,"1,36","0,24",9,60,"0,12",34,"0,03",58,"0,03",62,"0,08",37,"-0,01",27,"7,75",43,2,141,"-0,36","0,4",72,"1,29",60,"0,1",41,"-0,05",78,"-0,03",76,"0,01",63,"-0,01",33,,,,"7,74",45
ESCONDIDA 1849 ESCONDIDO,O229076,2006,,,,,,PO,2372,,3,34,"0,42","0,29",70,"1,01","0,46",56,"3,05","0,16",2,6,"0,1",37,"0,16",23,"0,16",17,"0,08",36,"-0,05",11,"5,73",52,2,20,"1,98","0,22",32,,45,"0,15",28,"0,18",17,"0,21",15,"0,14",27,"-0,01",33,"-0,48","0,43",95,"7,48",46
TH 122 71IVICTOR 719T VICTOR,IA-587,2007,,,,,,IMP,,G,9,140,"-0,87","0,66",7,"0,92","0,64",58,"1,41","0,02",8,3,"0,07",48,"0,08",41,"0,07",45,"0,13",25,"-0,03",15,"4,31",55,7,77,"0,49","0,21",58,"1,41",59,"0,11",38,"0,1",35,"0,1",38,"0,19",18,"-0,03",15,"0,68","0,43",12,"7,46",46
CATALINERO X6279 EL NENE FORWARD,IA-458,2002,,,,,,IMP,,,4,60,"1,77","0,29",99,"1,55","0,57",50,"-0,88","0,13",85,29,"0,11",36,"-0,03",77,"0,1",33,"-0,09",88,"0,09",97,"7,29",45,4,48,"0,63","0,3",55,"2,18",52,"0,16",24,"0,03",55,"0,11",36,"-0,11",89,"0,12",98,"-0,29","0,47",88,"7,24",47
TOPASS INDIO 8,O228999,2006,,,,,,PO,2444,,1,175,"0,71","0,53",84,"-0,8","0,56",78,"-3,52","0,21",99,77,"0,25",9,"0,12",31,"0,1",32,"0,01",61,,,"6,59",48,1,115,"-0,46","0,26",74,"-1,26",78,"0,22",15,"0,02",59,"0,09",39,"-0,03",76,,,"-0,19","0,32",82,"7,13",48
SINA SINA H200,C0166403,2008,,,,,,PC,64,,1,29,"-0,19","0,47",30,"3,65","0,44",29,"1,84","0,06",5,8,"0,09",42,"0,11",33,"0,06",49,"0,03",56,"0,17",99,"11,68",33,1,17,"0,38","0,2",60,"4,04",39,"0,04",58,"0,13",29,"0,05",49,"-0,03",76,"0,21",99,"-0,25","0,37",87,"6,7",49
GUTAMBU I1111,C0201098,2009,,,,,,PC,6425,,1,61,"0,56","0,56",76,"-1,18","0,54",81,"0,26","0,08",27,4,"0,12",34,"0,12",32,,72,"0,01",61,"0,22",99,"0,94",67,1,18,"1,48","0,28",39,"0,31",67,"0,14",31,"0,23",9,"0,05",52,"0,03",56,"0,23",99,"0,31","0,4",29,"6,56",49
CANOA MIRIM 21,O245881,2015,,,,,,PO,21081,,1,24,"-0,19","0,25",31,"1,88","0,23",45,,,,,"0,1",39,"0,06",48,"0,04",55,"-0,06",84,,,"7,77",43,1,22,"0,1","0,09",65,"1,98",53,"0,1",40,"0,03",56,"0,02",60,"-0,1",88,,,"-0,06","0,25",70,"6,18",50
IRAPUA 7120,C166669,2008,,,,,,PC,14719,,2,23,"0,65","0,25",80,"2,17","0,36",42,"1,2","0,07",10,5,"0,07",48,"0,11",33,"0,07",43,,67,"-0,03",15,"7,34",45,2,18,"-0,49","0,17",74,"1,69",57,"0,12",36,"0,13",30,"0,09",39,"-0,02",73,,,"0,14","0,3",47,"5,93",50
REMITALL SUPER DUTY 42S SUPER DUTY,IA-487,2006,,,,,,IMP,,,12,91,"0,29","0,59",62,"0,49","0,61",66,"0,31","0,1",25,21,,72,"-0,07",82,"-0,03",78,"0,12",29,"0,01",76,"0,52",70,9,64,"2,24","0,26",28,"2,73",48,"0,06",50,"-0,04",77,"0,03",58,"0,12",32,,66,"0,12","0,46",48,"5,01",52
SANTA INES BUCANERO 1 BUCANERO,IA-475,2003,,,,,,IMP,,,8,120,"0,65","0,58",81,"0,32","0,67",69,,"0,24",96,78,"0,04",55,"-0,03",75,"0,1",35,"0,07",40,"0,04",93,"1,9",64,7,84,"1,4","0,38",41,"1,72",56,"0,02",65,"-0,06",82,"0,05",50,"0,11",32,"0,14",99,"0,25","0,55",35,"4,1",55
GAP 1981-1599,O236134,2010,,,,,,PO,2555,,1,20,"0,35","0,35",67,"-0,07","0,32",72,,,,,"0,09",43,"0,04",54,"0,11",32,"0,01",62,,,"2,61",61,1,14,"-1,62","0,13",87,"-1,69",81,"0,1",41,"0,05",50,"0,16",22,"0,03",56,,,"0,94","0,26",5,"4,02",56
WLB GLOBAL 72M-50S,IA-508,2006,,,,,,IMP,,,7,102,"0,5","0,51",74,"0,33","0,55",68,"-0,74","0,15",82,34,"0,05",53,"0,04",55,"0,05",52,"0,02",59,"-0,08",5,"2,2",62,6,70,"-0,16","0,24",69,"0,17",69,"0,06",50,"-0,02",71,"0,06",49,"0,03",56,"-0,08",7,"0,59","0,34",15,"3,98",56
