nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SANTA JOANA 2654,427414,2018,,P,PC,15398,,1,37,"0,64","0,50",80,"13,06","0,48",2,,,,0,"0,36",3,"0,40",2,"0,37",2,"0,13",32,"-0,21",3,"39,00",2,,0,"5,97","0,28",17,"19,03",4,"0,35",4,"0,42",2,"0,39",3,"0,13",31,"-0,20",4,"0,04","0,34",66,"32,53",4
JF PIRATINIZINHO 347,412677,2017,,P,PC,18778,,1,62,"1,96","0,54",99,"8,65","0,52",9,,,,0,"0,39",1,"0,46",1,"0,37",2,"0,23",11,"-0,15",7,"30,42",5,1,18,"6,10","0,34",16,"14,75",10,"0,41",2,"0,44",1,"0,39",3,"0,26",9,"-0,13",12,"1,04","0,40",6,"32,35",4
EXAR UPSHOT 0562B,IA1440,2010,,P,IA,15614,,5,36,"0,68","0,37",82,"8,39","0,45",10,"2,79","0,05",7,8,"0,23",15,"0,16",32,"0,12",45,"0,33",3,"0,02",66,"24,35",10,5,25,"10,33","0,30",3,"18,72",4,"0,28",10,"0,14",34,"0,14",42,"0,36",3,"-0,00",52,"0,99","0,34",7,"31,92",5
CANTÃO,417039,2017,,P,PC,20397,,1,43,"0,01","0,52",38,"7,44","0,50",15,,,,0,"0,30",6,"0,16",31,"0,17",26,"0,26",7,"-0,09",19,"24,47",10,1,13,"9,00","0,30",5,"16,44",7,"0,40",3,"0,24",13,"0,26",14,"0,35",3,"-0,08",25,"0,63","0,29",21,"31,49",5
LD EMBLAZON 999 EMBLAZON 999,IA1705,2009,,P,IA,15614,,7,82,"-0,35","0,63",17,"8,19","0,62",11,"1,95","0,10",15,2,"0,38",2,"0,44",2,"0,24",12,"0,00",72,"-0,15",7,"29,09",5,7,57,"9,28","0,46",4,"17,47",6,"0,39",3,"0,40",2,"0,29",10,"0,08",44,"-0,16",7,"-0,63","0,49",97,"30,70",5
GAP 6363,224571,2018,,P,PO,2555,,2,46,"-0,30","0,55",19,"5,33","0,53",31,,,,0,"0,26",10,"0,08",54,"0,11",49,"0,10",39,"0,08",87,"18,56",21,,0,"10,77","0,27",2,"16,10",8,"0,32",6,"0,21",19,"0,15",39,,,,,"1,10","0,33",4,"30,69",5
TRADIÇÃO 2541,426981,2018,,P,PC,3638,,1,31,"0,22","0,48",53,"10,80","0,47",4,,,,0,"0,29",7,"0,36",3,"0,48",1,"0,11",36,"-0,00",54,"31,63",4,,0,"6,77","0,26",12,"17,57",5,"0,28",10,"0,34",4,"0,51",1,,,"0,01",59,"0,68","0,33",18,"30,34",5
TRADIÇÃO T73,190739,2015,,P,PO,3638,,2,54,"0,40","0,55",66,"9,25","0,59",7,"1,62","0,17",21,3,"0,31",6,"0,22",18,"0,26",10,"0,31",4,"0,04",72,"28,81",6,2,43,"7,66","0,46",8,"16,92",6,"0,25",15,"0,14",33,"0,23",21,"0,31",5,"0,05",78,"0,95","0,53",8,"30,33",5
SAV 654X RAINMASTER 6849,IA1979,2016,,P,IA,20402,,4,61,"0,43","0,61",67,"7,24","0,60",16,,,,0,"0,31",5,"0,33",5,"0,20",20,"0,02",68,"-0,27",1,"24,70",9,4,38,"7,72","0,44",8,"14,96",10,"0,34",5,"0,29",8,"0,16",37,"0,06",52,"-0,26",2,"1,07","0,49",5,"30,24",6
SAV THRIVE 5054,IA1897,2015,,P,IA,20402,,2,47,"0,53","0,45",74,"7,75","0,56",14,"-0,59","0,18",71,3,"0,31",6,"0,33",5,"0,31",5,"0,06",51,"-0,09",17,"25,52",8,2,26,"6,50","0,42",13,"14,25",11,"0,33",5,"0,36",4,"0,37",3,"0,02",64,"-0,11",17,"1,12","0,47",4,"29,12",6
