nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SANTA JOANA 2370,408372,2016,,P,PC,15398,,1,22,"0,21","0,47",52,"8,79","0,46",8,,,,0,"0,23",15,"0,21",21,"0,09",58,,,"-0,08",23,"25,21",9,1,13,"9,97","0,34",3,"18,76",4,"0,33",6,"0,23",14,"0,14",44,,,"-0,10",18,"-0,31","0,38",89,"29,11",6
CONNEALY RIGHT ANSWER 746,IA1239,2007,,P,IA,,,12,152,"-0,30","0,54",19,"5,11","0,63",34,"2,55","0,21",8,23,"0,22",16,"0,06",62,"0,09",57,"0,27",7,"-0,01",47,"16,93",26,8,36,"10,43","0,45",3,"15,54",9,"0,35",4,"0,12",40,"0,14",43,"0,37",2,"-0,06",33,"0,78","0,50",14,"28,90",6
SANTA THEREZA 2799,384203,2014,,P,PC,3108,,1,94,"-0,20","0,64",24,"11,96","0,62",3,"3,23","0,11",4,8,"0,08",60,"0,16",32,"0,04",70,"-0,03",80,"-0,12",12,"27,29",7,1,36,"9,10","0,40",5,"21,06",3,"0,10",54,"0,14",35,"0,08",61,"-0,03",78,"-0,13",12,"1,06","0,30",5,"28,54",7
SÃO XAVIER 1826 JACARTA TE,184891,2014,,P,PO,508,,1,47,"0,57","0,51",76,"6,68","0,56",20,"0,45","0,20",44,5,"0,26",11,"0,23",17,"0,34",3,"0,14",29,"-0,07",24,"21,50",15,1,39,"9,91","0,44",3,"16,59",7,"0,28",11,"0,21",17,"0,41",3,"0,15",25,"-0,07",28,"0,42","0,53",35,"28,43",7
COLEMAN CHARLO 0256,IA1853,2010,,P,IA,22488,,14,83,"-0,10","0,64",30,"8,56","0,64",9,"1,61","0,08",21,8,"0,31",5,"0,55",1,"0,42",1,"-0,04",84,"-0,14",8,"27,57",6,8,38,"5,21","0,44",23,"13,77",13,"0,32",6,"0,47",1,"0,41",2,"-0,07",88,"-0,19",5,"1,11","0,52",4,"28,26",7
REDBAR D168 NET WORTH G466 MATRIX,220892,2017,,P,PO,9271,,1,22,"2,35","0,46",99,"8,95","0,45",8,,,,0,"0,35",3,"0,32",6,"0,26",10,"0,37",2,"-0,01",51,"29,60",5,1,22,"5,76","0,36",18,"14,71",11,"0,36",4,"0,20",19,"0,26",15,"0,43",2,"0,02",62,"0,05","0,44",66,"27,84",7
RINCON 0902 DEL SARANDY EL SAYCAN,112469,2005,,P,PO,7287,T,24,357,"0,09","0,78",44,"9,53","0,79",7,"4,33","0,50",1,307,"0,27",9,"0,18",27,"0,19",22,"0,26",7,"-0,22",2,"28,27",6,21,259,"6,21","0,68",15,"15,74",9,"0,30",8,"0,17",27,"0,15",39,"0,32",4,"-0,18",6,"0,38","0,70",38,"27,35",7
BIGUÁ 6463 DENSITY TE,184691,2014,,P,PO,18474,,1,254,"-0,51","0,56",12,"9,43","0,54",7,"0,11","0,20",50,7,"0,34",3,"0,33",5,"0,42",1,"0,24",9,"-0,07",23,"30,48",4,1,187,"2,89","0,42",45,"12,33",18,"0,38",3,"0,32",5,"0,47",1,"0,25",10,"-0,10",19,"0,83","0,42",12,"27,10",7
BUFORD BLUESTEM 9974,IA1282,2009,,P,IA,17737,,12,183,"-0,07","0,72",32,"5,75","0,72",28,"2,74","0,31",7,64,"0,29",7,"0,30",7,"0,17",27,"0,24",9,"-0,22",2,"20,50",17,11,106,"7,76","0,57",8,"13,51",14,"0,35",4,"0,40",2,"0,21",23,"0,25",10,"-0,25",2,"0,59","0,62",24,"27,02",8
SAV SEEDSTOCK 4838,IA1313,2014,,P,IA,20402,,2,23,"0,93","0,47",90,"7,93","0,46",13,,,,0,"0,29",7,"0,24",15,"0,19",22,"0,25",8,"-0,13",10,"25,39",9,2,18,"6,15","0,38",15,"14,08",12,"0,34",5,"0,26",10,"0,19",28,"0,32",5,"-0,16",8,"0,41","0,37",36,"26,68",8
HOOVER DAM,IA1514,2008,,P,IA,21143,,2,32,"-0,13","0,44",28,"6,07","0,43",25,"1,40","0,05",25,3,"0,12",47,"0,09",51,"0,07",63,"-0,01",77,"-0,10",15,"15,49",30,2,20,"9,56","0,27",4,"15,63",9,"0,19",28,"0,16",29,"0,15",39,"0,05",54,"-0,11",17,"1,68","0,32",1,"26,64",8
SANTA THEREZA 2773,384237,2014,,P,PC,3108,,1,20,"-0,23","0,48",22,"10,00","0,46",6,"1,59","0,20",22,7,"0,24",12,"0,23",16,"0,26",9,"0,19",18,"-0,01",48,"28,40",6,1,8,"6,21","0,34",15,"16,21",8,"0,23",18,"0,14",33,"0,27",12,"0,20",17,"-0,01",50,"0,51","0,34",29,"26,62",8
TRADIÇÃO T120 GUAPO,221988,2018,,P,PO,3638,P,2,24,"0,58","0,44",76,"7,74","0,50",14,,,,0,"0,33",4,"0,17",28,"0,26",10,"0,09",43,"0,13",96,"26,33",8,,0,"4,47","0,33",29,"12,20",19,"0,33",5,"0,17",26,"0,30",8,"0,10",39,"0,13",94,"0,98","0,40",7,"26,57",8
REDBAR NET WORTH D168 FINAL ANSWER,183971,2014,,P,PO,9271,,1,36,"2,23","0,51",99,"5,19","0,51",33,"2,03","0,19",14,2,"0,37",2,"0,36",3,"0,33",4,"0,28",6,"0,03",67,"22,14",14,1,26,"4,98","0,42",25,"10,17",27,"0,40",3,"0,32",6,"0,36",4,"0,33",4,"0,02",63,"0,98","0,47",7,"26,56",8
BASIN RAINMAKER 4404,IA1963,2014,,P,IA,22579,,3,26,"0,29","0,44",59,"8,15","0,43",12,,,,0,"0,25",12,"0,22",19,"-0,03",87,"0,39",2,"-0,12",11,"24,54",10,1,8,"5,79","0,24",18,"13,94",12,"0,27",12,"0,22",16,"-0,04",87,"0,38",2,"-0,15",10,"1,11","0,28",4,"26,52",8
SITZ UPWARD 307R,IA1046,2005,,P,IA,,,17,152,"0,03","0,66",40,"7,86","0,70",13,"4,44","0,22",1,43,"0,24",12,"0,11",47,"0,10",54,"0,32",3,"0,06",82,"23,62",12,13,98,"6,37","0,53",14,"14,23",12,"0,29",10,"0,09",48,"0,12",49,"0,34",4,"0,04",73,"0,87","0,58",10,"26,39",9
SANTO ANTÃO NET WORTH 843,178023,2014,,P,PO,14982,,2,26,"1,46","0,48",98,"8,98","0,50",8,"-0,30","0,21",65,8,"0,32",5,"0,27",11,"0,27",8,,,"-0,04",37,"28,63",6,2,16,"5,65","0,37",19,"14,63",11,"0,31",7,"0,22",16,"0,29",9,,,"-0,05",35,"0,05","0,42",65,"26,24",9
VPJ BLACK DOTTY N.WORTH,154528,2012,,P,PO,8629,,2,36,"0,35","0,49",63,"5,03","0,48",34,,,,0,"0,30",6,"0,24",16,"0,22",16,"0,17",21,"-0,08",21,"19,24",19,2,18,"8,30","0,35",6,"13,33",15,"0,33",6,"0,20",20,"0,23",20,"0,22",14,"-0,07",28,"0,37","0,39",39,"26,18",9
HXC BIG IRON 0024X,IA1659,2010,,V,IA,15614,A,5,28,"0,60","0,47",77,"8,63","0,47",9,"0,73","0,07",38,1,"0,08",62,"0,17",29,"0,13",43,"0,07",49,"-0,06",28,"19,77",18,5,26,"9,74","0,36",4,"18,36",5,"0,15",38,"0,13",35,"0,21",25,"0,11",37,"-0,05",34,"0,91","0,42",9,"26,10",9
EF COMPLEMENT 8088,IA1389,2008,,P,IA,17737,,22,379,"-0,52","0,79",12,"4,75","0,79",37,"2,73","0,38",7,133,"0,10",52,"0,07",60,"-0,04",88,"0,13",32,"-0,03",40,"12,12",41,21,317,"11,72","0,68",1,"16,48",7,"0,34",5,"0,26",11,"0,14",43,"0,27",7,"-0,09",22,"0,16","0,73",57,"26,02",9
TRADIÇÃO 2064,372387,2013,,P,PC,3638,,2,40,"0,50","0,43",72,"7,22","0,56",16,"1,05","0,19",32,4,"0,22",16,"0,10",47,"0,11",48,,,"-0,04",37,"21,48",15,2,38,"8,17","0,45",6,"15,39",9,"0,25",16,"0,16",30,"0,13",46,,,"-0,05",36,"0,54","0,51",27,"25,97",9
S2 GAR INTEGRITY 13036 WORTH 4200,168534,2013,,P,PO,6667,,3,37,"-0,01","0,56",37,"8,28","0,58",11,"0,79","0,24",37,16,"0,32",4,"0,32",5,"0,24",12,"0,25",9,"-0,12",12,"27,32",7,3,25,"5,42","0,44",20,"13,71",13,"0,38",3,"0,27",10,"0,30",9,"0,22",14,"-0,11",15,"-0,23","0,48",86,"25,81",9
SOSSEGO 109P,208384,2016,,P,PO,14764,,1,33,"0,59","0,46",77,"7,65","0,47",14,,,,0,"0,13",43,"0,13",40,"0,21",17,"0,12",32,"-0,19",4,"19,26",19,1,16,"9,31","0,34",4,"16,97",6,"0,22",20,"0,22",16,"0,26",15,"0,18",21,"-0,18",6,"0,58","0,36",24,"25,77",9
SAV REIGN 6845,IA1941,2016,,P,IA,20402,,16,164,"0,59","0,68",77,"7,30","0,70",16,,,,0,"0,19",23,"0,22",18,"0,17",28,"0,07",49,"-0,11",14,"20,71",17,11,78,"6,82","0,51",12,"14,12",12,"0,26",14,"0,24",13,"0,20",27,"0,11",38,"-0,18",6,"1,18","0,58",3,"25,76",9
NERO VALLEY DA RIO DA PAZ TE,187605,2014,,P,PO,15956,,3,36,"0,38","0,50",65,"3,88","0,55",46,"1,55","0,17",22,17,"0,15",35,"0,12",41,"0,14",39,"0,12",34,"-0,12",12,"11,71",42,1,14,"10,47","0,39",2,"14,35",11,"0,27",13,"0,17",25,"0,21",24,"0,21",15,"-0,15",10,"1,07","0,47",5,"25,64",10
CONNEALY LEGENDARY 644L,IA1922,2016,,P,IA,22305,M,13,146,"-1,30","0,67",3,"8,35","0,66",10,"1,44","0,07",24,1,"0,24",13,"0,23",18,"0,13",41,"0,33",3,"-0,12",13,"24,60",10,10,111,"6,10","0,50",16,"14,44",11,"0,27",12,"0,23",14,"0,12",51,"0,28",7,"-0,12",14,"0,64","0,56",20,"25,64",10
RINCON CRAQUE 1373 DEL SARANDY,127588,2008,,V,PO,7287,,4,48,"0,95","0,56",90,"8,48","0,58",10,"-3,04","0,26",97,25,"0,23",15,"0,07",59,"0,26",10,"0,18",20,"-0,04",37,"24,46",10,4,38,"6,89","0,46",11,"15,37",9,"0,29",9,"0,09",49,"0,34",5,"0,22",14,"-0,05",35,"0,17","0,51",56,"25,55",10
EF AUTHENTIC 0829,IA1368,2010,,P,IA,16477,,11,93,"-0,67","0,58",9,"6,70","0,63",20,"3,08","0,16",5,10,"0,10",54,"0,20",22,"0,10",54,"0,05",57,"-0,19",4,"16,20",28,9,73,"12,23","0,49",1,"18,93",4,"0,17",32,"0,28",9,"0,17",32,"0,14",30,"-0,24",2,"-0,02","0,55",71,"25,37",10
CANTÃO,425314,2018,,P,PC,20397,,1,25,"0,49","0,46",71,"8,98","0,44",8,,,,0,"0,28",7,"0,31",7,"0,20",20,"0,24",10,"-0,06",27,"27,53",6,,0,"4,44","0,25",30,"13,42",14,"0,29",10,"0,29",7,"0,25",16,"0,20",16,"-0,06",32,"0,61","0,30",23,"25,27",10
SANTA JOANA 2726,427466,2018,,P,PC,15398,,1,30,"0,97","0,48",91,"8,12","0,46",12,,,,0,"0,30",6,"0,26",12,"0,16",31,"0,15",26,"-0,12",10,"26,13",8,,0,"6,45","0,23",14,"14,56",11,"0,33",5,"0,26",10,"0,17",33,"0,16",23,"-0,15",10,"-0,37","0,29",92,"25,23",10
SANTA JOANA 1866,362713,2012,,P,PC,15398,,2,99,"0,94","0,67",90,"5,63","0,66",29,"6,56","0,27",1,48,"0,34",3,"0,40",2,"0,35",3,,,"-0,25",1,"22,03",14,1,80,"6,97","0,53",11,"12,60",17,"0,41",2,"0,48",1,"0,41",2,,,"-0,26",2,"-0,44","0,59",93,"25,20",10
CIA.AZUL 4152 WOLF GAITEIRO,209334,2017,,P,PO,8538,,1,52,"-0,58","0,55",10,"10,66","0,54",4,,,,0,"0,29",7,"0,06",61,"0,16",31,"0,28",6,"-0,09",20,"31,29",4,1,6,"2,87","0,33",46,"13,54",14,"0,23",19,"-0,01",80,"0,11",52,"0,17",22,"-0,13",12,"0,99","0,37",7,"25,17",10
ALC BIG EYE D09N,IA853,2003,,P,IA,27149,M,4,50,"-0,25","0,61",22,"2,20","0,58",62,"6,01","0,28",1,96,"0,17",28,"0,06",61,"0,10",54,"0,36",2,"-0,30",1,"8,86",51,2,35,"12,71","0,45",1,"14,91",10,"0,27",12,"0,15",31,"0,17",34,"0,45",1,"-0,27",1,"0,30","0,51",44,"25,05",10
RANGER BEST INTEREST DA RIO DA PAZ TE,200608,2015,,P,PO,15956,,1,31,"0,69","0,55",82,"8,94","0,55",8,"1,07","0,15",31,1,"0,21",18,"-0,04",87,"0,13",43,"0,43",1,"-0,13",10,"24,95",9,1,28,"5,64","0,43",19,"14,58",11,"0,24",17,"0,00",75,"0,14",45,"0,45",1,"-0,10",18,"0,70","0,52",17,"24,80",11
GAP D061,331573,2011,,V,PC,2555,,2,198,"1,06","0,75",93,"5,25","0,74",32,"1,42","0,37",25,54,"0,34",3,"0,24",15,"0,14",40,,,"-0,17",5,"21,30",15,2,148,"6,50","0,62",13,"11,75",21,"0,39",3,"0,24",13,"0,17",33,,,"-0,19",5,"-0,14","0,66",80,"24,69",11
GAR ASHLAND,IA1912,2015,,P,IA,23201,,4,45,"0,12","0,33",47,"6,91","0,46",18,,,,0,"0,23",15,"0,24",16,"0,15",35,"0,27",7,"-0,06",27,"21,05",16,3,37,"5,75","0,33",18,"12,66",17,"0,25",15,"0,28",9,"0,18",31,"0,29",6,"-0,09",21,"1,20","0,39",3,"24,63",11
CANTÃO,425311,2018,,V,PC,20397,,1,26,"0,38","0,47",65,"7,49","0,45",15,,,,0,"0,31",5,"0,30",8,"0,25",11,"0,31",4,"-0,07",24,"25,10",9,1,21,"4,80","0,35",27,"12,29",18,"0,26",13,"0,24",13,"0,25",16,"0,27",8,"-0,07",29,"0,75","0,30",16,"24,60",11
S2 PREDESTINED 1430 GREAT DIVIDE,177948,2014,,P,PO,6667,,1,32,"0,78","0,36",87,"10,46","0,54",5,"0,49","0,16",43,3,"0,27",9,"0,20",22,"0,28",7,"0,29",6,"-0,10",17,"30,22",5,1,18,"4,19","0,39",32,"14,66",11,"0,24",18,"0,17",27,"0,27",13,"0,31",5,"-0,12",15,"0,28","0,43",46,"24,55",11
TRADIÇÃO T68,190734,2015,,P,PO,3638,,10,192,"1,26","0,72",96,"8,77","0,74",9,"1,26","0,34",27,2,"0,31",6,"0,26",12,"0,38",2,"0,16",25,"0,12",94,"27,76",6,8,129,"2,76","0,62",47,"11,53",21,"0,26",13,"0,19",21,"0,38",3,"0,15",26,"0,14",96,"1,17","0,66",3,"24,43",11
QUIRÍ M060,343770,2010,,V,PC,92,,2,25,"0,77","0,46",86,"7,88","0,45",13,"2,03","0,13",14,3,"0,20",21,"0,21",21,"0,12",46,"0,13",31,"0,00",56,"22,29",14,1,17,"6,36","0,33",14,"14,24",12,"0,21",22,"0,14",35,"0,14",43,"0,20",17,"-0,01",52,"0,85","0,34",11,"24,28",11
CANTÃO,417098,2017,,P,PC,20397,,1,32,"0,55","0,47",74,"8,82","0,47",8,,,,0,"0,27",9,"0,23",16,"0,29",6,"0,23",11,"-0,10",15,"26,54",7,1,27,"4,84","0,35",26,"13,67",14,"0,24",17,"0,23",15,"0,27",12,"0,25",10,"-0,11",16,"0,52","0,33",28,"24,27",11
PAMPEANO 1971 LUCIDO 668 PREDOMINANT,216315,2016,,P,PO,23219,,6,120,"0,48","0,67",70,"7,75","0,67",13,,,,0,"0,30",6,"0,30",7,"0,29",6,"0,06",53,"0,05",75,"25,43",9,5,70,"5,52","0,47",20,"13,28",15,"0,25",16,"0,29",8,"0,32",7,"0,07",49,"0,05",75,"0,32","0,51",43,"24,16",11
SAV REAL PERFORMANCE 4876,IA1726,2014,,P,IA,10379,,12,130,"0,49","0,68",71,"4,51","0,69",39,"-1,32","0,25",82,31,"0,24",13,"0,04",69,"0,03",75,"0,08",45,"0,03",72,"16,08",28,12,107,"7,68","0,55",8,"12,19",19,"0,31",7,"0,15",31,"0,09",57,"0,12",34,"0,03",68,"0,63","0,61",21,"24,13",12
TRADIÇÃO 2005,372393,2013,,P,PC,3638,,1,130,"0,14","0,65",48,"7,56","0,66",14,"-0,35","0,27",67,36,"0,30",6,"0,16",32,"0,27",8,"0,29",5,"-0,10",16,"24,84",9,1,115,"5,87","0,55",18,"13,43",14,"0,24",17,"0,16",30,"0,26",14,"0,31",5,"-0,11",16,"0,27","0,48",48,"24,11",12
STEVENSON TURNING POINT,IA1877,2016,,P,IA,22839,,2,29,"-1,07","0,46",4,"11,21","0,44",4,,,,0,"0,07",63,"0,08",55,"0,14",36,"0,09",42,"-0,08",21,"25,38",9,2,18,"8,77","0,27",5,"19,98",3,"0,08",62,"0,09",49,"0,16",38,"0,07",48,"-0,11",18,"0,06","0,29",65,"24,04",12
GMRA PEACEMAKER 1216 PEACEMAKER,IA1444,2011,,V,IA,13096,,4,104,"0,35","0,27",63,"6,04","0,50",25,"-0,21","0,01",64,1,"0,21",19,"0,16",31,"0,19",21,"-0,03",81,"-0,09",18,"18,41",21,4,71,"7,16","0,34",10,"13,20",15,"0,23",18,"0,14",33,"0,19",29,"-0,03",78,"-0,09",20,"0,86","0,36",11,"23,80",12
BALDRIDGE BRONC,IA1867,2015,,P,IA,22483,M,3,26,"-0,45","0,45",14,"6,50","0,44",21,,,,0,"0,10",54,"0,06",60,"0,09",56,"0,10",38,"-0,05",33,"15,81",29,2,19,"10,01","0,31",3,"16,50",7,"0,15",37,"0,11",43,"0,14",42,"0,08",45,"-0,09",22,"0,55","0,36",27,"23,60",12
SCHIEFELBEIN RHOMBUS 4937 RHOMBUS,IA1989,2017,,P,IA,23503,,3,21,"0,25","0,37",56,"9,99","0,42",6,,,,0,"0,11",50,"0,07",58,"0,19",21,"0,36",2,"-0,11",14,"23,83",11,2,16,"9,45","0,34",4,"19,44",4,"0,09",58,"0,08",51,"0,23",21,"0,37",3,"-0,15",10,"-0,26","0,35",87,"23,58",12
CONNEALY FINAL PRODUCT,IA1220,2007,,P,IA,,,8,225,"0,34","0,71",62,"7,34","0,72",16,"3,75","0,21",2,26,"0,25",11,"0,18",27,"0,21",18,"0,26",7,"0,08",86,"22,76",13,8,185,"6,12","0,59",16,"13,46",14,"0,26",13,"0,12",41,"0,14",42,"0,23",12,"0,10",89,"0,20","0,69",53,"23,46",13
BIGUÁ 6679 HEAVY HITTER TE,187081,2015,,P,PO,18474,,3,120,"1,32","0,66",97,"6,41","0,66",22,"-4,17","0,25",99,22,"0,26",10,"0,05",66,"0,15",34,"-0,04",83,"0,16",98,"21,00",16,3,93,"3,90","0,53",35,"10,31",26,"0,28",11,"0,03",67,"0,21",24,"-0,03",79,"0,19",99,"1,43","0,59",1,"23,43",13
GAP 3867,144521,2010,,P,PO,2555,,2,42,"0,34","0,57",62,"2,91","0,58",55,"0,68","0,27",39,59,"0,15",36,"0,19",24,"0,15",34,"0,18",19,"-0,06",26,"9,48",49,2,27,"9,07","0,44",5,"11,98",20,"0,27",11,"0,23",14,"0,27",12,"0,20",16,"-0,14",11,"1,21","0,43",3,"23,35",13
SS OBJECTIVE T510 0T26,IA1225,2000,,P,IA,,,2,47,"0,14","0,58",48,"10,71","0,56",4,"0,18","0,20",48,50,"0,14",37,"0,17",29,"-0,02",85,"0,28",6,"-0,21",3,"26,57",7,2,44,"5,72","0,44",19,"16,43",7,"0,11",53,"0,12",38,"-0,07",92,"0,28",7,"-0,22",3,"0,73","0,46",16,"23,29",13
SOLÉ 1474 NACHO LIDER,216365,2018,,P,PO,11430,,1,22,,,,"6,68","0,39",20,,,,0,"0,24",13,"0,32",6,"0,28",7,"0,22",12,"-0,17",6,"21,00",16,,0,"3,78","0,22",36,"10,46",26,"0,28",11,"0,33",5,"0,36",4,"0,23",12,"-0,22",3,"1,46","0,30",1,"23,27",13
RAML RANGEFINDER 7536 RANGEFINDER,IA1981,2017,,P,IA,23492,A,1,24,"0,19","0,44",52,"8,31","0,43",11,,,,0,"0,18",25,"0,08",56,"0,14",37,"0,27",7,"-0,23",2,"22,65",13,1,17,"7,79","0,29",7,"16,10",8,"0,26",14,"0,13",38,"0,20",27,"0,28",7,"-0,22",3,"-0,52","0,28",95,"23,25",13
MOHNEN SOUTH DAKOTA 402 DAKOTA,IA1519,2012,,P,IA,16783,,21,288,"0,67","0,70",81,"8,24","0,74",11,"1,01","0,29",33,88,"0,25",11,"0,20",21,"0,20",20,"0,23",10,"-0,01",50,"24,88",9,17,199,"5,08","0,61",24,"13,31",15,"0,26",14,"0,18",24,"0,23",19,"0,20",16,"0,01",60,"0,23","0,69",51,"23,18",13
CANTÃO,425272,2018,,P,PC,20397,,1,33,"-0,27","0,49",20,"9,06","0,48",8,,,,0,"0,24",13,"0,20",23,"0,25",11,"0,16",24,"-0,09",19,"26,18",8,1,10,"4,66","0,31",27,"13,73",13,"0,22",20,"0,18",24,"0,27",13,"0,14",28,"-0,13",13,"0,43","0,30",34,"23,15",13
GAP FIV4611,185552,2013,,P,PO,2555,,2,53,"-0,20","0,62",25,"6,35","0,61",22,"0,25","0,28",47,2,"0,33",4,"0,21",21,"0,11",49,,,"-0,23",2,"23,30",12,2,43,"3,50","0,50",39,"9,85",29,"0,37",3,"0,15",30,"0,09",57,,,"-0,26",2,"0,44","0,56",34,"23,14",13
CHALÉ U754,195883,2016,,P,PO,10385,,2,33,"0,74","0,43",85,"7,99","0,42",12,,,,0,"0,07",63,"0,15",33,"0,11",48,"0,08",46,"-0,01",48,"18,26",22,2,23,"8,84","0,33",5,"16,83",7,"0,16",36,"0,18",23,"0,15",39,"0,09",42,"-0,00",52,"0,46","0,40",32,"23,10",13
GAP T001/17,415498,2017,,P,PC,2555,,1,29,"-0,48","0,52",13,"5,38","0,50",31,,,,0,"0,20",19,"0,24",15,"0,21",17,"0,25",9,"-0,08",22,"16,90",26,1,2,"8,35","0,33",6,"13,72",13,"0,26",14,"0,23",15,"0,23",18,"0,26",9,"-0,11",16,"0,14","0,36",58,"23,02",14
