nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
GAP R167/16,113705,2016,,,3/8,,P,PS,23388,,2,20,"0,11","0,24",52,"6,61","0,34",10,,,,,"0,16",23,"0,11",46,"0,11",43,"0,10",18,"-0,04",38,,12,2,14,"5,93","0,20",9,"12,54",9,"0,19",21,"0,09",49,"0,11",42,"0,09",21,"-0,04",43,"0,41","0,15",34,"18,17",12
TRADIÇÃO MT PROFETA 3G 3402,144249,2018,,,3/8,,P,PS,23242,,1,37,"0,79","0,51",84,"6,18","0,48",12,,,,,"0,26",9,"0,14",35,"0,17",23,"0,04",34,"-0,01",63,,9,1,20,"2,80","0,34",26,"8,98",17,"0,29",8,"0,19",18,"0,19",23,"0,03",39,"-0,00",73,"0,33","0,29",41,"17,04",12
QUILPO 2104 DON RAUL SOBERANO,IA126233,2009,,,3/8,,P,E,23805,T,11,146,"0,75","0,67",83,"1,39","0,68",45,"1,43","0,22",9,55,"0,13",31,"0,13",38,"0,15",30,"0,10",18,"-0,01",61,,40,8,92,"6,81","0,54",6,"8,20",19,"0,23",15,"0,16",27,"0,16",30,"0,11",18,"-0,02",60,"1,51","0,62",2,"16,82",13
JUQUIRY BLACK TE6572 CSONKA 7181 GLD TRUMPETER,117522,2016,,,3/8,,P,PS,18553,R,30,301,"0,90","0,76",86,"4,53","0,78",20,"-1,31","0,20",85,37,"0,28",7,"0,10",47,"0,16",25,"0,07",25,"-0,04",39,,13,26,192,"1,89","0,62",33,"6,42",26,"0,29",9,"0,10",45,"0,18",25,"0,06",31,"-0,05",36,"1,08","0,66",7,"16,63",13
TRADIÇÃO MT PROFETA 3G 2919,137522,2017,,,3/8,,P,PS,23242,,1,34,"1,27","0,53",94,"4,79","0,50",18,"-0,47","0,16",70,6,"0,36",2,"0,31",6,"0,34",5,"0,04",34,"-0,12",8,,9,1,27,"1,79","0,38",34,"6,58",25,"0,34",4,"0,27",7,"0,32",7,"0,01",48,"-0,08",17,"-0,11","0,37",72,"16,13",13
J.M.T D225,115487,2016,,,3/8,,P,PS,15813,,3,65,"2,87","0,62",99,"5,67","0,59",14,,,,,"0,27",8,"0,31",6,"0,29",7,"-0,01",53,"0,12",98,,10,2,39,"3,19","0,45",24,"8,86",17,"0,25",13,"0,27",7,"0,26",12,"-0,07",77,"0,07",95,"0,13","0,51",55,"16,07",14
OLHOS D'AGUA SPARTACUS 5G 8279 GREGO,108009,2014,,,3/8,,P,PS,73,K,9,109,"0,91","0,59",87,"5,01","0,58",17,"1,58","0,25",7,3,"0,18",19,"0,29",7,"0,21",18,"0,02",41,"-0,01",60,,16,6,29,"6,31","0,44",8,"11,32",12,"0,25",13,"0,33",4,"0,30",8,"0,06",31,"0,00",77,"-0,52","0,45",92,"15,87",14
TRES CRUCES HOUSTON 8206 MALANBO,IA133557,2010,,,3/4,,V,E,,K,4,35,"0,20","0,24",57,"7,91","0,41",7,,,,,"0,09",46,"0,28",8,"0,06",57,"0,11",16,"-0,10",13,,11,4,29,"5,26","0,28",12,"13,17",8,"0,12",39,"0,30",6,"0,09",50,"0,13",14,"-0,10",13,"0,19","0,34",50,"15,67",14
PAIPASSO E21/17 E21,141874,2017,,,3/8,,P,PS,20882,,1,28,"-0,49","0,52",19,"5,23","0,50",16,,,,,"0,15",26,"0,06",60,"0,12",37,"-0,03",61,"-0,11",12,,17,1,22,"4,26","0,38",17,"9,49",15,"0,18",25,"0,10",45,"0,21",20,"0,02",43,"-0,07",22,"0,87","0,44",12,"15,61",14
SULTANA JACQUES 1204 SUNDANCE T/E MONET,155521,2015,,,3/8,,P,PS,312,,6,38,"0,66","0,43",80,"5,03","0,51",17,,,,,"0,16",23,"0,34",4,"0,29",7,"-0,03",61,"-0,01",61,,17,4,12,"6,44","0,33",7,"11,47",12,"0,17",26,"0,31",5,"0,28",9,"-0,02",58,"-0,03",51,"-0,16","0,32",76,"15,39",14
GAP R259/16 SAMURAI,126170,2016,,,3/8,,P,PS,23388,K,6,103,"0,20","0,48",57,"5,07","0,63",17,,,,,"0,14",29,"0,09",51,"0,04",63,"0,12",14,"-0,05",32,,18,6,60,"6,89","0,44",6,"11,96",10,"0,10",46,"0,02",69,"0,02",70,"0,07",26,"-0,04",37,"0,23","0,53",46,"15,37",15
