nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
3J-9369 DA EMBRAPA,196819,2013,,,,,,PS,23828,,1,57,"0,81","0,56",78,"4,83","0,55",42,"-0,82","0,11",68,8,"0,25",7,,,,,"0,04",43,"0,04",88,,26,1,43,"-1,55","0,39",94,"3,29",67,"0,15",40,,,,,"0,01",57,"0,03",82,"-0,77","0,49",99,"13,09",68
RABISCO CALABILU LAS RABISCO,183560,2010,,,,,,PS,24581,,1,160,"0,62","0,71",68,"5,26","0,69",33,"-3,04","0,30",95,78,"-0,01",84,,,,,"-0,01",67,"0,04",87,,55,1,18,"1,77","0,35",59,"7,03",46,"0,01",82,,,,,"-0,02",70,"0,03",80,"0,08","0,42",66,"12,56",69
INSETO DA ILMA INSETO,92056,1998,,,,,,PS,7510,,15,528,"0,07","0,79",36,"1,40","0,77",74,"-0,53","0,48",62,269,"-0,03",91,,,,,"-0,12",91,"-0,02",51,,82,12,192,"4,28","0,56",29,"5,68",57,"-0,04",92,,,,,"-0,12",92,"0,03",79,"0,90","0,59",18,"12,39",70
3I-9186 DA EMBRAPA,193103,2012,,,,,,PS,23828,,1,62,"0,00","0,59",32,"2,72","0,57",60,"0,04","0,14",47,7,"0,04",68,,,,,"-0,03",75,"0,18",99,,67,1,27,"1,51","0,36",64,"4,22",61,"0,04",73,,,,,"-0,05",81,"0,18",99,"-0,13","0,41",77,"9,37",71
QUILATE 7071 DA SANTA CAROLINA,192935,2012,,,,,,PS,23891,,2,56,"0,99","0,53",86,"1,99","0,52",68,,,,,"0,01",76,,,,,"0,05",39,"-0,23",3,,74,1,37,"2,18","0,37",54,"4,18",62,"0,04",74,,,,,"0,03",43,"-0,23",4,"0,01","0,42",70,"9,17",72
3K-9652 DA EMBRAPA,200825,2014,,,,,,PS,23828,,1,23,"-0,80","0,47",10,"-1,17","0,45",90,"1,26","0,07",22,3,"0,02",74,,,,,"0,01",63,"0,01",73,,89,1,11,"3,46","0,30",41,"2,29",74,"0,07",65,,,,,"0,01",55,"-0,01",63,"-0,14","0,38",78,"6,82",75
MADSON DA IPÊS MADSON,177115,2008,,,,,,PS,23846,,10,543,"-0,14","0,81",23,"4,61","0,80",45,"-3,10","0,36",95,106,"0,14",36,,,,,"0,06",31,"0,02",82,,38,8,190,"-2,44","0,60",99,"2,17",76,"0,01",83,,,,,"0,05",33,"0,04",87,"-0,21","0,68",83,"6,57",76
E-12291 DA ILMA,204841,2015,,,,,,PS,7510,,1,23,"-1,94","0,42",4,"2,86","0,41",58,,,,,"0,03",73,"0,20",3,"0,00",55,"0,03",46,"-0,09",21,,66,1,12,"0,38","0,26",75,"3,24",69,"0,05",69,"0,14",6,"0,01",50,"0,03",42,"-0,10",23,"-0,57","0,33",94,"5,64",79
A-8431 DA ILMA,190167,2011,,,,,,PS,7510,,1,49,"-2,07","0,47",1,"-0,07","0,47",84,"-1,70","0,19",83,25,"0,05",66,,,,,"0,04",44,"-0,12",15,,82,1,23,"0,48","0,32",74,"0,41",87,"0,11",52,,,,,"0,01",50,"-0,15",7,"-0,06","0,41",74,"5,07",81
3K-9666 DA EMBRAPA,200866,2014,,,,,,PS,23828,,1,44,"1,43","0,53",97,"0,24","0,52",80,"1,90","0,09",9,3,"0,00",82,"-0,03",71,"-0,15",99,"-0,05",80,"-0,07",35,,85,1,25,"-0,18","0,35",88,"0,06",88,"-0,02",89,"-0,05",89,"-0,16",98,"-0,06",83,"-0,05",40,"0,43","0,47",41,"1,83",85
3I-9151 DA EMBRAPA,192938,2012,,,,,,PS,23828,,1,85,"-0,96","0,61",7,"-1,36","0,59",93,"0,46","0,12",40,11,"0,03",72,,,,,"-0,19",97,"0,02",78,,91,1,47,"1,79","0,41",58,"0,43",86,"0,08",62,,,,,"-0,23",99,"-0,05",48,"-1,01","0,47",99,"0,39",86
MANINHO DA SANTA CAROLINA MANINHO,174935,2008,,,,,,PS,23891,,3,55,"0,21","0,48",42,"2,49","0,46",62,"-2,60","0,21",91,47,"0,05",66,,,,,"-0,08",85,"-0,08",27,,68,3,42,"-4,19","0,30",99,"-1,69",92,"0,03",78,,,,,"-0,09",85,"-0,09",26,"0,39","0,42",46,"0,36",87
3H-8991 DA EMBRAPA,189834,2011,,,,,,PS,23828,,1,73,"-0,17","0,60",22,"1,00","0,59",78,"3,24","0,17",1,26,"-0,08",96,,,,,"-0,06",82,"0,04",88,,88,1,50,"-0,15","0,43",87,"0,85",83,"-0,06",93,,,,,"-0,10",87,"0,06",88,"0,55","0,48",35,"0,17",87
3M - 10140 DA EMBRAPA 3M - 10140,208824,2016,,,,,,PS,23828,,1,31,"0,30","0,48",48,"-1,50","0,47",95,,,,,"0,01",77,"0,13",13,"0,07",15,"-0,08",86,"0,06",90,,93,1,22,"-0,23","0,33",89,"-1,73",93,"0,03",78,"0,08",17,"0,05",23,"-0,11",90,"0,04",88,"0,03","0,43",69,"-1,26",87
NOTÁVEL DA MIRAGEM NOTÁVEL,94636,1998,,,,,,PS,23966,,1,71,"0,44","0,60",50,"-1,01","0,57",89,"1,26","0,15",21,15,"0,01",78,,,,,"-0,05",82,"-0,02",53,,90,1,11,"-0,02","0,28",84,"-1,03",90,"0,05",70,,,,,"-0,02",69,"-0,05",47,"-0,49","0,30",90,"-1,60",88
QUILATE 7133 DA SANTA CAROLINA,194868,2012,,,,,,PS,23891,,1,52,"0,86","0,58",81,"0,19","0,55",81,"-0,98","0,11",71,2,"-0,00",83,,,,,"-0,02",68,"0,15",99,,87,1,3,"0,60","0,25",73,"0,79",83,"-0,05",92,,,,,"0,01",53,"0,14",98,"-0,55","0,22",93,"-1,80",90
MARINHO DA SANTA CAROLINA MARINHO,175161,2008,,,,,,PS,23891,,1,22,"0,48","0,39",54,"1,95","0,43",69,"-2,49","0,14",91,4,"0,04",68,,,,,"-0,01",68,"-0,04",43,,70,,0,"-2,47","0,24",99,"-0,52",89,"0,05",70,,,,,"-0,01",67,"-0,03",55,"-1,07","0,31",99,"-2,85",91
CATARO 158 MANGALBA EG,208640,2016,,,,,,PS,25871,,2,31,"1,39","0,46",95,"1,58","0,45",71,,,,,"-0,09",96,"-0,03",69,"-0,01",69,"-0,06",82,"0,04",85,,84,2,20,"0,28","0,30",79,"1,87",79,"-0,15",98,"-0,04",78,"-0,01",70,"-0,05",80,"0,07",91,"-0,19","0,38",82,"-3,55",92
