nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
UMBU 4014,83438,2010,,4G,3/8,NE,P,PS,99,,2,58,"-0,76","0,58",8,"4,86","0,57",12,"0,15","0,09",39,12,"0,09",24,"0,07",42,"0,09",30,"-0,03",58,"0,01",71,,12,1,47,"2,56","0,42",17,"7,41",11,"0,10",24,"0,03",55,"0,12",22,"-0,07",70,"0,04",85,"0,20","0,52",38,"12,08",14
RANCHO 1154 T/E,IA133211,2011,,3G,3/8,NE,V,E,23805,,4,48,"0,66","0,41",87,"1,37","0,50",36,,,,,"0,07",32,"0,16",17,"0,13",18,"0,20",4,"-0,14",4,,34,2,18,"6,65","0,26",3,"8,02",10,"0,07",35,"0,20",9,"0,15",16,"0,20",5,"-0,12",7,"0,01","0,13",58,"11,89",14
UMBU 5044,115156,2015,,5G,3/8,NE,P,PS,99,,4,61,"1,36","0,56",97,"0,84","0,55",41,,,,,"0,03",44,"0,05",49,"0,04",47,"-0,06",68,"-0,01",55,,41,3,30,"6,51","0,38",3,"7,36",12,"0,09",27,"0,08",37,"0,09",30,"-0,06",68,"0,01",72,"0,33","0,46",28,"11,80",14
STA CRUZ E185 GLD B829 TE COLISEU,IA67497,2009,,4G,3/8,NE,P,E,,,3,44,,,,"2,45","0,44",27,,,,,"0,19",9,"0,28",4,"0,34",3,"0,14",8,"-0,19",1,,16,3,27,"0,56","0,31",37,"3,01",29,"0,23",7,"0,31",3,"0,37",2,"0,17",6,"-0,16",3,"0,46","0,38",22,"11,68",14
CORRALERO N1 CLASSIC TSUMANI T/E,IA136802,2013,,4G,3/8,NE,P,E,,,10,129,"-0,34","0,62",27,"4,62","0,66",12,,,,,"0,18",9,"0,08",40,"0,09",30,"0,15",7,"-0,05",30,,10,10,112,"0,63","0,52",35,"5,25",19,"0,11",23,"0,04",54,"0,10",26,"0,17",7,"-0,08",16,"0,33","0,61",28,"11,44",15
OLHOS D'AGUA SPARTACUS 6G 7857,92717,2012,,5G,3/8,NE,P,PS,73,,1,116,"-0,37","0,64",24,"9,37","0,64",3,"1,67","0,10",7,52,"-0,20",99,"-0,14",95,"-0,07",89,"0,14",8,"-0,10",11,,12,1,10,"5,14","0,37",5,"14,51",3,"-0,15",96,"-0,11",92,"-0,04",77,"0,18",5,"-0,07",21,"0,48","0,41",21,"11,12",15
"OLHOS D'AGUA 5G 8049 ""DOC.ELE""",108000,2014,,5G,3/8,NE,P,PS,73,,1,21,"-0,42","0,41",22,"2,18","0,40",29,,,,,"0,18",9,"-0,00",68,"0,13",18,"0,21",4,"-0,14",4,,19,1,21,"0,48","0,30",37,"2,66",31,"0,20",9,"-0,02",76,"0,10",27,"0,25",3,"-0,13",6,"0,63","0,32",15,"10,93",16
CX TANQUE 23/T IA10105443 2007 3G 3/8 NE V E,23805,,,,,,,A,,,3,21,"0,85","0,51",92,"3,54","0,53",19,"-0,37","0,17",82,65,"0,19",8,"0,15",19,"0,28",4,"0,16",6,"0,07",92,,12,3,18,"0,37","0,42",39,"3,91",26,"0,14",16,"0,03",57,"0,22",8,"0,12",11,"0,01",76,"0,40","0,40",24,"10,75",16
GAP R259/16 SAMURAI,126170,2016,,4G,3/8,NE,P,PS,23388,K,4,53,"-0,17","0,19",38,"3,46","0,51",20,,,,,"0,15",13,"0,08",41,"0,06",41,"0,09",16,"-0,06",23,,14,4,28,"1,82","0,34",24,"5,28",19,"0,13",18,"0,03",58,"0,04",47,"0,03",33,"-0,05",29,"0,04","0,43",55,"10,69",16
LAS LILAS 3155-Y DRAG.OROZ.G5,IA125199,2008,,3G,3/8,NE,P,E,,,12,74,"0,80","0,53",90,"-0,08","0,59",50,"0,02","0,04",42,37,"0,02",48,"-0,02",72,"-0,07",89,"0,02",35,"0,05",85,,49,8,67,"6,37","0,44",3,"6,30",15,"0,05",41,"0,09",34,"0,02",55,"0,04",29,"0,05",89,"0,52","0,55",19,"10,08",18
BASCO ORIXA TRABUCO 2042,84284,2012,,5G,3/8,NE,V,PS,4074,,1,44,,,,"4,12","0,51",14,"-0,08","0,09",46,20,"0,08",28,"0,07",42,"0,02",54,"0,09",16,"-0,02",43,,16,1,22,"1,88","0,33",23,"6,00",16,"0,06",36,"0,04",53,"0,04",46,"0,06",24,"0,00",68,"0,41","0,38",24,"10,01",18
OLHOS D'AGUA TANQUE 4G 8161,100745,2013,,4G,3/8,NE,V,PS,73,,1,26,"0,08","0,45",60,"2,39","0,45",28,,,,,"0,19",8,"0,09",36,"0,22",7,"0,31",1,"-0,06",23,,16,1,21,"1,56","0,33",26,"3,95",26,"0,16",13,"0,03",56,"0,19",12,"0,26",2,"-0,06",26,"-0,15","0,30",74,"9,92",18
SÃO XAVIER 1231,90770,2012,,5G,3/8,NE,P,PS,508,,1,39,,,,"3,64","0,31",18,,,,,"0,01",53,"-0,11",92,"0,01",59,"0,02",34,,,,25,1,9,"3,69","0,16",9,"7,33",12,"0,04",43,"-0,08",89,"0,03",52,"0,05",28,,,"0,30","0,24",31,"9,79",19
GUAPIARA BR1359 FLORIM,53188,2008,,3G,3/8,NE,P,PS,23805,N,8,64,"0,75","0,40",89,"-1,84","0,55",71,"-0,31","0,03",81,16,"0,08",27,"0,07",43,"0,06",40,"-0,01",46,"-0,09",13,,57,7,51,"5,86","0,39",4,"4,02",25,"0,13",16,"0,12",22,"0,14",18,"0,01",40,"-0,08",13,"0,36","0,48",26,"9,69",19
BRANGUS BRASIL Q464 DO MANANCIAL,114163,2015,,3G,3/8,NE,V,PS,7594,,1,31,,,,"4,86","0,45",12,,,,,"0,08",29,"0,26",5,"0,10",24,"0,00",40,"-0,01",61,,13,1,19,"-0,13","0,33",45,"4,74",21,"0,07",34,"0,21",8,"0,08",34,"-0,00",42,"-0,01",59,"0,83","0,41",8,"9,50",19
BRANGUS BRASIL O005 MANANCIAL,96947,2013,,4G,3/8,NE,V,PS,7594,,1,32,,,,"3,14","0,46",22,,,,,"0,09",26,"0,22",8,"0,14",16,"-0,03",58,,,,21,1,25,"2,33","0,35",19,"5,47",18,"0,09",27,"0,21",7,"0,14",18,"0,00",42,,,"0,18","0,26",40,"9,46",19
BRANGUS BRASIL R96 DO MANANCIAL,132854,2016,,3G,3/8,NE,V,PS,7594,,1,143,,,,"1,74","0,65",34,,,,,"0,13",16,"0,11",29,"0,08",33,"-0,13",88,"0,03",78,,26,1,124,"-1,22","0,52",63,"0,52",44,"0,09",26,"0,06",46,"0,01",57,"-0,13",87,"0,03",81,"2,01","0,55",1,"9,38",20
BRANGUS BRASIL I29 MANANCIAL,53902,2007,,2G,3/8,NE,P,PS,7594,,1,22,,,,"4,41","0,39",13,"0,52","0,01",28,4,"-0,01",64,"-0,03",80,"-0,10",93,"0,06",22,,,,23,1,16,"1,79","0,26",24,"6,19",16,"0,01",55,"-0,01",68,"-0,07",86,"0,07",21,,,"1,02","0,24",5,"9,09",20
JUQUIRY TE 6072 CURUPAY,95173,2013,,3G,3/8,NE,P,PS,18553,,2,99,"0,00","0,50",54,"6,63","0,64",6,"-0,38","0,04",83,4,"-0,01",62,"0,06",47,"0,02",55,"-0,00",43,"-0,03",42,,11,3,74,"1,06","0,49",31,"7,70",11,"-0,03",69,"0,11",24,"0,03",52,"-0,01",46,"-0,02",49,"0,68","0,45",13,"9,06",21
OLHOS D'AGUA 38P 4442 PRINCE,160180,2001,,3G,3/8,NE,V,PS,73,,5,256,"-0,56","0,76",15,"3,92","0,75",15,"0,17","0,43",38,236,"0,16",11,"0,17",16,"0,16",13,"0,13",9,"-0,29",1,,12,4,167,"0,96","0,63",31,"4,88",21,"0,19",10,"0,18",11,"0,21",9,"0,12",11,"-0,17",1,"-0,81","0,65",98,"8,91",21
TRADIÇÃO MT PROFETA 3G 2724,137437,2016,,3G,3/8,NE,P,PS,23242,,1,32,"-0,06","0,35",47,"5,40","0,44",9,,,,,"-0,08",86,"-0,05",84,"0,01",60,"0,03",28,"-0,01",61,,23,1,18,"4,71","0,27",6,"10,11",6,"-0,05",79,"0,01",64,"0,03",51,"0,05",26,"-0,00",68,"0,05","0,15",54,"8,86",21
OLHOS D'AGUA 6G 7020 LOTUS LOTUS,59734,2009,,5G,3/8,NE,P,PS,73,K,32,1726,"-0,34","0,84",26,"3,13","0,86",22,"1,35","0,35",11,704,"0,01",56,"0,10",31,"-0,00",65,"-0,03",59,"-0,07",18,,29,28,841,"1,55","0,75",26,"4,68",22,"0,10",23,"0,18",12,"0,07",36,"0,04",29,"-0,06",22,"0,67","0,80",14,"8,37",22
J.M.T 11067,110610,2014,,2G,3/8,NE,P,PS,15813,,1,23,"-0,12","0,46",43,"3,31","0,45",20,"0,28","0,06",34,2,"0,02",48,"0,05",52,"0,04",47,"0,12",10,"-0,07",18,,27,1,8,"1,99","0,29",22,"5,30",19,"0,07",34,"0,06",45,"0,07",35,"0,13",9,"-0,09",13,"0,45","0,42",22,"8,28",22
RANCHO BRG 1193 TE,IA133186,2011,,3G,3/8,NE,P,E,23805,,9,76,"-1,50","0,58",2,"2,92","0,59",23,"-0,13","0,03",74,29,"0,21",7,"0,17",15,"0,21",8,"-0,10",82,"0,04",83,,13,8,58,"-4,19","0,43",92,"-1,27",56,"0,20",8,"0,14",17,"0,18",13,"-0,17",95,"0,02",79,"1,22","0,52",3,"7,94",23
BRANGUS GUARITA 3G 144TE TORPEDO,114766,2016,,3G,3/8,NE,V,PS,20983,K,7,220,"-0,12","0,66",42,"3,05","0,72",22,"-0,87","0,08",90,2,"0,19",8,"0,14",20,"0,19",10,"0,15",7,"0,03",77,,14,6,110,"-2,54","0,54",80,"0,51",44,"0,15",14,"0,03",58,"0,21",9,"0,08",19,"-0,04",33,"0,77","0,47",10,"7,69",24
LC APOLO A344 LOTUS,94735,2013,,3G,3/8,NE,P,PS,4602,,1,31,"-0,03","0,17",50,"3,59","0,41",19,"0,61","0,07",26,2,"0,05",39,"0,10",32,"0,13",18,"-0,07",71,"0,05",88,,22,1,9,"0,72","0,24",34,"4,31",24,"0,09",29,"0,11",27,"0,16",14,"-0,02",53,"0,05",89,"0,41","0,28",24,"7,56",24
MR PB REDBULL 521/09W IA10159777 2009 2G 3/8 NE V E,23805,,,,,,,,,,3,56,"0,01","0,31",56,"4,49","0,57",13,"-0,31","0,01",81,6,"0,06",33,"0,23",7,"0,17",12,"0,01",37,"0,01",73,,15,2,41,"-0,12","0,43",45,"4,37",23,"0,01",54,"0,18",12,"0,08",30,"-0,02",54,"0,02",77,"0,79","0,44",9,"7,53",24
CCR PATHFINDER 4891S IA10067853 2006 4G 3/8 NE P E,23805,,,,,,,,,,2,53,"-0,04","0,51",49,"3,15","0,51",21,"0,20","0,09",37,17,"0,07",32,"-0,04",82,"0,03",49,"0,02",32,"0,00",67,,23,2,36,"-1,08","0,37",61,"2,07",35,"0,11",23,"-0,02",71,"0,02",53,"-0,04",59,"-0,02",51,"1,12","0,44",4,"7,51",24
LOSNONOS 89 TABASCO,IA143026,2012,,4G,3/8,NE,V,E,23805,,9,103,"0,27","0,56",74,"0,63","0,62",43,"0,74","0,10",23,2,"0,37",1,"0,32",3,"0,34",3,"0,11",13,"0,00",67,,12,6,75,"-3,71","0,47",90,"-3,08",67,"0,32",2,"0,24",6,"0,30",4,"0,03",31,"0,01",73,"-0,18","0,57",76,"7,28",25
OLHOS D'AGUA ELEGIDO 4G 8053,92749,2012,,4G,3/8,NE,P,PS,73,,1,30,"1,28","0,47",97,"1,94","0,47",32,"-0,23","0,10",78,14,"0,08",29,"0,10",33,"0,21",8,"0,17",5,"-0,15",2,,29,1,29,"2,82","0,36",14,"4,76",21,"0,05",40,"0,06",43,"0,18",12,"0,14",9,"-0,16",3,"-0,03","0,39",62,"7,19",25
OLHOS D'AGUA CHIMANGO 4G 7954,92738,2012,,4G,3/8,NE,P,PS,73,,1,48,"0,14","0,56",64,"3,38","0,54",20,"0,16","0,04",38,9,"0,03",46,"0,05",50,"-0,05",84,"0,15",7,"-0,08",14,,25,1,4,"2,22","0,27",20,"5,60",17,"0,04",45,"0,05",50,"-0,07",86,"0,15",8,"-0,05",31,"0,11","0,21",49,"7,15",26
SAO BIBIANO DOM CIRIACO 4167,88613,2010,,4G,3/8,NE,V,PS,110,,2,67,,,,"2,92","0,54",23,"1,13","0,11",14,12,"-0,01",61,"0,02",61,"0,02",54,"0,04",28,,,,32,2,32,"1,77","0,37",24,"4,68",22,"-0,00",59,"0,06",45,"0,02",54,"0,04",28,,,"0,85","0,36",8,"6,81",27
BRANGUS BRASIL R204 DO MANANCIAL,279262,2016,,1G,3/4,NE,,PS,7594,,2,27,,,,"4,15","0,36",14,,,,,"0,06",33,"0,12",26,"-0,01",69,"0,12",10,"-0,02",47,,17,2,18,"-0,08","0,22",44,"4,07",25,"0,03",47,"0,11",25,"-0,00",64,"0,09",17,"-0,00",67,"0,52","0,09",19,"6,79",27
OLHOS D'AGUA 38A 4445 TUTOR,29090,2001,,2G,3/8,NE,P,PS,73,,4,25,"-0,76","0,47",8,"3,66","0,50",18,"-2,09","0,23",99,57,"0,04",42,"-0,16",96,"0,21",9,"0,06",22,"-0,13",5,,22,3,21,"1,51","0,37",27,"5,17",19,"0,08",30,"-0,20",98,"0,26",6,"0,12",11,"-0,13",5,"-0,19","0,39",77,"6,73",27
OLHOS D'AGUA CIRIACO 5G 7860,92719,2012,,5G,3/8,NE,V,PS,73,,4,71,"0,96","0,63",93,"3,30","0,62",21,"1,05","0,18",15,7,"0,12",18,"0,22",8,"0,16",13,"-0,08",73,"-0,08",14,,17,3,51,"-0,58","0,48",52,"2,72",31,"0,08",30,"0,21",8,"0,14",18,"-0,15",91,"-0,09",12,"0,34","0,47",27,"6,72",27
BRANGUS BRASIL N47 DO MANANCIAL,90588,2012,,2G,3/8,NE,V,PS,7594,,2,138,"0,77","0,27",89,"4,08","0,66",14,"-0,84","0,02",90,4,"0,10",22,"0,17",14,"0,10",25,"0,11",11,"-0,01",54,,15,2,98,"-1,07","0,50",61,"3,01",29,"0,10",24,"0,14",19,"0,12",23,"0,08",19,"-0,02",54,"0,26","0,49",34,"6,65",27
BRANGUS BRASIL R33 DO MANANCIAL,132763,2016,,3G,3/8,NE,V,PS,7594,,1,34,,,,"2,74","0,51",25,,,,,"0,07",30,"0,20",10,"0,13",19,"0,02",33,"0,04",85,,26,1,28,"-1,46","0,39",65,"1,28",39,"0,08",30,"0,15",16,"0,09",28,"0,08",19,"0,03",82,"1,26","0,43",3,"6,51",27
ANAMELIA TE L545,41923,2005,,6G,3/8,NE,P,PS,23805,,3,33,"-0,13","0,46",41,"2,19","0,49",29,"-1,25","0,06",94,18,"0,05",39,"-0,02",72,"-0,06",86,"0,02",35,"-0,03",38,,31,3,27,"2,58","0,35",16,"4,77",21,"0,08",32,"0,01",64,"-0,04",77,"0,02",33,"-0,01",63,"-0,24","0,36",81,"6,45",28
TRES CRUCES DON CIRIACO 4982TE CORRENTINO,IA121055,2006,,4G,3/8,NE,V,E,,,2,49,"0,61","0,32",86,"0,65","0,56",42,"1,28","0,19",12,51,"0,09",24,"0,15",18,"0,16",14,"-0,01",48,"-0,04",36,,36,2,44,"1,29","0,44",29,"1,94",36,"0,16",14,"0,17",12,"0,16",15,"0,05",28,"-0,05",30,"0,13","0,44",46,"6,39",28
OLHOS D'AGUA SPARTACUS 6G 7736,92708,2012,,5G,3/8,NE,P,PS,73,,1,80,"-0,03","0,63",51,"3,69","0,61",18,"2,15","0,11",4,17,"-0,09",89,"0,04",55,"-0,02",72,"0,08",19,"-0,12",7,,35,1,8,"3,00","0,35",13,"6,70",14,"-0,07",83,"0,02",59,"-0,02",69,"0,08",19,"-0,10",11,"0,75","0,34",11,"6,16",28
LEONOR N1595 TOBA FEDERAL,25492,1989,,2G,3/4,NE,V,PS,25492,,4,161,"1,28","0,38",97,"6,39","0,58",6,"-1,05","0,21",92,54,"-0,08",87,"0,06",48,"0,02",54,"-0,06",69,"0,02",74,,17,3,101,"2,17","0,43",21,"8,56",9,"-0,06",83,"0,02",60,"0,04",46,"-0,01",48,"0,01",74,"-0,08","0,24",67,"5,92",29
J.M.T 460Y TE,81958,2011,,5G,3/8,NE,P,PS,15813,,2,25,"0,98","0,45",94,"-0,78","0,44",58,"-1,35","0,09",95,5,"0,04",42,"0,06",48,"0,04",48,"0,07",21,"-0,06",22,,53,2,21,"2,78","0,32",15,"1,99",36,"0,03",48,"0,05",49,"0,03",49,"0,07",20,"-0,07",18,"1,05","0,44",5,"5,90",29
BRANGUS BRASIL N51 DO MANANCIAL,259568,2012,,1G,1/4,NE,P,PS,7594,,1,34,"0,46","0,32",82,"2,70","0,46",26,"-0,39","0,01",83,2,"-0,08",87,"0,05",49,"-0,01",69,"0,05",24,"-0,10",10,,40,1,22,"6,33","0,30",3,"9,02",8,"-0,08",87,"0,10",31,"-0,01",65,"0,07",21,"-0,12",6,"-0,44","0,10",92,"5,85",29
STA CRUZ 3475 ALI. 803G TE,IA34494,2003,,5G,3/8,NE,P,E,,,8,83,"-0,68","0,54",10,"2,58","0,62",27,"-2,14","0,18",99,78,"-0,01",63,"-0,22",99,"-0,13",97,"0,03",29,"-0,07",21,,34,6,46,"0,62","0,47",35,"3,20",28,"0,02",52,"-0,22",99,"-0,12",94,"0,03",32,"-0,09",11,"1,02","0,55",5,"5,57",30
