nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
CAMILA 38-S65 SENHOR SENHOR,310521,2016,,,3/8,,,CCG,8298,P,3,146,"0,42","0,62",61,"0,80","0,64",51,"0,37","0,01",14,1,"0,04",42,"0,11",30,"0,19",21,"0,09",27,"0,01",61,,51,3,129,"0,53","0,53",50,"1,34",54,"-0,01",63,"0,13",26,"0,21",17,"0,07",34,"0,02",72,"-0,43","0,61",86,"0,39",58
NOVA AURORA ANJO DA GUARDA 38-11444,187779,2012,,,3/8,,,CCG,16081,,1,45,"-0,10","0,23",33,"3,35","0,43",30,"-0,09","0,00",57,4,"-0,07",82,"0,11",30,"-0,00",63,"-0,11",84,"-0,01",54,,42,1,40,"0,06","0,31",53,"3,41",38,"-0,08",87,"0,05",50,"-0,05",79,"-0,13",87,"-0,01",49,"-0,10","0,34",70,"0,19",59
CHADWICK DOWNS A104 -3/8 KAKADU KAKADU,IA32,2005,,,3/8,IA,,,,,4,66,"1,29","0,55",91,"3,96","0,58",25,"0,24","0,02",16,16,"-0,05",77,"0,03",52,"0,07",40,"-0,07",77,"0,07",90,,39,4,38,"-0,74","0,39",61,"3,22",42,"-0,07",84,"0,04",50,"0,04",51,"-0,09",79,"0,08",94,"-0,20","0,25",77,"0,12",60
LAJEADO VERMELHO 38-TEG067,197756,2011,,,3/8,,,CCG,9410,,1,84,"-0,63","0,48",14,"-5,24","0,54",95,"-0,09","0,00",57,10,"0,20",14,"0,09",37,"0,09",34,"-0,11",84,"-0,02",47,,79,1,7,"-1,23","0,20",68,"-6,47",90,"0,20",14,"0,09",36,"0,12",29,"-0,12",85,"-0,01",54,"-0,36","0,17",82,"-1,73",62
CIA AZUL 34-1012 LALUK,75109,2001,,,3/4,,,CCG,23805,,1,26,"-0,05","-0,00",35,"-0,40","0,00",65,,,,,"-0,01",63,"-0,00",67,"-0,01",65,"-0,01",60,"0,00",57,,62,1,25,"-0,16","0,00",56,"-0,56",61,"-0,01",67,"-0,00",69,"-0,01",65,"-0,01",55,"-0,00",62,"-0,01","-0,00",62,"-2,08",62
NOVA AURORA ANJO DA GUARDA 38-12970,256215,2014,,,3/8,,,CCG,19348,,1,24,"0,65","0,38",69,"-2,45","0,39",82,,,,,"0,02",47,"0,00",64,"0,03",52,"0,02",47,"-0,04",32,,77,1,19,"0,25","0,29",52,"-2,20",69,"0,04",45,"0,00",66,"0,00",62,"0,02",44,"-0,08",11,"-0,12","0,26",72,"-2,50",63
R.S.V. TUFÃO Z 38-0719,177714,2011,,,3/8,,,CCG,1277,,1,40,"0,68","0,50",72,"-3,03","0,48",90,"0,99","0,07",8,1,"-0,11",91,"-0,06",79,"-0,10",89,"-0,16",92,"0,08",95,,92,1,22,"2,43","0,32",30,"-0,60",62,"-0,09",90,"-0,05",79,"-0,07",87,"-0,18",94,"0,08",93,"0,84","0,26",12,"-2,68",65
SAO BENTO 38-M213,189293,2012,,,3/8,,,CCG,14468,,1,29,"-0,11","0,45",29,"0,29","0,46",57,"0,31","0,01",14,7,"-0,04",77,"-0,05",76,"-0,01",70,"-0,12",86,,,,60,1,26,"0,99","0,34",43,"1,28",55,"-0,04",77,"-0,06",83,"-0,01",66,"-0,15",89,,,"-0,65","0,40",94,"-2,72",65
ANJO DA GUARDA 38-TE14014,286960,2014,,,3/8,PS,,,16081,,1,41,"0,48","0,35",63,"-0,21","0,48",62,,,,,"-0,01",61,"-0,11",90,"0,04",48,"-0,01",58,"0,02",74,,60,1,32,"-1,19","0,36",66,"-1,40",65,"0,02",50,"-0,11",88,"0,04",50,"-0,01",55,"0,01",71,"-0,11","0,39",71,"-2,89",65
SAO BENTO 38-J085 METRALHA METRALHA,149230,2009,,,3/8,,,CCG,14468,R,2,47,"-0,03","0,49",37,"-2,18","0,49",79,"-0,09","0,00",57,8,"-0,08",87,"0,01",59,"-0,08",88,"-0,07",76,"-0,10",9,,85,2,39,"3,24","0,35",24,"1,07",55,"-0,06",80,"0,05",48,"-0,05",78,"-0,05",70,"-0,07",16,"-0,40","0,38",84,"-2,95",66
BELVISTA 38-2922 APOGEU,191020,2012,,,3/8,,,CCG,,,3,102,"0,66","0,57",71,"-2,30","0,56",80,"-0,09","0,00",57,1,"-0,05",78,"0,05",48,"-0,01",64,"-0,08",78,"0,02",72,,84,3,74,"0,82","0,41",46,"-1,48",67,"-0,02",68,"0,14",22,"0,00",61,"-0,03",61,"0,01",66,"0,05","0,47",53,"-3,91",69
SAO MIGUEL 38-1811,149224,2009,,,3/8,,,CCG,19471,,1,90,"0,51","0,61",65,"-2,57","0,60",84,"-2,68","0,09",99,28,"-0,06",82,"0,01",58,"-0,03",74,"-0,01",57,"0,03",79,,88,1,16,"0,23","0,25",53,"-2,35",71,"-0,02",68,"0,10",35,"-0,01",65,"0,01",48,"0,03",77,"0,06","0,14",52,"-5,22",72
CATY 14-M167,232143,2012,,,1/4,,,CCG,2344,,1,51,"0,48","0,55",63,"5,07","0,54",19,"0,02","0,01",24,4,"-0,03",69,"0,19",20,"0,09",32,"0,14",19,"0,02",69,,29,1,46,"-5,49","0,41",97,"-0,42",60,"-0,08",86,"0,07",42,"0,04",52,"0,08",31,"-0,00",59,"-0,19","0,54",76,"-5,26",72
SANTA ANA 38-7585 TOP 10,137252,2007,,,3/8,,,CCG,15604,,4,71,"0,17","0,29",49,"-3,82","0,54",92,"0,59","0,06",10,9,"-0,01",60,"0,02",58,"0,06",43,"-0,05",73,"0,10",95,,90,4,43,"-0,22","0,38",57,"-4,04",81,"-0,01",63,"0,09",36,"0,14",27,"-0,03",61,"0,07",92,"0,10","0,42",50,"-5,99",74
SAO LUIZ JAKAO 38-0134 DA PEDRO SURREAUX JAKAO,94550,2004,,,3/8,,,CCG,15797,,6,187,"0,52","0,68",65,"-3,85","0,72",93,"0,52","0,19",11,54,"0,13",21,"0,09",37,"0,07",41,"-0,05",71,"-0,01",54,,74,6,97,"-2,97","0,53",85,"-6,82",91,"0,10",26,"0,04",53,"0,05",48,"-0,10",84,,,"-0,33","0,36",81,"-6,12",74
