nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
CIA.AZUL 2192 HORNERO LESTER,O172517,2013,,P,PO,8538,,1,20,"0,73","0,45",86,"3,97","0,45",28,"-3,58","0,17",98,2,"0,11",34,"0,1",34,"0,17",17,"0,14",20,"-0,16",4,"12,77",29,1,13,"-0,98","0,29",79,"2,99",50,"0,1",40,"0,13",26,"0,19",19,"0,09",32,"-0,15",7,"-0,6","0,24",96,"4,98",52
CONNEALY CONSENSUS 7229,IA-1430,2009,,P,IMP,,,9,101,"0,16","0,61",54,"3,72","0,64",31,"-3,07","0,1",97,27,"0,12",29,"0,18",17,"0,07",46,"0,08",38,"-0,05",26,"12,72",29,7,64,"-1,71","0,34",86,"2,02",56,"0,08",45,"0,08",38,"0,04",58,"0,01",59,"-0,06",24,"-0,17","0,56",79,"4,96",52
SANTO ANTÃO ZORZAL MAGNO 762,O167493,2013,,P,PO,14982,,1,21,"0,99","0,19",93,"3,12","0,45",36,,,,,"0,07",47,"0,22",11,"0,05",56,"0,09",33,"0,04",73,"9,36",38,1,15,"-1,83","0,25",88,"1,29",61,"0,06",53,"0,1",32,0,71,"0,05",46,"0,03",67,"0,62","0,39",14,"4,96",53
QUIRI S059P,O189468,2014,,V,PO,92,,1,35,"-0,21","0,53",25,"-0,21","0,5",71,,,,,"0,12",30,"0,18",18,"0,16",20,"-0,02",74,"0,02",66,"2,89",60,1,19,"0,02","0,2",64,"-0,2",70,"0,16",23,"0,22",10,"0,2",16,"0,01",58,"0,03",69,"0,13","0,32",50,"4,93",53
SANTA CECÍLIA PREDESTINED 1433-5G-437,O161259,2012,,P,PO,10,,2,32,"-0,03","0,51",38,"2,93","0,5",38,"2,35","0,17",5,2,0,73,"0,03",61,"-0,1",94,"0,01",61,"-0,08",17,"6,26",49,2,21,"1,55","0,3",43,"4,48",40,"-0,02",78,0,69,"-0,17",98,0,63,"-0,09",17,"0,13","0,41",50,"4,92",53
LA LEGUA BRUJO 341 SARANDI,IA-1609,2008,,V,IMP,,,2,22,,,,"2,59","0,19",42,"-1,71","0,11",85,3,"0,02",66,"0,18",16,"0,03",62,"-0,02",73,"-0,05",26,"6,17",49,2,13,"1,03","0,14",49,"3,62",46,"0,01",67,"0,14",24,0,71,"-0,03",72,"-0,06",24,"0,12","0,16",51,"4,91",53
BR NEW DAY 454,IA-1028,2004,,P,IMP,,,3,56,"0,35","0,57",67,"3,26","0,56",34,"-1,31","0,16",80,39,"0,03",64,"0,02",64,"-0,01",74,"0,05",45,"-0,15",5,"8,01",42,3,51,"0,97","0,34",51,"4,23",42,"-0,03",81,"-0,06",87,"-0,05",85,"0,01",57,"-0,15",7,"0,14","0,47",49,"4,88",53
SÃO BIBIANO NET WORTH 6893,O134855,2009,,P,PO,110,,1,33,0,"0,53",41,"2,45","0,54",43,"1,61","0,22",10,19,"0,06",53,"-0,02",77,"0,06",52,"0,12",23,"-0,08",17,"7,07",45,1,26,"0,52","0,34",57,"2,96",50,"0,08",44,"-0,05",83,"0,04",59,,,"-0,09",18,"-0,26","0,4",84,"4,86",53
SÃO XAVIER PC 1567,C292824,2008,,P,PC,508,,1,37,,,,"2,42","0,5",44,"0,98","0,11",19,14,"0,03",61,"0,17",18,"0,08",45,"0,04",50,"-0,13",6,"6,21",49,1,33,"0,47","0,29",58,"2,89",51,"0,04",58,"0,12",29,"0,02",66,"-0,03",75,"-0,19",3,,,,"4,84",53
HW109 HILARIO DE TEI21 COVENANT,O149801,2011,,V,PO,18650,,2,71,"-0,68","0,62",8,"-0,57","0,61",75,"0,17","0,11",38,14,"0,11",35,0,71,"0,08",43,"-0,05",80,"0,12",95,"1,5",65,2,47,"0,18","0,33",62,"-0,39",71,"0,14",27,"0,01",63,"0,16",26,"0,01",59,"0,1",91,"0,35","0,49",30,"4,84",53
