nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
MIRASIERRA MR. HEREFORD X432 TE,IA643,2013,M,,,,,IA,17610,,2,43,"0,41","0,45",67,"0,12","0,46",66,,,,,"0,04",55,"-0,06",83,"0,01",65,"-0,01",68,"-0,01",31,,66,2,33,"4,89","0,32",13,"5,02",33,"0,10",38,"-0,02",71,"0,04",55,"0,06",50,"-0,03",21,"-0,35","0,34",85,"8,71",39
ELM-LODGE NEXT BIG THING 3N,IA480,2003,M,,,,,IA,,,5,67,"0,52","0,54",73,"1,28","0,59",50,"4,54","0,14",2,36,"0,07",44,"0,08",34,"0,02",61,"0,13",27,"0,01",66,,49,4,53,"2,31","0,43",31,"3,58",42,"0,03",60,"0,02",56,"-0,01",69,"0,13",29,"0,03",71,"0,16","0,41",41,"7,22",43
MAAC LEE DURANGO 5633,244709,2014,M,,,,,PO,18830,,2,67,"0,14","0,44",48,"3,89","0,46",27,"-1,09","0,07",82,3,"-0,01",75,"-0,13",94,"-0,12",96,"0,10",38,"-0,01",32,,39,2,52,"2,45","0,34",30,"6,35",26,"-0,00",70,"-0,13",93,"-0,13",95,"0,11",35,"0,01",63,"-0,27","0,31",79,"6,82",44
SHF RIB EYE M326 R117,IA505,2005,M,,,,,IA,,,6,586,"-0,45","0,76",10,"3,56","0,77",30,"-3,35","0,29",99,106,"-0,01",76,"0,02",57,"-0,05",83,"0,06",46,"-0,02",27,,43,5,407,"0,40","0,63",55,"3,96",40,"-0,05",85,"0,04",48,"-0,09",88,"0,03",56,"-0,04",14,"0,79","0,66",7,"5,78",47
SHF PROGRESS P20,IA471,2004,M,,,,,IA,,,8,155,"-1,21","0,62",2,"1,08","0,62",53,"0,83","0,14",18,35,"0,03",61,"0,05",46,"0,12",28,"-0,07",84,"0,08",97,,57,4,107,"1,62","0,44",37,"2,69",46,"0,03",61,"0,07",37,"0,17",20,"-0,11",88,"0,06",88,"0,42","0,41",21,"5,64",48
MIRASIERRA FAROLERO X8 INVASOR,IA543,2005,M,,,,,IA,,,5,116,"0,57","0,65",76,"0,91","0,65",56,"-2,72","0,14",99,48,"0,20",17,"0,18",19,"0,19",16,"0,17",19,"0,03",76,,38,3,78,"-2,29","0,48",83,"-1,38",73,"0,22",16,"0,18",17,"0,18",17,"0,08",40,"0,02",69,"-0,29","0,61",82,"5,22",50
MAAC HAVEN SUNDANCE 5779,246836,2015,,,,,,CR,18830,,2,49,"0,17","0,39",51,"0,39","0,43",62,,,,,"-0,00",70,"-0,08",87,"-0,09",90,"-0,01",69,"0,06",91,,68,2,43,"3,24","0,31",23,"3,63",42,"-0,02",75,"-0,11",90,"-0,11",91,"0,04",53,"0,05",83,"0,29","0,27",30,"5,19",50
SANTA INÉS DELIVERANCE 5-18-27 CHARRÚA,IA461,1999,,,,,,CR,,IA,17,576,"0,02","0,77",39,"0,93","0,80",56,"-0,37","0,40",72,182,"0,10",36,"0,07",39,"0,03",57,"0,16",20,"-0,01",35,,49,16,373,"0,89","0,66",48,"1,82",53,"0,12",31,"0,09",30,"0,02",60,"0,21",17,"0,08",93,"-0,45","0,67",90,"5,06",51
TOPASS ÍNDIO 8,228999,2006,M,,,,,PO,2444,,1,184,"0,91","0,54",92,"-1,78","0,58",84,"-4,28","0,25",99,126,"0,23",13,"0,08",35,"0,06",46,"-0,06",82,,,,55,1,118,"-0,52","0,42",68,"-2,30",78,"0,24",14,"0,00",60,"0,06",48,"-0,06",78,,,"-0,44","0,36",89,"4,98",52
MAAC BERNARD WISDOM 5221,236682,2010,M,,,,,PO,2226,,1,23,"0,48","0,37",70,"3,61","0,42",30,"-2,63","0,09",98,9,"-0,05",86,"-0,07",84,"-0,10",93,"0,05",50,"-0,02",21,,46,1,12,"0,75","0,28",51,"4,36",38,"-0,04",82,"-0,07",82,"-0,10",90,"0,05",52,"-0,02",27,"0,14","0,23",43,"3,60",53
