nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
RESPLENDOR S.J. RESPLENDOR,197463,2013,,,,,,PS,24493,,1,29,"-0,02","0,46",30,"3,53","0,44",39,,,,0,"0,11",33,,,,,"0,21",4,"-0,09",18,,39,1,8,"2,21","0,27",40,"5,74",41,"0,18",21,,,,,"0,22",3,"-0,05",39,"-0,36","0,38",89,"16,36",42
MANDURI DA SANTA CAROLINA MANDURI,174912,2008,,,,,,PS,23891,,2,33,"0,61","0,50",74,"6,17","0,48",22,"0,92","0,15",22,13,"0,09",38,,,,,"0,07",25,"0,00",65,,25,2,23,"1,15","0,31",60,"7,32",33,"0,05",55,,,,,"0,10",16,"0,03",79,"0,02","0,46",68,"16,31",43
RABISCO CALABILU LAS RABISCO,183560,2010,,,,,,PS,24581,,1,160,"0,68","0,71",81,"5,88","0,69",24,"-2,81","0,30",92,78,"0,01",63,,,,,"-0,00",59,"0,04",85,,35,1,18,"1,73","0,35",48,"7,61",30,"0,03",60,,,,,"-0,01",64,"0,03",75,"0,15","0,42",51,"14,61",45
NARCISO DA ÁGUA MARINHA NARCISO,190105,2011,,,,,,PS,15231,,1,61,"-0,00","0,57",32,"0,28","0,55",74,"-0,03","0,09",44,1,"0,07",42,,,,,"0,05",34,"-0,07",26,,66,1,26,"3,05","0,32",33,"3,33",58,"0,08",42,,,,,"0,02",48,"-0,09",20,"0,87","0,35",10,"14,26",45
CATARO 158 MANGALBA EG,208640,2016,,,,,,PS,25871,,2,30,"1,04","0,47",88,"3,71","0,44",38,,,,0,"-0,01",70,"-0,05",97,"-0,02",90,"-0,06",83,"0,03",78,,48,2,6,"3,75","0,25",26,"7,46",33,"-0,03",77,"-0,06",98,"-0,01",80,"-0,05",82,"0,03",74,"0,06","0,25",62,"12,68",48
3I-9186 DA EMBRAPA,193103,2012,,,,,,PS,23828,,1,62,"-0,05","0,58",27,"3,05","0,56",45,,,,0,"0,06",45,,,,,"-0,03",73,"0,18",99,,45,1,27,"1,72","0,35",48,"4,76",47,"0,07",45,,,,,"-0,04",78,"0,20",99,"0,01","0,40",68,"12,27",49
3G - 8730 DA EMBRAPA,185046,2010,,,,,,PS,23828,,1,48,"1,10","0,55",91,"4,25","0,54",34,"-1,96","0,13",86,7,"0,07",45,,,,,"0,15",8,"-0,02",50,,39,1,31,"-0,03","0,38",75,"4,22",52,"0,05",53,,,,,"0,06",28,"-0,06",33,"0,30","0,41",37,"11,64",50
GUARUJA FJ CONTINENTAL GUARUJA,45567,1992,,,,,,PS,24066,,9,99,"0,07","0,69",36,"0,89","0,67",70,"0,75","0,44",26,213,"-0,05",82,,,,,"0,03",43,"-0,05",33,,73,6,44,"4,79","0,52",17,"5,67",42,"0,04",57,,,,,"0,01",56,"-0,07",30,"0,10","0,59",56,"10,77",53
JUAREZ DA ILMA JUAREZ,101549,1999,,,,,,PS,7510,,8,143,"0,61","0,68",72,"6,59","0,66",19,"-4,97","0,34",99,100,"0,05",50,,,,,"-0,10",90,"-0,01",55,,27,6,30,"-0,07","0,41",77,"6,52",37,"-0,00",69,,,,,"-0,04",77,"0,06",87,"-0,38","0,48",90,"10,62",53
INSETO DA ILMA INSETO,92056,1998,,,,,,PS,7510,,15,530,"0,06","0,79",36,"1,37","0,77",64,"-0,39","0,48",55,269,"-0,04",77,,,,,"-0,13",94,"-0,02",48,,70,12,194,"3,55","0,56",29,"4,92",46,"-0,05",82,,,,,"-0,13",96,"0,03",76,"0,88","0,59",9,"10,61",53
ÁGUA MARINHA 056 FLAMBOYANT HBB. 109601 DA ÁGUA MARINHA,109169,2009,,,,,,CCG,15231,,1,44,"-1,75","0,48",2,"2,37","0,45",53,"1,50","0,10",12,6,"-0,08",90,,,,,"0,15",7,"0,13",99,,68,1,2,"3,57","0,21",28,"5,94",39,"-0,02",73,,,,,"0,15",8,"0,09",97,"0,26","0,20",39,"9,23",55
3K-9666 DA EMBRAPA,200866,2014,,,,,,PS,23828,,1,30,"1,04","0,49",89,"1,48","0,48",64,,,,0,"0,02",60,,,,,"-0,04",78,"-0,08",22,,64,1,16,"1,48","0,32",53,"2,97",62,"0,01",65,,,,,"-0,05",83,"-0,10",17,"0,55","0,41",26,"8,70",58
MADSON DA IPÊS MADSON,177115,2008,,,,,,PS,23846,,10,543,"-0,07","0,81",25,"5,25","0,80",29,"-3,43","0,36",95,110,"0,15",25,,,,,"0,06",27,"0,02",76,,26,8,190,"-2,32","0,60",95,"2,92",63,"0,02",63,,,,,"0,06",29,"0,04",81,"-0,14","0,68",80,"8,61",59
3K-9652 DA EMBRAPA,200825,2014,,,,,,PS,23828,,1,23,"-0,66","0,46",9,"-0,42","0,45",81,,,,0,"0,03",57,,,,,"0,01",52,"0,01",67,,74,1,11,"3,46","0,30",30,"3,03",61,"0,07",47,,,,,"0,01",51,"-0,01",59,"-0,09","0,37",77,"8,53",59
QUILATE 7071 DA SANTA CAROLINA,192935,2012,,,,,,PS,23891,,2,55,"0,92","0,53",86,"1,32","0,52",66,,,,0,"0,01",61,,,,,"0,05",36,"-0,23",3,,66,1,37,"1,88","0,37",46,"3,19",60,"0,04",58,,,,,"0,03",44,"-0,23",2,"-0,01","0,42",73,"7,51",62
A-8431 DA ILMA,190167,2011,,,,,,PS,7510,,1,49,"-2,05","0,47",1,"0,31","0,47",74,"-1,51","0,19",79,25,"0,03",55,,,,,"0,03",40,"-0,11",13,,69,1,23,"1,06","0,31",61,"1,37",71,"0,10",38,,,,,"0,01",54,"-0,14",9,"0,18","0,40",47,"7,12",62
MANINHO DA SANTA CAROLINA MANINHO,174935,2008,,,,,,PS,23891,,3,55,"0,44","0,47",59,"2,42","0,45",52,"-2,07","0,18",87,27,"0,10",37,,,,,"-0,07",85,"-0,05",34,,46,3,42,"-3,48","0,29",97,"-1,06",83,"0,09",40,,,,,"-0,09",89,"-0,05",39,"0,50","0,41",29,"4,89",67
EGITO DA IPAMERI EGITO,186070,2010,,,,,,PS,19903,,1,29,"-0,75","0,48",8,"0,39","0,46",74,"2,18","0,13",5,1,"-0,03",76,,,,,"-0,05",80,"-0,24",2,,74,1,11,"0,94","0,30",62,"1,33",72,"-0,01",71,,,,,"-0,06",87,"-0,23",3,"0,64","0,39",22,"4,30",68
REDENTOR S.J. REDENTOR,196802,2013,,,,,,PS,24493,,1,22,"1,22","0,44",94,"-0,33","0,43",80,,,,0,"-0,09",91,,,,,"-0,13",93,"-0,18",6,,87,1,9,"2,25","0,30",40,"1,92",68,"-0,05",81,,,,,"-0,13",96,"-0,15",8,"0,66","0,42",21,"3,20",70
3I-9151 DA EMBRAPA,192938,2012,,,,,,PS,23828,,1,85,"-0,76","0,60",8,"-1,53","0,59",89,,,,0,"0,04",55,,,,,"-0,20",99,"0,01",66,,81,1,47,"2,16","0,40",41,"0,62",75,"0,08",44,,,,,"-0,23",99,"-0,03",46,"-0,73","0,46",98,"2,09",72
BÉRICO DA SÃO TOMÉ BÉRICO,191060,2011,,,,,,PS,25122,,1,105,"0,53","0,66",65,"-0,68","0,64",82,"-0,82","0,25",67,42,"-0,10",94,,,,,"-0,10",90,"-0,01",59,,90,1,7,"1,25","0,28",58,"0,56",75,"-0,11",95,,,,,"-0,10",92,"-0,00",62,"0,73","0,36",18,"-1,02",77
3G - 8579DA EMBRAPA,184215,2010,,,,,,PS,23828,,1,66,"1,75","0,59",99,"1,01","0,58",68,"1,35","0,12",13,12,"-0,12",97,,,,,"-0,04",77,"-0,06",32,,80,1,36,"0,11","0,39",73,"1,11",72,"-0,10",92,,,,,"-0,03",73,"-0,04",43,"0,68","0,46",20,"-1,09",77
3H-8991 DA EMBRAPA,189834,2011,,,,,,PS,23828,,1,73,"-0,18","0,60",21,"0,75","0,58",71,"3,40","0,11",1,8,"-0,10",95,,,,,"-0,06",83,"0,05",86,,79,1,50,"0,10","0,42",74,"0,86",74,"-0,09",91,,,,,"-0,10",93,"0,05",84,"0,52","0,47",28,"-1,31",78
NOTÁVEL DA MIRAGEM NOTÁVEL,94636,1998,,,,,,PS,23966,,1,71,"0,42","0,60",59,"-1,14","0,57",87,"1,38","0,15",12,15,"0,01",64,,,,,"-0,05",80,"-0,02",47,,83,1,11,"0,35","0,28",70,"-0,78",82,"0,04",59,,,,,"-0,02",68,"-0,06",34,"-0,44","0,30",91,"-1,31",78
MARINHO DA SANTA CAROLINA MARINHO,175161,2008,,,,,,PS,23891,,1,22,"0,51","0,39",63,"2,26","0,43",55,"-2,45","0,14",89,4,"0,05",50,,,,,"-0,01",61,"-0,04",37,,53,,0,"-2,36","0,24",95,"-0,11",78,"0,06",50,,,,,"0,00",60,"-0,03",45,"-1,05","0,31",99,"-1,77",79
QUILATE 7133 DA SANTA CAROLINA,194868,2012,,,,,,PS,23891,,1,52,"0,91","0,58",85,"0,26","0,55",76,"-1,00","0,11",69,2,"0,00",65,,,,,"-0,02",69,"0,15",99,,72,1,3,"0,27","0,25",71,"0,52",76,"-0,05",81,,,,,"-0,01",62,"0,14",99,"-0,56","0,22",94,"-1,99",80
OBÍO DA IPÊS OBÍO,185273,2010,,,,,,PS,23846,,6,107,"1,41","0,67",96,"1,22","0,65",67,"1,60","0,19",11,16,"-0,22",99,,,,,"0,14",9,"-0,28",1,,89,4,20,"2,90","0,36",34,"4,12",53,"-0,18",99,,,,,"0,13",10,"-0,27",1,"-0,02","0,42",73,"-3,18",83
GENESIO DA ESMERALDA GENESIO,181608,2009,,,,,,PS,15231,,2,28,"-0,44","0,45",13,"-0,88","0,43",84,"-1,47","0,11",77,8,"0,04",53,,,,,"-0,01",62,"-0,06",32,,75,1,7,"-1,83","0,22",92,"-2,71",89,"0,01",65,,,,,"0,00",59,"-0,08",24,"-0,15","0,18",80,"-3,33",83
QUIMICO DA ILMA QUIMICO,161201,2005,,,,,,PS,7510,,2,105,"0,57","0,65",69,"0,62","0,63",72,"-0,62","0,32",65,91,"-0,03",77,,,,,"-0,12",92,"-0,09",21,,73,1,69,"-0,83","0,48",83,"-0,21",79,"-0,06",84,,,,,"-0,07",87,"-0,08",22,"-0,37","0,50",89,"-4,04",84
