nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
BRANGUS BRASIL R01 DO MANANCIAL,132757,2016,,,3/8,,V,PS,7594,,1,26,,,,"-2,26","0,48",77,,,,,"0,03",60,"0,13",36,"0,08",46,"-0,08",79,"0,10",96,,74,1,21,"-5,03","0,37",96,"-7,28",91,"0,00",73,"0,06",58,"0,03",63,"-0,08",80,"0,07",95,"0,58","0,36",22,"-8,08",85
PRIMAVERA Q582/13,103032,2013,,,3/8,,V,PS,2496,,3,24,"0,88","0,20",89,"-0,41","0,44",59,"0,38","0,08",40,2,"0,04",57,"0,09",48,"0,14",27,"-0,05",71,"0,09",95,,59,3,21,"-6,38","0,33",98,"-6,79",89,"0,02",68,"0,06",55,"0,16",27,"-0,03",64,"0,11",98,"0,33","0,47",38,"-8,09",85
SULTANA FRANCESCO 1388 AON T/E,IA143387,2016,,,3/8,,P,E,23805,,2,106,"-0,04","0,60",43,"-2,36","0,61",79,"0,23","0,06",44,2,"-0,06",88,"0,04",66,"-0,01",76,"-0,21",97,"-0,01",51,,85,2,86,"-0,79","0,47",61,"-3,15",72,"-0,04",84,"0,05",60,"0,03",65,"-0,20",97,"-0,04",38,"-0,55","0,45",93,"-8,46",85
JUQUIRY BLACK TE6396 PIRULIN 6070,115685,2015,,,3/8,,P,PS,18553,,3,55,"-0,84","0,52",8,"-8,55","0,57",99,"1,29","0,15",16,1,"0,07",47,"0,14",33,"0,14",28,"-0,07",76,"-0,05",28,,96,2,39,"-2,14","0,44",77,"-10,69",97,"0,10",40,"0,20",16,"0,17",25,"-0,03",64,"-0,10",13,"0,68","0,48",18,"-8,59",86
BRANGUS BRASIL P07 DO MANANCIAL,104927,2014,,,3/8,,V,PS,7594,,1,26,"-0,28","0,45",30,"-7,18","0,49",98,"0,48","0,18",35,23,"-0,05",84,"-0,00",78,"-0,05",88,"0,10",18,"0,07",93,,97,1,21,"1,29","0,37",35,"-5,89",86,"-0,05",86,"-0,00",76,"-0,07",89,"0,12",19,"0,05",90,"0,25","0,22",43,"-8,69",86
STA CRUZ J614 RAU. 3090 TE HULK HULK,105285,2014,,,3/8,,P,PS,15085,,3,30,"0,32","0,34",68,"-0,55","0,39",61,,,,,"0,02",63,"0,03",69,"-0,06",88,"-0,03",65,"0,02",77,,62,2,15,"-4,63","0,24",95,"-5,18",84,"-0,01",76,"-0,00",76,"-0,09",92,"-0,07",79,"0,00",73,"-0,38","0,21",88,"-8,81",86
BRANGUS BRASIL L15 MANANCIAL,68013,2010,,,3/8,,V,PS,7594,,2,70,"0,01","0,47",47,"-6,10","0,65",96,"2,27","0,22",6,45,"0,06",51,"0,19",20,"0,08",47,"-0,02",56,"0,11",97,,93,2,56,"-2,20","0,52",78,"-8,29",94,"0,06",54,"0,14",29,"0,07",50,"-0,02",62,"0,06",93,"0,00","0,54",62,"-8,82",87
BRANGUS BRASIL O604 MANANCIAL,96995,2013,,,3/8,,P,PS,7594,,1,47,,,,"-6,74","0,50",97,"1,94","0,10",8,15,"0,02",64,"0,02",74,"0,04",62,"-0,00",50,"0,06",90,,95,1,39,"-1,06","0,37",64,"-7,80",92,"0,01",69,"0,01",71,"0,06",54,"0,01",46,"0,05",90,"0,25","0,27",43,"-8,87",87
JUQUIRY MR IDEAL 4828,69364,2009,,,3/8,,V,PS,77,,1,27,"0,49","0,22",75,"-2,29","0,43",78,"-0,54","0,05",82,9,"-0,05",85,"-0,12",95,"-0,05",85,"0,04",34,"-0,02",44,,84,1,27,"-1,72","0,31",73,"-4,00",77,"-0,08",90,"-0,12",95,"-0,07",89,"-0,01",54,"-0,03",46,"-0,16","0,22",75,"-8,92",87
CCR SLEEP EASY 9L2,IA9675802,2001,,,3/8,,P,E,23805,,5,148,"0,02","0,67",48,"-3,30","0,67",86,"-0,69","0,25",86,76,"0,01",69,"-0,21",99,"-0,01",77,"-0,02",55,"0,05",87,,85,5,69,"-3,02","0,47",87,"-6,32",87,"-0,02",77,"-0,17",97,"-0,05",87,"0,01",46,"0,04",90,"0,03","0,42",60,"-8,97",87
JUQUIRY 6136 LEAD BLACK,98348,2013,,,3/8,,P,PS,18553,,2,65,"-0,56","0,44",17,"-4,57","0,58",91,"1,06","0,13",20,20,"0,07",46,"0,08",53,"0,10",43,"-0,11",86,"-0,00",63,,86,1,53,"-4,37","0,44",95,"-8,94",95,"0,07",50,"0,06",58,"0,10",42,"-0,05",72,"-0,02",57,"0,11","0,42",55,"-9,08",87
TRADIÇÃO MT REEDITADO 3G 3495,144293,2018,,,3/8,,P,PS,23242,,1,61,"1,08","0,58",92,"-4,92","0,55",92,,,,,"0,17",20,"0,05",63,"0,19",18,"0,07",25,"-0,07",17,,78,1,31,"-3,59","0,34",91,"-8,51",94,"0,11",39,"0,01",72,"0,11",40,"0,03",40,"-0,10",12,"-1,12","0,39",99,"-9,35",88
SAN ALEJO 2341 PICANTE CENCERRO DON CORLEONE,132698,2016,,,3/8,,V,PS,312,R,22,429,"-0,63","0,78",13,"-3,44","0,80",87,,,,,"-0,04",82,"0,06",58,"0,05",58,"-0,05",69,"0,10",96,,88,19,258,"-1,25","0,65",67,"-4,69",81,"-0,11",94,"-0,00",75,"-0,05",86,"-0,08",79,"0,05",92,"-0,13","0,70",72,"-9,77",89
RANCHO 1810 YUNQUE T/E,IA142993,2013,,,3/8,,P,E,,,4,88,"0,79","0,51",86,"-2,71","0,61",81,,,,,"-0,03",79,"0,03",69,"0,07",49,"-0,09",81,"0,01",69,,84,4,44,"-6,39","0,40",98,"-9,10",95,"0,08",48,"0,06",56,"0,14",30,"-0,03",66,"0,03",86,"0,63","0,46",20,"-9,93",89
RINCON 1228 JESUITA DEL SARANDY,165789,2019,,,3/8,,P,PS,7287,,2,21,"-1,24","0,40",4,"-2,86","0,43",83,,,,,"-0,23",99,"0,12",37,"-0,02",80,"-0,16",95,"-0,06",24,,95,2,12,"1,07","0,32",36,"-1,79",64,"-0,19",98,"0,17",23,"-0,04",84,"-0,18",96,"-0,09",13,"0,30","0,37",39,"-10,03",89
PRIMAVERA H188 CAPITÃO NASCIMENTO,63602,2007,,,3/8,,V,PS,2496,P,9,165,"0,72","0,64",83,"-2,69","0,70",81,"-1,05","0,11",92,32,"0,03",60,"0,06",58,"0,11",40,"-0,17",95,"0,06",90,,78,9,124,"-3,50","0,55",90,"-6,19",87,"-0,01",74,"-0,05",88,"0,05",58,"-0,14",91,"0,07",95,"-0,78","0,64",97,"-10,37",90
BRANGUS BRASIL R31 DO MANANCIAL,132762,2016,,,3/8,,V,PS,7594,,1,26,,,,"-3,25","0,49",86,,,,,"-0,01",74,"0,12",39,"0,03",63,"0,05",31,"-0,02",49,,86,1,22,"-4,70","0,38",95,"-7,95",93,"-0,02",77,"0,06",57,"-0,01",78,"0,08",26,"-0,04",38,"0,31","0,40",38,"-10,54",90
BRANGUS BRASIL R55 DO MANANCIAL,132767,2016,,,3/8,,V,PS,7594,,1,39,,,,"-2,96","0,51",83,,,,,"0,02",65,"0,09",47,"0,06",53,"-0,08",77,"0,01",73,,81,1,28,"-4,35","0,38",95,"-7,31",91,"0,01",70,"0,06",59,"0,02",68,"-0,05",72,"-0,00",69,"-0,34","0,37",86,"-10,55",90
RINCON 493 DON CIRIACO DEL SARANDY,112925,2014,,,3/8,,V,PS,7287,,1,22,"0,49","0,41",76,"-3,64","0,45",88,"1,11","0,15",19,4,"-0,07",89,"0,02",73,"0,00",73,"0,08",23,"0,06",90,,91,1,19,"-3,13","0,35",88,"-6,76",89,"-0,07",89,"-0,01",78,"-0,04",83,"0,12",19,"0,03",84,"0,44","0,38",30,"-10,64",90
BRANGUS BRASIL R526 DO MANANCIAL,129026,2016,,,3/8,,V,PS,7594,,1,23,,,,"-3,79","0,43",89,,,,,"0,03",62,"0,03",69,"0,05",56,"0,07",26,"-0,06",24,,85,1,14,"-3,52","0,30",90,"-7,31",91,"0,02",66,"0,00",74,"0,04",61,"0,04",36,"-0,08",17,"-0,68","0,35",96,"-10,93",90
LAS LILAS 4247-J CLAS. REVEL TE,IA128739,2009,,,3/8,,P,E,23805,,3,62,"-1,30","0,51",3,"-3,56","0,56",88,"-0,60","0,05",84,12,"0,02",63,"-0,18",98,"-0,05",87,"-0,06",73,"0,07",93,,84,3,28,"-3,82","0,35",92,"-7,38",91,"-0,02",78,"-0,19",98,"-0,09",92,"-0,04",68,"0,05",92,"-0,38","0,35",88,"-10,94",91
CCR SLEEP EASY 46T3 IA10107253 2007 3/8 P E,23805,,,,,,,,,,4,378,"-0,45","0,77",21,"-5,16","0,76",93,"-1,57","0,36",97,143,"-0,01",75,"-0,21",99,"-0,01",77,"-0,10",85,"0,11",98,,93,4,144,"-1,86","0,59",75,"-7,02",90,"-0,09",92,"-0,21",99,"-0,07",90,"-0,10",84,"0,11",98,"-0,06","0,56",66,"-11,30",91
BRANGUS BRASIL P11 DO MANANCIAL,104928,2014,,,3/8,,V,PS,7594,,1,35,"-0,53","0,50",18,"-9,85","0,53",99,"0,79","0,21",26,32,"0,02",62,"0,06",58,"0,08",47,"0,01",44,"0,02",77,,99,1,31,"-2,74","0,42",84,"-12,59",98,"0,06",54,"0,10",42,"0,10",41,"-0,00",53,"0,01",76,"0,74","0,43",15,"-11,97",92
RINCON 519 2018 DEL SARANDY,120453,2015,,,3/8,,P,PS,7287,,1,40,"0,98","0,46",91,"0,24","0,52",51,"0,35","0,11",41,10,"-0,16",97,"-0,01",78,"-0,14",98,"0,06",27,"0,05",86,,77,1,31,"-2,69","0,38",83,"-2,44",68,"-0,17",97,"-0,06",88,"-0,20",99,"0,09",24,"0,02",82,"-0,59","0,45",94,"-11,97",92
BRANGUS BRASIL R25 DO MANANCIAL,132761,2016,,,3/8,,V,PS,7594,,1,24,,,,"-1,74","0,48",72,,,,,"-0,00",72,"0,21",17,"0,03",66,"-0,17",96,"0,08",94,,74,1,21,"-8,05","0,37",99,"-9,79",97,"0,02",66,"0,15",27,"-0,01",78,"-0,13",90,"0,06",93,"0,21","0,39",45,"-12,45",93
LADICHA 4803 CUATRERO,IA112571,2001,,,3/8,,V,E,23805,,8,78,"0,28","0,46",65,"-6,76","0,63",97,"-0,72","0,17",86,48,"0,15",22,"0,06",59,"0,14",29,"-0,00",51,"0,00",66,,90,6,44,"-7,16","0,45",99,"-13,92",99,"0,08",46,"-0,02",81,"0,12",36,"-0,07",77,"-0,00",70,"0,20","0,49",47,"-12,67",93
OLHOS D'AGUA SPARTACUS 4G 7932,92734,2012,,,3/8,,P,PS,73,,1,100,"-0,59","0,65",16,"1,63","0,63",39,"0,39","0,19",39,28,"-0,31",99,"-0,09",92,"-0,16",98,"0,05",32,"-0,14",3,,84,1,10,"-1,60","0,33",71,"0,03",52,"-0,29",99,"-0,09",92,"-0,14",97,"0,04",36,"-0,14",6,"-0,09","0,32",68,"-12,74",93
J.M.T. CIMARRÓN 6745,46195,2007,,,3/8,,V,PS,15813,,2,60,"0,34","0,59",69,"-2,26","0,58",77,"1,77","0,19",9,30,"-0,14",96,"0,03",67,"-0,01",77,"0,01",44,"0,01",69,,90,2,35,"-3,53","0,42",90,"-5,78",86,"-0,16",96,"-0,01",79,"-0,05",86,"0,04",35,"-0,02",56,"0,30","0,39",39,"-12,74",94
PAIPASSO C26/15 GARDEL,114369,2015,,,3/8,,V,PS,20882,L,3,79,"0,07","0,59",50,"-3,03","0,59",84,"0,80","0,06",25,3,"-0,08",91,"0,31",5,"0,28",6,"0,11",16,"-0,09",11,,89,3,53,"-4,09","0,43",93,"-7,12",90,"-0,10",92,"0,31",5,"0,31",6,"0,14",15,"-0,12",9,"0,09","0,49",55,"-12,77",94
JUQUIRY RED TE6406 A49 6071,108114,2015,,,3/8,,V,PS,18553,,2,144,"-0,30","0,55",28,"-6,63","0,69",97,"-2,52","0,05",99,1,"0,05",53,"0,05",64,"0,12",36,"-0,15",93,"-0,01",54,,94,2,119,"-4,21","0,55",94,"-10,84",97,"0,02",67,"0,01",73,"0,08",47,"-0,14",90,"-0,01",63,"-0,21","0,56",77,"-13,00",95
LAS LILAS 1317-M LIBERAL COLO G6,IA137374,2012,,,3/8,,V,E,23805,,6,39,"1,23","0,50",95,"-9,93","0,49",99,"1,10","0,00",19,1,"0,16",21,"-0,20",99,"-0,02",78,"0,06",29,"0,02",77,,96,5,16,"-7,39","0,28",99,"-17,32",99,"0,09",44,"-0,25",99,"-0,08",90,"-0,00",50,"-0,01",66,"0,40","0,26",33,"-15,51",96
BRANGUS BRASIL R82 DO MANANCIAL,129050,2016,,,3/8,,V,PS,7594,,1,25,,,,"-8,40","0,46",99,,,,,"0,01",68,"0,12",38,"0,06",51,"-0,05",68,"0,10",97,,98,1,16,"-4,13","0,33",93,"-12,53",98,"-0,00",73,"0,12",37,"0,06",55,"-0,04",69,"0,07",95,"-0,29","0,35",83,"-16,02",97
SAN ALEJO 9380 RUFIAN ROCKO,IA136806,2012,,,3/8,,V,E,23805,,8,114,"0,12","0,60",53,"-5,96","0,64",95,"-1,57","0,04",97,10,"0,03",62,"-0,01",79,"0,03",65,"0,02",43,"0,02",76,,93,7,85,"-7,54","0,47",99,"-13,49",99,"-0,02",79,"-0,07",90,"-0,06",87,"0,02",44,"-0,01",67,"-0,03","0,47",65,"-16,88",97
SÃO BIBIANO TORNADO 4271,88635,2010,,,3/8,,P,PS,110,,2,77,,,,"-6,18","0,56",96,"-0,52","0,06",82,30,"-0,18",98,"0,02",74,"-0,07",91,"-0,06",74,,,,99,2,34,"-2,24","0,35",79,"-8,42",94,"-0,19",98,"0,04",63,"-0,09",92,"-0,09",82,,,"0,00","0,35",62,"-17,18",97
SAN ALEJO YC 601,IA14291,1995,,,3/8,,P,E,,,3,233,"0,06","0,75",50,"-6,29","0,74",96,"-8,39","0,35",99,164,"-0,13",95,"-0,07",88,"-0,14",98,"-0,07",77,"0,03",83,,98,3,165,"-2,48","0,60",82,"-8,77",95,"-0,11",93,"-0,09",93,"-0,12",95,"-0,08",79,"0,01",76,"-0,78","0,57",98,"-17,33",98
MORRIS YAS 264 GLADIADOR TE YACO,IA128901,2010,,,3/8,,P,E,,T,7,136,"-1,08","0,65",4,"-6,77","0,66",98,,,,,"-0,16",97,"-0,19",98,"-0,17",99,"-0,35",99,"-0,06",22,,99,7,63,"-1,25","0,45",67,"-8,02",93,"-0,17",97,"-0,16",97,"-0,20",99,"-0,31",99,"-0,04",39,"-0,80","0,49",98,"-17,99",98
"OLHOS D'AGUA 5G 7222 ""EVEREST""",75207,2011,,,3/8,,P,PS,73,,1,110,"0,08","0,58",52,"-4,79","0,57",92,"1,69","0,13",10,31,"-0,25",99,"-0,33",99,"-0,22",99,"0,01",43,"0,25",99,,98,1,49,"-0,47","0,36",55,"-5,25",84,"-0,26",99,"-0,27",99,"-0,18",98,"0,07",29,"0,22",99,"-0,91","0,35",99,"-18,47",98
POLI NANKIM 1566,100290,2014,,,3/8,,P,PS,14867,,1,28,,,,"-8,19","0,31",99,"0,60","0,13",33,7,"-0,18",99,"-0,14",96,"-0,04",85,"-0,28",99,"0,06",91,,99,1,27,"-8,62","0,25",99,"-16,81",99,"-0,24",99,"-0,20",99,"-0,09",92,"-0,30",99,"0,10",98,"-0,60","0,26",94,"-29,14",99
