page,breed,pedigree_name,reg_code,owner,REG_NO,BORN,FRAME,BW,WW,YW,SCROTAL,CED_EPD,BW_EPD,WW_EPD,YW_EPD,RADG_EPD,DMI_EPD,YH_EPD,SC_EPD,DOC_EPD,CLAW_EPD,ANGLE_EPD,PAP_EPD,HP_EPD,CEM_EPD,MILK_EPD,MKH_EPD,MW_EPD,MH_EPD,$EN_EPD,CW_EPD,MARB_EPD,RE_EPD,FAT_EPD,$M_EPD,$F_EPD,$G_EPD,$B_EPD,$C_EPD,CED_ACC,BW_ACC,WW_ACC,YW_ACC,RADG_ACC,DMI_ACC,YH_ACC,SC_ACC,DOC_ACC,CLAW_ACC,ANGLE_ACC,PAP_ACC,HP_ACC,CEM_ACC,MILK_ACC,MKH_ACC,MW_ACC,MH_ACC,$EN_ACC,CW_ACC,MARB_ACC,RE_ACC,FAT_ACC,$M_ACC,$F_ACC,$G_ACC,$B_ACC,$C_ACC,CED_RANK,BW_RANK,WW_RANK,YW_RANK,RADG_RANK,DMI_RANK,YH_RANK,SC_RANK,DOC_RANK,CLAW_RANK,ANGLE_RANK,PAP_RANK,HP_RANK,CEM_RANK,MILK_RANK,MKH_RANK,MW_RANK,MH_RANK,$EN_RANK,CW_RANK,MARB_RANK,RE_RANK,FAT_RANK,$M_RANK,$F_RANK,$G_RANK,$B_RANK,$C_RANK
15,ANGUS,,,,19596434,,,,,,,9.0,0.3,72,136,.31,1.62,0.8,1.57,18,0.64,0.60,1.73,9.5,7.0,31,-,92,0.5,-37,55,1.16,1.15,.008,40,97,83,180,273,.36,.54,.47,.43,.34,.34,.51,.48,.36,.27,.28,.23,.23,.30,.30,-,.36,.39,-,.43,.37,.37,.34,-,-,-,-,-,30,30,10,5,5,95,20,10,50,95,95,70,75,65,15,-,15,35,95,20,5,2,45,95,15,2,3,10
16,ANGUS,NORTHCAMPSILVERSTAR5103,0200AN10730,"HamiltonFarms,NorthCampRanch",18162044,"February2,2015",6.2,84lbs,810lbs,1285lbs,36cm,9,0.4,50,94,0.25,0.44,0.4,0.79,24,0.55,0.61,0.22,13.6,14,19,1,86,0.8,-27,25,0.67,0.56,0.036,37,75,50,125,199,0.48,0.85,0.78,0.63,0.38,0.38,0.54,0.47,0.4,0.26,0.26,0.24,0.22,0.31,0.33,-,0.41,0.41,-,0.47,0.4,0.41,0.39,-,-,-,-,-,30,30,70,60,35,30,60,50,20,75,95,25,20,5,85,-,15,10,85,85,30,45,85,90,65,35,55,75
17,ANGUS,HARTOUTLIER7033,0200AN10109,,18942501,"January27,2017",6.1,79lbs,829lbs,1527lbs,42.7cm,9,0.4,78,150,0.33,1.73,0.8,2.05,31,0.51,0.4,1.63,8.5,9,23,-,94,0.9,-33,69,0.71,0.48,0.064,59,120,49,169,278,0.38,0.58,0.48,0.44,0.33,0.33,0.46,0.49,0.35,0.24,0.24,0.27,0.25,0.32,0.34,-,0.38,0.39,-,0.43,0.39,0.39,0.36,-,-,-,-,-,30,30,4,1,2,95,20,2,3,55,10,70,85,45,65,-,10,10,95,3,30,65,95,55,1,40,5,10
18,ANGUS,RAVENVALENTEF79,0200AN10757,,19254307,"January14,2018",6.1,75lbs,770lbs,1416lbs,39cm,5,3.6,80,148,0.3,1.65,0.9,0.19,24,0.45,0.49,1.76,12.5,5,24,-,92,0.9,-33,77,0.69,1.39,0.014,64,127,64,192,313,0.35,0.51,0.45,0.41,0.29,0.29,0.42,0.46,0.32,0.23,0.23,0.2,0.22,0.29,0.31,-,0.33,0.35,-,0.39,0.35,0.36,0.33,-,-,-,-,-,60,95,3,1,10,95,15,85,20,25,45,75,35,85,55,-,10,10,95,1,30,1,55,40,1,15,1,1
19,ANGUS,BUSHSEASYDECISION98,0200AN10716,"PeakDotRanch,BushAngus",17649083,"February7,2013",6.8,93lbs,912lbs,1616lbs,39.8cm,5,3,80,144,0.31,1.31,1,0.71,29,0.48,0.56,1.49,8.5,15,21,54,131,1,-49,63,0.6,0.79,0.003,38,110,53,163,249,0.65,0.93,0.9,0.86,0.4,0.4,0.76,0.77,0.62,0.4,0.41,0.22,0.47,0.68,0.68,-,0.44,0.42,-,0.53,0.47,0.47,0.47,-,-,-,-,-,60,85,3,2,5,85,10,55,5,40,85,70,80,3,75,-,1,3,95,10,35,15,40,90,10,30,10,25
20,ANGUS,HIGHPOINTCACHE894,0200AN10762,,19191398,"January29,2018",6.4,78lbs,856lbs,1405lbs,37.4cm,2,2.8,86,158,0.31,2.4,0.9,1.3,-2,0.6,0.48,2.42,9.6,9,23,-,71,0.5,-22,77,0.57,1.02,-0.012,59,119,56,175,286,0.36,0.54,0.47,0.42,0.33,0.33,0.45,0.48,0.35,0.27,0.27,0.24,0.25,0.32,0.34,-,0.36,0.39,-,0.41,0.37,0.37,0.35,-,-,-,-,-,85,85,1,1,4,95,15,20,95,90,40,90,70,45,65,-,30,30,80,1,45,4,20,55,1,25,3,4
21,ANGUS,SCHIEFELBEINRHOMBUS4937,0200AN10733,,18902388,"March16,2017",5.8,80lbs,899lbs,1560lbs,36.4cm,4,1.4,83,148,0.29,1.7,0.8,-0.17,11,0.51,0.41,1,8.3,1,25,-,121,1,-47,60,0.3,0.65,0.02,36,93,36,129,203,0.37,0.58,0.48,0.39,0.33,0.33,0.47,0.5,0.37,0.3,0.29,0.24,0.24,0.32,0.34,-,0.38,0.4,-,0.42,0.39,0.38,0.36,-,-,-,-,-,70,55,2,2,15,95,20,95,75,55,10,50,80,95,50,-,1,3,95,10,75,30,65,90,30,65,50,70
22,ANGUS,QUAKERHILLCOLUMBUS6V48,0200AN10337,,18841595,"September1,2016",6.3,68lbs,786lbs,1360lbs,38cm,9,-0.3,75,125,0.25,1.43,0.2,1.38,24,0.4,0.42,2.78,9.9,12,27,-,44,0.3,-12,58,0.85,0.84,-0.016,85,100,67,166,300,0.41,0.62,0.46,0.41,0.36,0.36,0.47,0.44,0.39,0.3,0.3,0.3,0.28,0.35,0.35,-,0.4,0.43,-,0.44,0.41,0.4,0.37,-,-,-,-,-,30,20,10,15,35,90,80,15,20,10,15,95,65,15,35,-,60,45,50,15,15,15,20,2,20,10,10,2
23,ANGUS,RAVENNEVADAG100,0200AN10360,,19507360,,,,,,,15,-2.3,71,127,0.25,1.58,0.5,1.43,32,0.49,0.44,0.54,12.7,12,36,-,44,0.2,-17,47,0.79,0.43,0.07,88,80,51,132,259,0.36,0.53,0.46,0.41,0.3,0.3,0.43,0.47,0.33,0.25,0.25,0.21,0.23,0.29,0.3,-,0.34,0.36,-,0.4,0.36,0.36,0.33,-,-,-,-,-,2,3,10,10,40,95,50,15,2,45,20,35,35,15,3,-,65,60,65,35,25,70,95,1,50,35,45,15
24,ANGUS,DLRAINMAKER1879,0200AN10771,,19590305,"February13,2019",5.8,70lbs,849lbs,1387lbs,41.6cm,2,3.1,90,154,0.32,1.31,1.2,2.65,25,0.52,0.43,0.74,11.5,8,20,-,158,1.3,-62,77,0.22,0.93,0.008,38,127,37,163,249,0.29,0.51,0.44,0.38,0.27,0.27,0.39,0.45,0.42,0.25,0.25,0.18,0.14,0.23,0.25,-,0.31,0.34,-,0.36,0.29,0.3,0.26,-,-,-,-,-,85,90,1,1,3,80,2,1,15,55,20,45,50,55,85,-,1,1,95,1,85,10,45,95,1,70,10,25
25,ANGUS,HALLBIGTOP84,0200AN10764,,19280258,"March9,2018",6.5,90lbs,758lbs,1328lbs,39.8cm,-1,3.9,83,148,0.34,1.28,0.9,1.11,25,0.37,0.51,1.83,8.5,1,20,-,124,0.9,-46,81,0.21,1.54,-0.049,39,134,49,183,277,0.34,0.55,0.48,0.42,0.33,0.33,0.45,0.47,0.37,0.25,0.25,0.25,0.23,0.3,0.34,-,0.37,0.4,-,0.41,0.36,0.36,0.32,-,-,-,-,-,95,95,2,2,1,85,15,30,15,5,55,80,80,95,80,-,1,10,95,1,85,1,2,90,1,35,2,10
26,ANGUS,SPRINGGROVEOVERHAUL6133,0200AN10329,,18529653,"April25,2016",5.6,77lbs,671lbs,1321lbs,36cm,16,-3.1,60,102,0.22,0.71,0.1,0.32,18,0.53,0.5,0.38,7.7,10,31,-,52,0.1,-18,33,0.68,0.78,-0.006,52,78,57,135,227,0.36,0.53,0.44,0.4,0.31,0.31,0.45,0.42,0.35,0.25,0.25,0.25,0.22,0.33,0.33,-,0.35,0.38,-,0.4,0.37,0.36,0.33,-,-,-,-,-,1,1,40,45,65,40,90,80,45,60,50,30,90,35,15,-,55,70,70,75,35,20,30,75,55,20,40,50
27,ANGUS,HARTROLLCALL7086,0200AN10107,,18940351,"February2,2017",6.0,72lbs,770lbs,1410lbs,37cm,15,-1.4,78,147,0.32,2.03,0.7,0.51,27,0.59,0.48,1.19,15.6,15,22,-,110,0.8,-40,69,0.7,0.78,-0.014,62,118,59,177,292,0.44,0.62,0.55,0.45,0.36,0.36,0.48,0.49,0.37,0.26,0.26,0.27,0.22,0.33,0.34,-,0.38,0.41,-,0.44,0.4,0.39,0.37,-,-,-,-,-,3,10,4,2,3,95,25,70,10,85,40,60,10,3,70,-,3,10,95,3,25,15,20,35,3,20,4,3
28,ANGUS,DRCOLONELE230,0200AN10835,,19091399,"July27,2017",5.3,76lbs,586lbs,1197lbs,37cm,8,0.1,68,122,0.29,0.88,0.4,1.31,24,0.58,0.51,2.09,11.4,13,31,-,54,0.4,-19,48,0.6,1.05,-0.02,69,91,58,150,264,0.36,0.55,0.48,0.44,0.35,0.35,0.52,0.49,0.36,0.3,0.3,0.27,0.26,0.33,0.34,-,0.39,0.41,-,0.43,0.38,0.38,0.34,-,-,-,-,-,35,25,15,15,10,50,65,20,20,80,60,85,50,10,15,-,50,40,70,35,40,3,15,25,25,20,20,15
29,ANGUS,KCFBENNETTCASCADEE380,0200AN10350,,19153630,"September9,2017",n/a,70lbs,660lbs,1182lbs,36cm,15,-0.3,65,118,0.26,1.17,0.4,0.95,19,0.42,0.44,1.31,5.2,5,33,-,81,0.2,-32,53,1.04,1.03,-0.016,39,96,78,174,265,0.36,0.52,0.45,0.41,0.31,0.31,0.49,0.46,0.43,0.25,0.25,0.23,0.22,0.29,0.3,-,0.36,0.38,-,0.4,0.36,0.36,0.34,-,-,-,-,-,2,20,25,20,30,75,65,40,40,15,20,60,95,85,10,-,20,60,95,20,10,4,20,95,15,3,3,15
32,ANGUS,RAMLPAYLOAD9500,0200AR20726,,4186622,"January6,2019",6.0,80lbs,691lbs,1288lbs,42cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
